Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 94, 13861, No update data, 9g3qx2z4wvvf
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 91, 13360, No update data, 9g3qx21wdzg9
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 60, 7742, No update data, 9g3qx2366hhv
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 96, 14195, No update data, 9g3qx2znbwz4
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 93, 13694, No update data, 9g3qx2335h3x
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 90, 13193, No update data, 9g3qx2333fyt
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 100, 14062, No update data, 9g3qx2333x72
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 98, 13746, No update data, 9g3qx2zhx6rk
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx2331m02
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 92, 13527, No update data, 9g3qx21t37b7
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 90, 13193, No update data, 9g3qx21t2nvw
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 100, 14062, No update data, 9g3qx232bnmr
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 99, 13904, No update data, 9g3qx2910j8s
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 97, 14362, No update data, 9g3qx21sbdb8
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 92, 12798, No update data, 9g3qx21mpqzh
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 96, 14195, No update data, 9g3qx21qenn7
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 98, 13746, No update data, 9g3qx28fn8dt
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx230yprm
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx231syxx
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 99, 13904, No update data, 9g3qx231uc92
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qx231sy5e
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 97, 14362, No update data, 9g3qx3k7ufpt
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 98, 13746, No update data, 9g3qx28fjvh0
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 58, 7849, No update data, 9g3qx3k7y515
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 94, 13861, No update data, 9g3qx21q5819
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 92, 13527, No update data, 9g3qx21krrr0
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 96, 13430, No update data, 9g3qx3k7uypw
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 98, 13746, No update data, 9g3qx231s2y4
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 87, 12008, No update data, 9g3qx231grsx
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 91, 13360, No update data, 9g3qx21qbz7v
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 38, 4509, No update data, 9g3qx2zkswer
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 98, 13746, No update data, 9g3qx28fktkm
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 98, 13746, No update data, 9g3qx230gwrz
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 99, 13904, No update data, 9g3qx28g5tzy
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 98, 13746, No update data, 9g3qx28f6smp
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 94, 13114, No update data, 9g3qx2zkzeh7
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 99, 13904, No update data, 9g3qx21phuxw
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 70, 9322, No update data, 9g3qx2xv2pm9
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 93, 12956, No update data, 9g3qx2zmpdu7
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 96, 14195, No update data, 9g3qx2zrdq6n
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 92, 13527, No update data, 9g3qx2zs9ees
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 22, 1738, No update data, 9g3qx2zeg10r
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 99, 13904, No update data, 9g3qx21jv0k8
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zqrb4s
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 94, 13861, No update data, 9g3qx21hytd9
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 94, 13861, No update data, 9g3qx2zruvrb
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 98, 13746, No update data, 9g3qx2ztcqjq
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 97, 13588, No update data, 9g3qx2zt50yx
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 98, 13746, No update data, 9g3qx21n9yne
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 99, 13904, No update data, 9g3qx21j6fe5
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 93, 12956, No update data, 9g3qx2ztm0ub
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 47, 6012, No update data, 9g3qx3nxz1u5
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 74, 9954, No update data, 9g3qx3msxs3y
Bird, MEX, 68e45c0d-4d07-4904-a74e-042daa56daad, 61, 7900, No update data, 9g3qx31m5s1e
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 90, 13193, No update data, 9g3qrrcmrwun
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 92, 13527, No update data, 9g3qx8bn96j6
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 55, 6952, No update data, 9g3qx8bj7t3v
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 97, 13588, No update data, 9g3qx3pck624
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 100, 14062, No update data, 9g3qx2zzzqz6
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 93, 13694, No update data, 9g3qx20t9hd1
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 78, 10586, No update data, 9g3qx20dvykp
