Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 96, 13430, No update data, 9g3qx2tue4ww
Bird, MEX, 635800fc-9f44-4e86-a355-b2b446449b80, 39, 4676, No update data, 9g3qx2tvv2fv
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 66, 9185, No update data, 9g3qx26ggny3
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 48, 5846, No update data, 9g3qx2hvc7j6
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 48, 5846, No update data, 9g3qx26emcsj
Bird, MEX, 1754852a-6bc5-41f6-9e61-6b78699471e0, 33, 3674, No update data, 9g3qx2hh2zgu
Bird, MEX, be3ae615-0613-4ad5-bd99-35075ee24d61, 67, 8848, No update data, 9g3qx2hhjkru
Bird, MEX, 728003c2-410b-4315-82dd-e6d62e76bed7, 69, 9164, No update data, 9g3qx2hkjukk
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 71, 10020, No update data, 9g3qx2hkh7qq
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 87, 12692, No update data, 9g3qx26qq1zr
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 71, 10020, No update data, 9g3qx2h5w5x7
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 66, 8690, No update data, 9g3qx2h5t7fv
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 74, 9954, No update data, 9g3qx2qjhd5r
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 55, 7348, No update data, 9g3qx25jtqdz
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 75, 10688, No update data, 9g3qx2h55epu
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 61, 7900, No update data, 9g3qx268pm8u
Bird, MEX, 76d70ffb-d64e-48c2-b507-0f66beab5e71, 62, 8058, No update data, 9g3qx2w3uuzy
Bird, MEX, 9ce7caf6-a241-45b8-b499-100224261917, 66, 9185, No update data, 9g3qx266p7ph
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 48, 6179, No update data, 9g3qx257w7um
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 91, 13360, No update data, 9g3qx2wr78zb
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 91, 12640, No update data, 9g3qx2690eb8
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 54, 7181, No update data, 9g3qx2wre8zf
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 94, 13861, No update data, 9g3qx26hzkr4
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 52, 6847, No update data, 9g3qx2wrezhc
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 75, 10688, No update data, 9g3qx2wrhx5q
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 92, 13527, No update data, 9g3qx2wqvrfb
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 98, 14529, No update data, 9g3qx26nk1gp
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 98, 14529, No update data, 9g3qx26jscrw
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 93, 13694, No update data, 9g3qx26nesce
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx263kv3m
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 43, 5344, No update data, 9g3qx3j4mk6z
Bird, MEX, cdacbe64-aa1e-46c7-acf8-dcce41717f21, 97, 14362, No update data, 9g3qx26j9ub7
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f1k2eq
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 90, 12482, No update data, 9g3qx263b8bs
Bird, MEX, 6272fb39-002d-4f57-b1e0-93c9f2dd3029, 83, 12024, No update data, 9g3qx264pskh
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 94, 13861, No update data, 9g3qx26j2u5v
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 58, 7426, No update data, 9g3qx2jvq4r9
Bird, MEX, e004eb82-a525-42cf-989b-e87a26a1c53a, 94, 13861, No update data, 9g3qx262b10w
Bird, MEX, a6c28ce5-8818-44ef-bf64-c489bbe91365, 74, 9954, No update data, 9g3qx261ncvv
Bird, MEX, e5466acb-8bf8-4120-8372-41ce212c195a, 91, 13360, No update data, 9g3qx2jvrsu1
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 99, 14696, No update data, 9g3qx23vw13n
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 49, 6346, No update data, 9g3qx3je05v9
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 91, 12640, No update data, 9g3qx2fr7qke
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 91, 12640, No update data, 9g3qx2fr3dgw
Bird, MEX, 440e6447-1ab5-4578-8f99-5cf0564aa6cc, 55, 6952, No update data, 9g3qx23ww7um
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 92, 12798, No update data, 9g3qx2fr2pm9
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 73, 10354, No update data, 9g3qx2wymdyj
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 47, 5688, No update data, 9g3qx2yf6dvn
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 70, 9322, No update data, 9g3qx2q8rds7
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 60, 7742, No update data, 9g3qx21yrr8f
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 89, 13026, No update data, 9g3qx2yv5zsb
