Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 69, 9164, No update data, 9g3qx26fej2r
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 76, 10855, No update data, 9g3qx25vkm04
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 80, 10902, No update data, 9g3qx2ghgsxu
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 91, 12640, No update data, 9g3qx26g0nm8
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 75, 10112, No update data, 9g3qx26fbtbe
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 91, 13360, No update data, 9g3qx26f91f0
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dqc3jr
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 94, 13861, No update data, 9g3qx2wr89ph
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 94, 13114, No update data, 9g3qx2dr02et
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26k3qvq
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26k3r86
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 31, 3340, No update data, 9g3qx26k1tes
Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 91, 13360, No update data, 9g3qx26k82gd
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 100, 14062, No update data, 9g3qx26hxbf6
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 94, 13861, No update data, 9g3qx2wrgxry
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hz28g
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 100, 14863, No update data, 9g3qx26hrxuh
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 55, 7348, No update data, 9g3qx2y2hde3
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 82, 11857, No update data, 9g3qx2wrw3hk
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 51, 6320, No update data, 9g3qx26htph9
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 93, 12956, No update data, 9g3qx26huwu3
Bird, MEX, 47b35d14-9abb-48ec-8e6f-5fa456213b68, 31, 3340, No update data, 9g3qx26hu47n
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 93, 13694, No update data, 9g3qx2wrzr3n
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 87, 12692, No update data, 9g3qx2yjn8fx
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26j0z5y
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 94, 13861, No update data, 9g3qx2yk99g8
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 93, 12956, No update data, 9g3qx2621gy8
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 96, 14195, No update data, 9g3qx2ykcyyf
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 88, 12166, No update data, 9g3qx34cdem4
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c0pt8
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx34c2m5g
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c2h0w
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c2ntt
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 96, 13430, No update data, 9g3qx2613bns
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 89, 12324, No update data, 9g3qx2fr1vqe
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 90, 12482, No update data, 9g3qx2fr607w
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 100, 14863, No update data, 9g3qx2frdst4
Bird, MEX, ed8413a3-a1c1-4d1a-9688-2a7412059300, 100, 14863, No update data, 9g3qx2frd73f
Bird, MEX, 2ac75dcb-c68b-4ab5-895b-947e8ad9b32a, 100, 14863, No update data, 9g3qx35j70b2
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 82, 11218, No update data, 9g3qx341qymg
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 60, 8183, No update data, 9g3qx341q19n
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 96, 13430, No update data, 9g3qx239u6qn
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 44, 5214, No update data, 9g3qx21wztu5
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 92, 13527, No update data, 9g3qx21y1t76
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 90, 13193, No update data, 9g3qx21wycbf
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 98, 13746, No update data, 9g3qx239bp2t
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 36, 4175, No update data, 9g3qx21wyd6w
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 67, 8848, No update data, 9g3qx34yv6fc
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 64, 8374, No update data, 9g3qx21wrq2f
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 94, 13861, No update data, 9g3qx2z4ezsv
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 57, 7268, No update data, 9g3qx2z4gg2h
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 64, 8851, No update data, 9g3qx2c6msvc
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 98, 13746, No update data, 9g3qx2z4ug9w
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 60, 7742, No update data, 9g3qx233p0ev
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 96, 14195, No update data, 9g3qx2z4zc4x
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 94, 13861, No update data, 9g3qx2zn3466
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 98, 13746, No update data, 9g3qx290gx9x
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx23353ut
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 100, 14062, No update data, 9g3qx2336fgj
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 98, 13746, No update data, 9g3qx233c95q
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 98, 13746, No update data, 9g3qx290fxmj
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 98, 13746, No update data, 9g3qx2916x84
