Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 63, 8216, No update data, 9g3qx2uj1u8x
Bird, MEX, 355cceba-b6e4-40bc-920b-b1958de1a93b, 63, 8684, No update data, 9g3qx2t8n133
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 54, 7181, No update data, 9g3qx2g69cqw
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 46, 5845, No update data, 9g3qx2t9zzrm
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 54, 7181, No update data, 9g3qx2g41k2m
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 96, 14195, No update data, 9g3qx2ty4emp
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx2ty5h2m
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 74, 9954, No update data, 9g3qx2hw3mj6
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 91, 13360, No update data, 9g3qx2tydyer
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 97, 13588, No update data, 9g3qx2tyh8em
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 27, 2672, No update data, 9g3qx26g4t8h
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 30, 3173, No update data, 9g3qx26g9n45
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 55, 6952, No update data, 9g3qx2hvup7j
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 93, 13694, No update data, 9g3qx2hhfsj0
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 66, 9185, No update data, 9g3qx25uz7rh
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 70, 9322, No update data, 9g3qx2gh82gf
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 75, 10112, No update data, 9g3qx2hk888b
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 90, 13193, No update data, 9g3qx2h5ddj1
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 90, 13193, No update data, 9g3qx2h588wb
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 74, 10521, No update data, 9g3qx25jq7u7
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 34, 3841, No update data, 9g3qx2jk2m7u
Bird, MEX, 91d27b27-39c8-4300-ae4f-56102b634f9c, 66, 8690, No update data, 9g3qx2wqf8vj
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 93, 13694, No update data, 9g3qx25fwbvf
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 96, 14195, No update data, 9g3qx2h46ejp
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 96, 13430, No update data, 9g3qx2y4v0k9
