Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 42, 4898, No update data, 9g3qx2kvh4g5
Bird, MEX, 676ea6db-4c6f-45ca-b25e-4bf867de4c67, 67, 8848, No update data, 9g3qx2kef079
Bird, MEX, b5e967e6-a6bf-4602-9ed8-425002117823, 91, 13360, No update data, 9g3qx2tnd8v4
Bird, MEX, 3f35f9a2-462c-48c5-afa3-51d4d7f7dfa0, 31, 3340, No update data, 9g3qx2e25uku
Bird, MEX, 9d7f8b2e-8151-4d21-8276-94dcaff17122, 81, 11690, No update data, 9g3qx2gc7k7r
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 98, 14529, No update data, 9g3qx2tpk0g0
Bird, MEX, 536ba51c-6392-4b93-a7cf-cb7b242f713f, 82, 11218, No update data, 9g3qx2t7g6g8
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 91, 13360, No update data, 9g3qx2ubz73h
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 69, 9164, No update data, 9g3qx2tkh6b5
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 97, 14362, No update data, 9g3qx2ucsk20
Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 73, 10354, No update data, 9g3qx2tkkngp
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 36, 4175, No update data, 9g3qx2kgmmrv
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 71, 10020, No update data, 9g3qx2v1185d
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 74, 10521, No update data, 9g3qx2tkmtwp
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 100, 14062, No update data, 9g3qx27kuu42
Bird, MEX, 91437326-50a5-4ba8-a8ad-3140909f11bf, 92, 13527, No update data, 9g3qx27knpc4
Bird, MEX, 5a06f171-00ed-44e6-8b0a-3d8d034e4339, 28, 2686, No update data, 9g3qx27m4cgm
