Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 100, 14062, No update data, 9g3qx2ey9q07
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 89, 12324, No update data, 9g3qx2thvhkd
Bird, MEX, 8260420b-6323-4d6a-9b78-4ac0b58a5e85, 99, 14696, No update data, 9g3qx2e2u47n
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 100, 14863, No update data, 9g3qx2e2gt9d
Bird, MEX, 7c79ce4c-e6ae-4973-ba0e-be05a5a8a146, 91, 12640, No update data, 9g3qx2tn781s
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 87, 12008, No update data, 9g3qx2thysp8
Bird, MEX, e70b8342-c721-49b4-8fc4-d3f12f55afcc, 100, 14062, No update data, 9g3qx2e34cgm
Bird, MEX, fbfcf1a3-ce49-448f-b9e9-4b9716299879, 74, 10521, No update data, 9g3qx2tnk8kw
Bird, MEX, 2b677e56-493a-4567-bc7f-1b1428deeb5e, 100, 14062, No update data, 9g3qx2e3ckbq
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 72, 10187, No update data, 9g3qx2tngwxb
Bird, MEX, 8d6ebf50-d466-4071-a21b-c2db1dd7b41f, 55, 7348, No update data, 9g3qx27qgx9x
Bird, MEX, 08283b09-81c5-460f-b8c4-74e02e86c212, 49, 6346, No update data, 9g3qx27sf31y
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 97, 13588, No update data, 9g3qx2uch6b5
Bird, MEX, 62cf0978-ecb0-4551-a460-3847a380882a, 19, 1336, No update data, 9g3qx2tnwpr7
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 98, 13746, No update data, 9g3qx2ucn493
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 80, 11523, No update data, 9g3qx2t7upep
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 98, 13746, No update data, 9g3qx27pxrzp
Bird, MEX, 31ed2f3d-6721-4eb0-9e61-30e8f63f90e8, 74, 9954, No update data, 9g3qx2e0w0z6
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 92, 13527, No update data, 9g3qx2t7v7ru
Bird, MEX, 0a287ef0-1e5f-4ff0-bf11-69f5635a1515, 46, 5845, No update data, 9g3qx2e0mtqj
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 71, 9480, No update data, 9g3qx27q89nu
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 45, 5678, No update data, 9g3qx2t2m3ru
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 67, 8848, No update data, 9g3qx2gdjdnp
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 79, 10744, No update data, 9g3qx27kq9re
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx27kt0hw
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 92, 13527, No update data, 9g3qx2t7zr3j
Bird, MEX, 7e0e4ebd-6cbb-4d5a-a88d-84177c830967, 94, 13114, No update data, 9g3qx2tr7dzv
Bird, MEX, 355cceba-b6e4-40bc-920b-b1958de1a93b, 62, 8517, No update data, 9g3qx2mxv3pz
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 48, 5846, No update data, 9g3qx2gs4d81
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 90, 13193, No update data, 9g3qx2twzvx6
Bird, MEX, 71b9aa3a-b59d-45e7-add6-18639c63dcce, 65, 8532, No update data, 9g3qx2mzdq9z
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 97, 13588, No update data, 9g3qx2tvg40m
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 73, 9796, No update data, 9g3qx2hw338m
