Bird, MEX, d9cea50f-4912-47c9-89f0-48718c7de449, 96, 13430, No update data, 9g3qx2ev9egw
Bird, MEX, 5d1de4ea-eae3-41f0-a209-14bb63d0c4f5, 89, 13026, No update data, 9g3qx2evf79y
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 97, 14362, No update data, 9g3qx2evf55d
Bird, MEX, b55458eb-87bb-44bd-9d2b-2b7d14aa06ff, 88, 12859, No update data, 9g3qx2evbd0v
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 89, 13026, No update data, 9g3qx2evbvef
Bird, MEX, cc62ef2f-e3b8-447f-bb06-c68a77a7b658, 97, 13588, No update data, 9g3qx2ewppu4
Bird, MEX, 9cbb5bc6-435e-475e-ae6b-c3c28a3fa722, 96, 13430, No update data, 9g3qx2syg4b2
Bird, MEX, 8d798531-3b24-487d-887a-dd33c5d49575, 87, 12008, No update data, 9g3qx2ksejtq
Bird, MEX, d7344496-c5ab-4eb8-970c-a698a2e981a4, 89, 13026, No update data, 9g3qx2e3wqsr
Bird, MEX, f18a291f-0f75-49a3-9d16-30439a11edbc, 98, 14529, No update data, 9g3qx2e6j1ut
Bird, MEX, 80e3f1ae-a5fd-4965-95da-36ab61ba45f9, 92, 13527, No update data, 9g3qx2tn16t3
Bird, MEX, 3b129dc4-b82a-4ac4-bec6-72d5f4ab70e1, 99, 13904, No update data, 9g3qx2tjee9s
Bird, MEX, 6721938c-484b-4324-9701-02c790c92917, 97, 13588, No update data, 9g3qx2szu9hx
Bird, MEX, d54b8a48-488d-492a-883a-ea124d0566b6, 97, 14362, No update data, 9g3qx2e3g8rc
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 49, 6346, No update data, 9g3qx2ksj64z
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 49, 6004, No update data, 9g3qx27rns6s
Bird, MEX, d329a88f-7fb3-4252-8abd-55be08016c64, 88, 12859, No update data, 9g3qx2szrrr1
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 92, 13527, No update data, 9g3qx2tp3kjm
Bird, MEX, 18c80676-0e55-4f67-ba7d-2400ab892dc5, 99, 14696, No update data, 9g3qx2e33vne
Bird, MEX, 572d06a9-c198-4807-9f4b-179314d10171, 76, 10855, No update data, 9g3qx2ubp7rp
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 93, 13694, No update data, 9g3qx2tjryzr
Bird, MEX, 683b932a-0d00-4706-a621-ea4bfa7b5a62, 92, 13527, No update data, 9g3qx2tqeret
Bird, MEX, 9e0d93ea-1765-44c7-ab7a-a5a6d899dab3, 98, 13746, No update data, 9g3qx27k5uku
Bird, MEX, de6f0037-2ee9-477f-8e3e-3ddf068e840b, 97, 13588, No update data, 9g3qx27k6kcc
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 82, 11218, No update data, 9g3qx2eh968q
Bird, MEX, b19d191c-3e0d-489a-9c1f-879cdcf122d7, 78, 11189, No update data, 9g3qx279mzk2
Bird, MEX, e25e5707-996b-4673-8bbb-496d9011a7ff, 57, 7682, No update data, 9g3qx2tsugrs
Bird, MEX, 71bc491c-200b-4356-b876-033a65d90353, 40, 4843, No update data, 9g3qx2tthvzw
Bird, MEX, d3355024-95e7-4df7-af1a-1557195debd3, 89, 13026, No update data, 9g3qx2tsw1c2
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 100, 14863, No update data, 9g3qx278uf9k
Bird, MEX, 0155ef64-a731-4181-bc36-2ac29b95416a, 65, 9018, No update data, 9g3qx2tsy2um
Bird, MEX, c89b0474-686a-4d23-8ffb-e0f7cfec0968, 39, 4676, No update data, 9g3qx2gvr9sn
Bird, MEX, 19421a37-328d-419b-ae15-1fd7ff34de7c, 92, 13527, No update data, 9g3qx2twm8nh
Bird, MEX, 67e42b2f-8a7a-4652-a635-bf3bdf793b31, 40, 4843, No update data, 9g3qx2kbw2u6
Bird, MEX, 7ec6359e-1591-4505-b13d-2b7ccd4c5d60, 84, 11534, No update data, 9g3qx2kbq1zr
Bird, MEX, ba056281-f852-4721-ba21-231dd8965e18, 62, 8517, No update data, 9g3qx2ujcg2t
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 62, 8058, No update data, 9g3qx2g1uqb4
