Bird, MEX, e557e3ce-1b9d-46c0-b65b-562930d4bce8, 48, 4366, No update data, 9g3qrrk21cwf
Bird, MEX, a0ad738d-3266-4eb6-a324-4144c0fa437d, 64, 8851, No update data, 9g3qrqpytrfu
Bird, MEX, a3849b00-3fd7-4129-aa0a-555ca611a77c, 91, 12640, No update data, 9g3qrrh0kpg5
Bird, MEX, 53284b72-7fbd-4349-87c5-342872685166, 29, 3006, No update data, 9g3qrqpn8pvs
Bird, MEX, 55682f7f-dc96-4934-8c02-18457d6bb9db, 63, 8684, No update data, 9g3qrqunun5h
Bird, MEX, 8cc971a7-fa87-4801-91bd-10533cd2efcf, 60, 7742, No update data, 9g3qrqnxj64v
Bird, MEX, 683cc1bf-6b90-48e6-a504-a3bebc0fc21b, 44, 5214, No update data, 9g3qrqsq37v3
Bird, MEX, 1b85f0af-6ac9-4fb0-8d04-641368dad95f, 65, 8532, No update data, 9g3qrqsmdpgt
Bird, MEX, de773603-3168-4580-9c71-ec5572c13101, 87, 12008, No update data, 9g3qrw3bc3mw
Bird, MEX, 1196e3f2-3c62-409d-a482-69acf8dcc575, 81, 11690, No update data, 9g3qrw3b9np3
Bird, MEX, 08e7cbbd-b194-435c-8c55-746affa2b550, 94, 13114, No update data, 9g3qrr5zwxp8
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 94, 13114, No update data, 9g3qrr5ztgs6
Bird, MEX, b5ffd8c4-d5aa-4583-9fbe-f044ee8b974b, 79, 11356, No update data, 9g3qrqnp1h40
Bird, MEX, 8614de40-02ff-4eb3-973b-9ddb4018ae61, 91, 12640, No update data, 9g3qrr5zkk2n
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 96, 13430, No update data, 9g3qrr5zs32j
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 37, 4342, No update data, 9g3qrr7usqn6
Bird, MEX, 65e4b0c6-08ed-475e-8845-69e61e407e3c, 40, 4843, No update data, 9g3qrr7eyx6s
Bird, MEX, d58b661c-d92c-4be2-91b1-2e3842a6e96c, 84, 11534, No update data, 9g3qrqgd3fbs
Bird, MEX, 9d44c65f-a546-4387-a5b2-0d831c218f44, 91, 13360, No update data, 9g3qrqkc06gb
Bird, MEX, 68ae46ab-3715-4144-b3c1-8e6acc722685, 92, 13527, No update data, 9g3qrqk9ndz8
Bird, MEX, 16ffc0a9-84c9-414e-9219-89cb5a18171f, 34, 3841, No update data, 9g3qrqgmcy0s
Bird, MEX, 1d818a0b-bad3-4f7f-a16a-a1379c554144, 51, 6320, No update data, 9g3qrqk8xqp1
Bird, MEX, b11e39f7-710d-412d-b2f6-b6eb9eb5fe32, 94, 13861, No update data, 9g3qrqk8y6h6
Bird, MEX, 348f4420-ae35-401c-a3f7-812c8f464aa3, 91, 13360, No update data, 9g3qrqk8ttn5
Bird, MEX, 2baf1f0e-4160-4849-95f7-deabea274191, 87, 12692, No update data, 9g3qrqj7zgzq
Bird, MEX, c460018f-2782-49b0-aa73-f731f62e6183, 82, 11218, No update data, 9g3qrqhygw1e
Bird, MEX, 2a16c7e2-a4a7-4ab1-8925-f10faaaca1b8, 73, 10354, No update data, 9g3qrqk6c95s
Bird, MEX, 34dc427f-2724-46fd-9bfe-464b0b0035ee, 91, 13360, No update data, 9g3qrqgp7t19
