Lime, ATL, WQP, high, 13277, 2019-08-12T22:45:12.000Z, dn5br47zzgmc
Bird, MEX, d4b35238-c0ab-4a0f-b0ed-3743711102fa, 47, 5688, No update data, 9g3qx2snz4u0
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 98, 13746, No update data, 9g3qx2sqbtbu
Bird, MEX, 2198fb74-c6f7-46b0-91c1-51195d0d4cb7, 98, 14529, No update data, 9g3qx2spntfw
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 98, 13746, No update data, 9g3qx2swsr25
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 99, 13904, No update data, 9g3qx2etqytv
Bird, MEX, e4c4eab0-8b33-45fb-93a8-ee7f65202e79, 18, 1169, No update data, 9g3qx2kjp331
Bird, MEX, d683562e-1e81-488e-a1d9-4dcccef032c1, 98, 14529, No update data, 9g3qx2spc706
Bird, MEX, ac99795c-4079-4fef-a2a4-fe841484a1d9, 98, 14529, No update data, 9g3qx2etv3fg
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 84, 12191, No update data, 9g3qx2tn405c
Bird, MEX, 933ab2a1-650f-487f-84d9-16ef9179f273, 66, 9185, No update data, 9g3qx2e3ghn2
Bird, MEX, 14b43c27-3703-477b-ba1e-4793108c54f4, 75, 10688, No update data, 9g3qx2e648tj
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 33, 3674, No update data, 9g3qx2kernun
Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 70, 9853, No update data, 9g3qx2tkkmwr
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 66, 8690, No update data, 9g3qx2t7vewn
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 71, 10020, No update data, 9g3qx2tkq5pr
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 24, 2171, No update data, 9g3qx2t92y7g
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 92, 12798, No update data, 9g3qx2ttjck3
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 92, 12798, No update data, 9g3qx2tsys6d
Bird, MEX, 9009e2a2-75b0-43df-9c8d-4f4cf98892b0, 52, 6847, No update data, 9g3qx2g4p4hp
Bird, MEX, 45dae591-5bdd-4099-8684-fb177bb4d96f, 57, 7682, No update data, 9g3qx2txhvcw
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 96, 13430, No update data, 9g3qx273n7hk
Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 85, 12358, No update data, 9g3qx2m03rbk
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 80, 11523, No update data, 9g3qx2tv13vm
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 90, 13193, No update data, 9g3qx2tv1979
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 79, 11356, No update data, 9g3qx2m30nm8
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 60, 8183, No update data, 9g3qx26u040x
Bird, MEX, 0360abd8-2f73-4a2f-b6a3-58e86c2ae706, 19, 1264, No update data, 9g3qx2muskb5
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 48, 5846, No update data, 9g3qx26f36bm
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 80, 11523, No update data, 9g3qx26s5bhc
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 63, 8216, No update data, 9g3qx2hk0pjw
