Bird, MEX, 9f23ec7c-9545-4567-8cb2-9f519b0ea12e, 96, 14195, No update data, 9g3qx2y4sz3e
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 61, 8350, No update data, 9g3qx2wqgbuv
Bird, MEX, 07ab928b-9892-4dd9-b3cb-d214bacc85c4, 63, 8216, No update data, 9g3qx2j57ckg
Bird, MEX, 3358d608-0862-4bd2-bb3b-5d5dfeb77a31, 85, 12358, No update data, 9g3qx2wrkbpu
Bird, MEX, 24614693-b33c-435a-a697-c6f698a39bb0, 96, 14195, No update data, 9g3qx2y5n969
Bird, MEX, 94477dd0-27ca-4732-8087-10a703326761, 73, 10354, No update data, 9g3qx2wqynx8
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 47, 5688, No update data, 9g3qx2j7sxgq
Bird, MEX, e0dd2efa-c5bf-4ee6-8747-aed143b278df, 60, 8183, No update data, 9g3qx2qmnftc
Bird, MEX, b508965f-7fff-410e-bca3-31843ced566d, 72, 9638, No update data, 9g3qx254zy6r
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 78, 11189, No update data, 9g3qx2jvwwpe
Bird, MEX, fa4b83d2-8a35-4e9b-91e4-7fe8f1831641, 92, 12798, No update data, 9g3qx23vrcfr
Bird, MEX, a1e7bf1a-b339-436d-bcde-474cf079c37e, 90, 12482, No update data, 9g3qx26h8pvx
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 72, 10187, No update data, 9g3qx3jbcf0t
Bird, MEX, 43d9c69a-545c-4927-8e97-230367b8c13b, 39, 4676, No update data, 9g3qx2f10zg4
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 94, 13861, No update data, 9g3qx2y7uksy
Bird, MEX, 7f4044d5-f365-4c18-babc-90d4a763771f, 43, 5344, No update data, 9g3qx23uz0gu
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 91, 12640, No update data, 9g3qx23vnn30
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 70, 9853, No update data, 9g3qx348whr2
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 78, 11189, No update data, 9g3qx348zm8f
