Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 81, 11690, No update data, 9g3qx26w9e7d
Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 60, 7742, No update data, 9g3qx2hhcte9
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 63, 8216, No update data, 9g3qx2hhs2b4
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 49, 6346, No update data, 9g3qx25p9zbx
Bird, MEX, dcad6ebf-2e88-4fa8-83a5-5b648c4bf496, 80, 11523, No update data, 9g3qx25uqdr9
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 61, 8350, No update data, 9g3qx26rkvrt
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 48, 6179, No update data, 9g3qx2y0nsdx
Bird, MEX, 02a012ac-f655-4e34-8d7a-92fcb3269eaa, 63, 8684, No update data, 9g3qx2qr1gyc
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 71, 10020, No update data, 9g3qx2wrcktk
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 96, 13430, No update data, 9g3qx3hd2xyv
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 72, 9638, No update data, 9g3qx2qkbbk1
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 46, 5845, No update data, 9g3qx2y270b2
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 81, 11690, No update data, 9g3qx2y25zsb
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 89, 13026, No update data, 9g3qx26hu554
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 83, 12024, No update data, 9g3qx26je1b0
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 56, 7110, No update data, 9g3qx2jyh2n3
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 93, 13694, No update data, 9g3qx26j6pgs
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 89, 13026, No update data, 9g3qx26j669g
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 47, 6012, No update data, 9g3qx2h9hm24
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 92, 13527, No update data, 9g3qx26hd4ew
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 70, 9322, No update data, 9g3qx29ywytz
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 13bf106d-02f3-4c1b-a6ec-64085ca9f8c5, 75, 10112, No update data, 9g3qx2ykcwgd
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 45, 5678, No update data, 9g3qx3je457z
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 65, 9018, No update data, 9g3qx2610pvd
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 90, 12482, No update data, 9g3qrrungrer
