Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 81, 11690, No update data, 9g3qx2kcmdq1
Bird, MEX, 9002b5ac-a7a6-4e75-9e70-cc9315530bc7, 76, 10270, No update data, 9g3qx2g4t36y
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 75, 10688, No update data, 9g3qx2m0nzvf
Bird, MEX, 94ad70bd-cb17-4f76-aa06-8c24d7b7bc00, 80, 10902, No update data, 9g3qx2gh9x7e
Bird, MEX, 0ee5f1e4-7b7f-41b5-a8a0-41fc90e2a6db, 43, 5344, No update data, 9g3qx2mgv5sw
Bird, MEX, 2ef48574-f70a-499f-a933-93a0157ee603, 70, 9853, No update data, 9g3qx25ukm8n
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 44, 5511, No update data, 9g3qx25jw8x8
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 69, 9164, No update data, 9g3qx2qkbnjw
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 52, 6478, No update data, 9g3qx2jk5e1s
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 62, 8058, No update data, 9g3qx2j7gyuc
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 87, 12692, No update data, 9g3qx26hwkhr
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 84, 12191, No update data, 9g3qx26huts6
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 83, 12024, No update data, 9g3qx26heysz
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 88, 12859, No update data, 9g3qx26hg91w
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 43, 5344, No update data, 9g3qx2h9m6dg
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 72, 10187, No update data, 9g3qx26h7spv
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 52, 6478, No update data, 9g3qx2juveqh
Bird, MEX, 2f8e3eca-15ff-4bdf-bb5c-a759fa49d92e, 20, 1503, No update data, 9g3qx2nr4mfn
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 87, 12008, No update data, 9g3qx2fqfy5q
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 79, 11356, No update data, 9g3qx2fqbjtd
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 55, 6952, No update data, 9g3qx23g8xyz
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 39, 4676, No update data, 9g3qx2fnvq4y
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 40, 4582, No update data, 9g3qx23ez0eg
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 44, 5214, No update data, 9g3qx2xh08zp
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 64, 8374, No update data, 9g3qx2nxvcu6
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 67, 8848, No update data, 9g3qx23dwu8c
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 46, 5845, No update data, 9g3qx2qch6b5
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 45, 5678, No update data, 9g3qx2yv4kdp
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 94, 13114, No update data, 9g3qx23d1wgk
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 78, 10586, No update data, 9g3qx2z43vqv
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 84, 11534, No update data, 9g3qx23d13m3
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 80, 11523, No update data, 9g3qx2yy5y21
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 82, 11218, No update data, 9g3qx239b8bs
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 38, 4266, No update data, 9g3qx2ctk1en
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 71, 10020, No update data, 9g3qx233zmz5
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 83, 12024, No update data, 9g3qx2yvvkxu
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 84, 11534, No update data, 9g3qx233xss1
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 78, 11189, No update data, 9g3qx2yz97tk
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 79, 10744, No update data, 9g3qx2z55vsv
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 85, 12358, No update data, 9g3qx2yvygjg
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 84, 12191, No update data, 9g3qx2yyqsf9
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 85, 12358, No update data, 9g3qx233tqdz
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 87, 12692, No update data, 9g3qx236h8h3
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 64, 8374, No update data, 9g3qx2zn2pm9
Bird, MEX, 2e6d2236-b862-4a13-b251-57860a66e501, 72, 10187, No update data, 9g3qx291g8zv
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 89, 13026, No update data, 9g3qx232fsj0
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 51, 6680, No update data, 9g3qx2909qtr
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 84, 11534, No update data, 9g3qx2z6gc81
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 52, 6847, No update data, 9g3qx23he8zf
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 57, 7268, No update data, 9g3qx232b8qb
Bird, MEX, 4404df5a-fc9e-4aa8-9174-8359e49155db, 64, 8851, No update data, 9g3qx2r7qytu
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 88, 12859, No update data, 9g3qx21mr62c
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 71, 9480, No update data, 9g3qx230z6z0
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 67, 8848, No update data, 9g3qx23223et
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 69, 9686, No update data, 9g3qx231nf0z
Bird, MEX, 62edfae9-c344-4128-87bc-b3b0b744f33e, 81, 11060, No update data, 9g3qx230rqxh
Bird, MEX, 9967c7f3-5080-4c77-95fe-adf404dc8135, 46, 5845, No update data, 9g3qx31um6zy
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 60, 8183, No update data, 9g3qx3p05pyd
Bird, MEX, 7cbda187-c6d2-403b-a7c1-7330b2f1637e, 82, 11218, No update data, 9g3qx21kygjd
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 78, 10586, No update data, 9g3qx230qv0g
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 82, 11218, No update data, 9g3qx28fm3dy
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 85, 12358, No update data, 9g3qx3p0n4ze
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 89, 13026, No update data, 9g3qx230kkqp
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 87, 12008, No update data, 9g3qrrym3sg8
Bird, MEX, 4b53c12d-7109-4678-ab3c-1cbcecb34c17, 84, 11534, No update data, 9g3qrrczqncn
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 98, 13746, No update data, 9g3qx3p0y5pe
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 82, 11218, No update data, 9g3qx3ntt9qp
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 93, 13694, No update data, 9g3qx3m7m4kd
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 57, 7268, No update data, 9g3qx3p0pzx2
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 85, 12358, No update data, 9g3qx2zmr0hh
Bird, MEX, 2deb174c-44d0-4e49-9c99-226ea4156599, 88, 12166, No update data, 9g3qx3kkcg2t
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 74, 10521, No update data, 9g3qx2z8vg7h
Bird, MEX, ceb60b2d-0911-4b72-8f83-82999d1023e9, 65, 8532, No update data, 9g3qx36gp62b
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 84, 12191, No update data, 9g3qx2zeg4b3
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 97, 13588, No update data, 9g3qx3m7x79h
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 64, 8851, No update data, 9g3qx2z9y0cm
Bird, MEX, e99e4150-93be-4ef9-800a-8a9322a8e3d9, 84, 12191, No update data, 9g3qx22cqyvw
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 88, 12859, No update data, 9g3qx2302dqc
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 94, 13114, No update data, 9g3qx3m7v76v
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 72, 10187, No update data, 9g3qx2z8z2zm
Bird, MEX, 40dc89b0-44d3-4c07-878c-3962e0a4cdab, 72, 10187, No update data, 9g3qx2zegg05
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 92, 13527, No update data, 9g3qx3m7vswj
Bird, MEX, b639eb2d-7ed2-497a-9575-570601c41e84, 39, 4424, No update data, 9g3qx31wr07y
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 88, 12859, No update data, 9g3qx2zsqumz
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 88, 9086, No update data, 9g3qx2zgbnt8
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 89, 13026, No update data, 9g3qx2zswztv
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 90, 13193, No update data, 9g3qx2zu04t9
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 87, 8968, No update data, 9g3qx2zgbgkh
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 71, 10020, No update data, 9g3qrryykn50
Bird, MEX, 6ef92d03-7e04-4973-a7d9-a43a595edd48, 83, 11376, No update data, 9g3qx2zg9x59
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 82, 11857, No update data, 9g3qrrswt7rc
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 76, 10855, No update data, 9g3qrryv2m7u
