Bird, MEX, e8a8eb30-c1ee-4879-9f17-dcc4e0a3dbbe, 99, 13904, No update data, 9g3qx2s21b09
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 97, 13588, No update data, 9g3qx2tpdq1g
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 99, 13904, No update data, 9g3qx2tpg839
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 100, 14062, No update data, 9g3qx2tpv34z
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 81, 11060, No update data, 9g3qx2gf2hb9
Bird, MEX, 1d86afa4-383a-45e2-8c5e-f9678c85210e, 99, 14696, No update data, 9g3qx27nnjr6
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 100, 14863, No update data, 9g3qx27nn2ur
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 98, 14529, No update data, 9g3qx27nkyre
Bird, MEX, 9eb9abf5-622f-4288-bd07-6a0d0452248c, 98, 14529, No update data, 9g3qx27jqkhm
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 99, 14696, No update data, 9g3qx2tsyhp8
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 60, 8183, No update data, 9g3qx2tbs3nk
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 99, 14696, No update data, 9g3qx2tuq5px
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 96, 14195, No update data, 9g3qx2wh914h
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 82, 11218, No update data, 9g3qx2gh9gws
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 99, 14696, No update data, 9g3qx2wjhqbh
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 99, 14696, No update data, 9g3qx2wne0b6
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 97, 13588, No update data, 9g3qx2dqhb9m
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 98, 14529, No update data, 9g3qx2wnpjsh
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 96, 13430, No update data, 9g3qx266xpgz
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 61, 7900, No update data, 9g3qx2y20jvw
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 67, 8848, No update data, 9g3qx2w6szxv
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 100, 14062, No update data, 9g3qx2wr6tj5
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dnwuvu
Bird, MEX, 3086435f-ae03-434a-ad60-daf1437a61f0, 18, 1169, No update data, 9g3qx24y5zsb
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 70, 9322, No update data, 9g3qx266kdk3
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 78, 10586, No update data, 9g3qx266f2cu
Bird, MEX, a8a395e8-9aa5-4be6-860c-d71d9e52131f, 99, 13904, No update data, 9g3qx26hszzx
Bird, MEX, 6f15c284-1c18-446b-a5b8-8280bdc0c0a9, 100, 14062, No update data, 9g3qx26hge9w
Bird, MEX, dcf07f54-718b-43d2-ae66-88c28b7534e0, 100, 14062, No update data, 9g3qx26hes99
Bird, MEX, 5b93f1be-220c-44fe-a52d-f3048b36849d, 49, 6004, No update data, 9g3qx262kneh
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 99, 14696, No update data, 9g3qx2wtgwpy
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 97, 13588, No update data, 9g3qx26284vx
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 100, 14863, No update data, 9g3qx2ykcg0e
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 99, 14696, No update data, 9g3qx2ykccyg
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 44, 5214, No update data, 9g3qx35s08nf
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 98, 14529, No update data, 9g3qx2ykf4gc
Bird, MEX, 21d5fbec-0a8a-40f2-85ee-44608e7d6851, 99, 14696, No update data, 9g3qx2ykfjgu
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 97, 14362, No update data, 9g3qx2wwqh3r
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 96, 14195, No update data, 9g3qx2ym48tn
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 46, 5845, No update data, 9g3qx3j7jfhr
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 90, 12482, No update data, 9g3qx34cgqhw
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 92, 12798, No update data, 9g3qx2fr669u
Bird, MEX, b43d51bb-fe9b-45a1-9510-434d1a8e5ce3, 44, 5511, No update data, 9g3qx23cqxfs
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 91, 12640, No update data, 9g3qx2fr9sed
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 52, 6478, No update data, 9g3qx23bx60f
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 58, 7426, No update data, 9g3qx2rn2yun
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 63, 8684, No update data, 9g3qx341q410
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 84, 11534, No update data, 9g3qx341jxvf
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 65, 8532, No update data, 9g3qx21yerke
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 97, 14362, No update data, 9g3qx21ybg7u
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 94, 13861, No update data, 9g3qx21y6479
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 100, 14062, No update data, 9g3qx2yy3y8t
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 69, 9164, No update data, 9g3qx34yw43j
Bird, MEX, e1aea749-c2f9-43ea-8560-645e443366e1, 100, 14062, No update data, 9g3qx2yyefhf
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 39, 4676, No update data, 9g3qx21ww595
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 99, 14696, No update data, 9g3qx2yysse6
Bird, MEX, 0ce8a922-941d-4440-a15e-1f4cb38f85ba, 99, 13904, No update data, 9g3qx2yysy3w
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 98, 13746, No update data, 9g3qx233wsfe
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 61, 7900, No update data, 9g3qx233w4rk
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx233twjg
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 66, 9185, No update data, 9g3qx2c7jps8
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 45, 5372, No update data, 9g3qx21wj0st
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 82, 11857, No update data, 9g3qx2z69uwf
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 98, 13746, No update data, 9g3qx232gj20
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 99, 13904, No update data, 9g3qx2zphzcd
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 93, 13694, No update data, 9g3qx2zps1g0
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 89, 12324, No update data, 9g3qx231tuhp
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 96, 14195, No update data, 9g3qx21mpjgy
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 96, 13430, No update data, 9g3qx3p050nd
Bird, MEX, 136250ad-1ef5-48cc-b050-c340a32cf99b, 97, 13588, No update data, 9g3qx2zps6n6
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 99, 13904, No update data, 9g3qx2zpu555
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 96, 14195, No update data, 9g3qx21kxwsp
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 100, 14062, No update data, 9g3qx231sy5e
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 100, 14062, No update data, 9g3qx231jbk5
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 51, 6320, No update data, 9g3qx2zpwhck
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 99, 14696, No update data, 9g3qx21kvuk4
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 65, 9018, No update data, 9g3qx3kkn1xk
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 100, 14062, No update data, 9g3qx28cubr9
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 100, 14062, No update data, 9g3qx231h9k3
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 100, 14062, No update data, 9g3qx231hn70
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 100, 14062, No update data, 9g3qx230u8s6
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 98, 13746, No update data, 9g3qx3kknwde
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 99, 14696, No update data, 9g3qx3kkjphx
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 92, 13527, No update data, 9g3qx21kt8tb
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 100, 14062, No update data, 9g3qx28c7spv
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 100, 14062, No update data, 9g3qx28bg998
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 99, 14696, No update data, 9g3qx2zr32jk
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 93, 12956, No update data, 9g3qx21kkuc2
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx2zqfdb3
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 100, 14062, No update data, 9g3qx28cgj20
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 100, 14062, No update data, 9g3qx28bfc5p
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 100, 14062, No update data, 9g3qx28f9x53
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 72, 9638, No update data, 9g3qx2xv3qtm
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 99, 14696, No update data, 9g3qx3p25f0p
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 89, 12324, No update data, 9g3qx3mefk9v
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 27, 2528, No update data, 9g3qx2zt7nwt
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 43, 5344, No update data, 9g3qx2rv5j02
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 91, 12640, No update data, 9g3qx2pwds83
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 94, 13861, No update data, 9g3qx21hjkxw
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 98, 14529, No update data, 9g3qx215wpzq
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 93, 13694, No update data, 9g3qx21hj2xt
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 99, 14696, No update data, 9g3qx215vsvv
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 100, 14062, No update data, 9g3qx215uucm
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 100, 14062, No update data, 9g3qx215mzs4
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 100, 14062, No update data, 9g3qx215uqnj
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 98, 14529, No update data, 9g3qx215sgzt
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 100, 14062, No update data, 9g3qx215u47n
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 51, 6680, No update data, 9g3qx3nxz3pr
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 94, 13861, No update data, 9g3qx215s451
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 75, 10112, No update data, 9g3qx3msxs3y
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 98, 13746, No update data, 9g3qx2zvtu70
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 94, 13114, No update data, 9g3qx2zyn8xw
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 96, 14195, No update data, 9g3qx8bjcjd6
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 90, 13193, No update data, 9g3qx8bn277b
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 99, 13904, No update data, 9g3qx8bjdnez
Bird, MEX, 8e7fdbec-d7de-4d16-9f49-9c03cf8c69c3, 100, 14062, No update data, 9g3qx3pcdxj1
Bird, MEX, f06223e8-fd65-4e99-9011-dd689f3ae6ba, 99, 10384, No update data, 9g3qx3pce5yw
Bird, MEX, 1db95589-817c-4beb-a7ab-17a471e18bd4, 98, 14529, No update data, 9g3qx3pf3bb8
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 87, 12692, No update data, 9g3qx8bjgpns
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 96, 14195, No update data, 9g3qx8bn6b5k
Bird, MEX, f95e118a-4a69-44fa-b0af-b5b674c8bc3f, 99, 14696, No update data, 9g3qx3pcsg3d
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 97, 13588, No update data, 9g3qx8bnsb1x
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 97, 13588, No update data, 9g3qx8bnn3k9
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qx8bjywzd
Bird, MEX, d7cc1f30-d796-4b3b-b9d6-f74d31d7f1dd, 98, 13746, No update data, 9g3qx8bm85vw
Bird, MEX, 2568661c-9c45-470b-aa17-8661d3a361eb, 46, 5530, No update data, 9g3qx3t1bx0u
Bird, MEX, 2ad972c1-6166-4377-a4d3-a430c68e9dda, 78, 10586, No update data, 9g3qx3t4067b
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 42, 5177, No update data, 9g3qx2bqchdh
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 97, 14362, No update data, 9g3qx20mc7mh
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 70, 9322, No update data, 9g3qx82we1ns
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 97, 14362, No update data, 9g3qx20m3mj4
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 96, 14195, No update data, 9g3qx206r8h5
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 100, 14062, No update data, 9g3qx20d00j3
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 100, 14062, No update data, 9g3qx2093m2k
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 87, 12692, No update data, 9g3qx20m25jr
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 99, 13904, No update data, 9g3qx2092sb8
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 100, 14062, No update data, 9g3qx20915f0
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 99, 14696, No update data, 9g3qx203x3ph
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 93, 13694, No update data, 9g3qx20jprbc
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 70, 9322, No update data, 9g3qx3r6fe8r
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 96, 14195, No update data, 9g3qx203wgvt
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 100, 14062, No update data, 9g3qx20900vr
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 96, 14195, No update data, 9g3qx208be2s
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 97, 14362, No update data, 9g3qx20jnft8
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 99, 14696, No update data, 9g3qx208b2ed
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 87, 12692, No update data, 9g3qx20jq495
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 99, 14696, No update data, 9g3qx203w435
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 100, 14062, No update data, 9g3qx203nym8
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 96, 14195, No update data, 9g3qx208898x
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 97, 14362, No update data, 9g3qx203nrhm
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 99, 14696, No update data, 9g3qx203mck5
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 99, 14696, No update data, 9g3qx202yx6t
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 97, 14362, No update data, 9g3qx202rsu0
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd7sky4
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 97, 14362, No update data, 9g3qx202w9dx
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx902n09q
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 51, 6680, No update data, 9g3qx33ztetv
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 100, 14062, No update data, 9g3qx202q9fx
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 94, 13861, No update data, 9g3qx202nx4t
Bird, MEX, 1d75f469-da71-4c41-834c-def856ddcf8e, 82, 11218, No update data, 9g3qrrzv789z
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 84, 11534, No update data, 9g3qx32b9uwd
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 98, 13746, No update data, 9g3qx8bw9g2d
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 100, 14062, No update data, 9g3qx903syc8
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx902x1kp
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 92, 12798, No update data, 9g3qx3ehn6k2
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 99, 13904, No update data, 9g3qx8bxbqgf
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx8bx95r6
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 64, 8374, No update data, 9g3qx908kv1e
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 89, 12324, No update data, 9g3qx32gsfrt
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 52, 6847, No update data, 9g3qrrbqfm9c
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 42, 4898, No update data, 9g3qx89j8fkh
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 45, 5372, No update data, 9g3qx0rt3zys
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 100, 14062, No update data, 9g3qx90e8fsn
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90kw8ze
Bird, MEX, 910e0312-ca5a-4e21-8e8c-70afb537ec5e, 100, 14062, No update data, 9g3qx90s187s
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 100, 14062, No update data, 9g3qx90s8kef
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 100, 14062, No update data, 9g3qx90s6rr1
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 100, 14863, No update data, 9g3qx90t3tex
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbxdh5z
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 100, 14062, No update data, 9g3qx90fcfyc
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 71, 10020, No update data, 9g3qrr9dceem
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 100, 14062, No update data, 9g3qrr7ubf7v
Bird, MEX, a8755e9e-8c3a-4897-a6e2-6f85388bc193, 100, 14062, No update data, 9g3qrr7ueq7k
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 98, 13746, No update data, 9g3qx90fg5ne
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 99, 13904, No update data, 9g3qx90ctewh
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7u6zg7
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 96, 13430, No update data, 9g3qx90fudg3
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 65, 8532, No update data, 9g3qx83716jx
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 64, 8374, No update data, 9g3qrr971uqs
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 99, 13904, No update data, 9g3qx90gkgcs
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 93, 12956, No update data, 9g3qx925vqdb
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 94, 13114, No update data, 9g3qx92hj6fu
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 100, 14863, No update data, 9g3qx92hhvzz
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90fxmc4
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 98, 14529, No update data, 9g3qx92hkc9w
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx9143qtt
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 63, 8216, No update data, 9g3qx89rwymv
