Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 99, 13904, No update data, 9g3qx2fr6pgt
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 98, 13746, No update data, 9g3qx2fr9f8q
Bird, MEX, 2df3e21e-4194-45ec-8be8-4f6a66e041d9, 92, 12798, No update data, 9g3qx2qzt5kd
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 64, 8374, No update data, 9g3qx2rjc0r1
Bird, MEX, df2e5308-5e31-4b34-b964-62f213350020, 58, 7849, No update data, 9g3qx2c8d90h
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 91, 12640, No update data, 9g3qx340uk24
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 72, 9638, No update data, 9g3qx2z4fsj0
Bird, MEX, 3b0d6ca0-1546-4c2d-b971-e00efb5f7854, 99, 13904, No update data, 9g3qx21wr4eg
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 75, 10112, No update data, 9g3qx35p2528
Bird, MEX, 6b0e5829-be4a-4f30-af83-99b85f38ff05, 85, 12358, No update data, 9g3qx21x5ghu
Bird, MEX, b90794eb-6196-450f-aaaf-49dccc979004, 97, 13588, No update data, 9g3qx21wjbsj
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 79, 11356, No update data, 9g3qx2c6umyh
Bird, MEX, b0adf57c-8fd2-4534-a612-622c5b37ff1d, 93, 12956, No update data, 9g3qx21x40kg
Bird, MEX, 0568f6fb-efb5-48dd-b894-72fe239d76de, 79, 11356, No update data, 9g3qx234knrf
Bird, MEX, ec1d0e0f-7fb4-4e3d-aa31-4c23b4b20037, 52, 6478, No update data, 9g3qx21r95d5
Bird, MEX, e87b5469-7088-4ac1-92ce-b51a22630b34, 82, 11857, No update data, 9g3qx21r8qex
Bird, MEX, ad17e38f-5274-4ccc-9cc8-af59fb2259a3, 55, 6952, No update data, 9g3qx230qv2v
Bird, MEX, b680b057-2017-4e72-b1cd-70f21da227aa, 80, 11523, No update data, 9g3qx230nrhq
Bird, MEX, e6e9d376-0d85-41a0-9ea7-24bf4839d06e, 97, 13588, No update data, 9g3qx21medrg
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 97, 13588, No update data, 9g3qx21md8v4
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 82, 11857, No update data, 9g3qx230gjw3
Bird, MEX, f52a5c20-9534-4b6b-9977-960565530724, 96, 13430, No update data, 9g3qx21m55nk
Bird, MEX, 949d8f03-5358-4cd0-8106-8da54671acf2, 100, 14062, No update data, 9g3qx3m7n6k2
Bird, MEX, 84830ec9-5ec0-4605-a8c5-89a6252a7adb, 53, 6636, No update data, 9g3qx375qdp8
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 88, 12166, No update data, 9g3qx3kk9u28
Bird, MEX, 5982cac0-e0b8-4231-8ee4-86474a7811f2, 42, 4898, No update data, 9g3qx22frxk0
Bird, MEX, fa53a616-6a8d-4d79-b4c9-1f43d0eed520, 62, 8058, No update data, 9g3qx2309yne
Bird, MEX, 2c24ef04-c72e-4771-91df-64c3ca6764e0, 44, 5214, No update data, 9g3qx2zs9fqu
Bird, MEX, 22cb30b7-5bc8-448f-b361-69e5943164fc, 48, 5846, No update data, 9g3qx22y0eqz
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 53, 7014, No update data, 9g3qx2rv3dgt
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 97, 13588, No update data, 9g3qx3mecy88
Bird, MEX, 52dab086-b6dc-49bc-bbb2-d8834ae1c5a9, 27, 2672, No update data, 9g3qx2zssw5k
Bird, MEX, 76b33107-73be-4f8b-827b-bcd500e6c399, 63, 8684, No update data, 9g3qx2p7d90k
Bird, MEX, c56ab160-9828-4893-9cb1-3fa1377d1c4d, 75, 10112, No update data, 9g3qx3q80t8v
Bird, MEX, 925c3025-7d0f-4168-b8fa-1cbc41755108, 97, 13588, No update data, 9g3qx21hjyk0
Bird, MEX, ff253764-0512-44ba-84eb-299d2b6d5486, 83, 11376, No update data, 9g3qx2rgffg2
Bird, MEX, a9e90409-3bcc-4241-9792-7ff905bc64f8, 94, 13114, No update data, 9g3qrrf9rqzn
Bird, MEX, 69cfb6d8-4ba4-4787-bce5-8d1044419b2e, 97, 13588, No update data, 9g3qx21hhgz8
Bird, MEX, 861c07fd-decc-4074-b44b-ab03043f53de, 74, 10521, No update data, 9g3qx2887xzu
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 65, 8532, No update data, 9g3qx2rvmv7j
Bird, MEX, 77b387e7-34e2-4361-b5b0-a6b3133f5033, 85, 11692, No update data, 9g3qx2pkru4t
Bird, MEX, af48628c-766b-4a54-a1c1-aedd536da45c, 53, 6636, No update data, 9g3qx2b9w5cn
