Bird, MEX, 0674d19c-f1a9-43c9-8dcf-670a27af5c61, 31, 3160, No update data, 9g3qrjy3qums
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 61, 7900, No update data, 9g3qrnjy5fht
Bird, MEX, da40ebf7-651f-46d7-b32d-c9d64213c45b, 83, 11376, No update data, 9g3qrmb1ckjp
Bird, MEX, 2d821e04-bf2b-4297-8376-a39fb506159e, 43, 5056, No update data, 9g3qrmbx68bp
Bird, MEX, c65db4cc-5502-4bde-a18e-dab1f384ba9e, 99, 13904, No update data, 9g3qrjxp1rmj
Bird, MEX, 708056d2-5fdb-4282-8b82-d93ee42b5eec, 83, 11376, No update data, 9g3qrjxp4k3f
Bird, MEX, 540f24ac-608c-4b8f-8b57-3a9f5a2f48ac, 54, 6794, No update data, 9g3qrmbwenq6
Bird, MEX, 5169d15d-aa04-4e5b-ba17-82fcaa05b522, 48, 5846, No update data, 9g3qrjxnsth6
Bird, MEX, 786652f0-a111-4e2b-a8fb-a6d46de346f5, 36, 4175, No update data, 9g3qrjxq94d5
Bird, MEX, 93e1e11b-e96c-4f43-a411-a42b7a9b2f59, 94, 13861, No update data, 9g3qrjxqs6w5
Bird, MEX, a56a58da-4707-4746-beda-deaf1818496b, 66, 8690, No update data, 9g3qrjwwzek1
Bird, MEX, ca8898ad-3252-45a8-a287-26d1b928805c, 92, 12798, No update data, 9g3qrjwwxmrh
Bird, MEX, 8614de40-02ff-4eb3-973b-9ddb4018ae61, 87, 12008, No update data, 9g3qrmby55wq
Bird, MEX, e5f37027-f52c-46db-a502-53d76065d782, 84, 11534, No update data, 9g3qrmbvg7kd
Bird, MEX, 48708527-cce7-448a-ad00-24f0f97293e4, 85, 12358, No update data, 9g3qrjtzx3bz
Bird, MEX, e19abb76-c72a-4a8f-8daa-611adcba3223, 84, 11534, No update data, 9g3qrjxhhfc2
Bird, MEX, 0461ec4e-d87a-400b-8779-154a8d9d6391, 33, 3674, No update data, 9g3qrjxs1y2r
Bird, MEX, abd6ebfc-3fa3-496b-a259-c5def4bf4d56, 66, 8690, No update data, 9g3qrnjq9rt5
Bird, MEX, 73cd5bed-517c-4e2f-b6ab-e1c29de7f38e, 83, 11376, No update data, 9g3qrjxuh4ry
Bird, MEX, ce932e53-454c-4a27-a3f3-a44282d7f506, 93, 12956, No update data, 9g3qrq3095f5
Bird, MEX, 9e9b7885-7ffe-46dc-8570-7c8c1e53c27b, 94, 13114, No update data, 9g3qrmchdygn
Bird, MEX, f52a5c20-9534-4b6b-9977-960565530724, 94, 13114, No update data, 9g3qrmch7nbh
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 88, 12859, No update data, 9g3qrmchefuv
Bird, MEX, d020a4d6-c23d-4e90-b496-bfbd6f807277, 93, 12956, No update data, 9g3qrmch7ysf
Bird, MEX, a344f099-559d-4851-8a81-a97fe4bdadfc, 44, 5511, No update data, 9g3qrnxbyw6w
Bird, MEX, 00157235-b4c1-453c-8454-20690c046312, 90, 13193, No update data, 9g3qrnqp2jtm
Bird, MEX, 2510200f-d563-4079-b4ef-956f38651810, 94, 13861, No update data, 9g3qrnmzr32c
Bird, MEX, 1a39eb17-eb93-4766-b443-56a5fdaad5ce, 85, 11692, No update data, 9g3qrmchmphw
Bird, MEX, 47d314d1-ef25-4069-861d-d25b9da4d842, 91, 13360, No update data, 9g3qrnmzx9mh
Bird, MEX, fedda447-bd64-47d3-8908-433427a99735, 73, 9796, No update data, 9g3qrmcjzxk5
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 57, 7682, No update data, 9g3qrmbb4ce0
Bird, MEX, fa8545fd-8e56-49d1-bee6-68f252914e46, 96, 13430, No update data, 9g3qrm8wnubt
Bird, MEX, 13ad7556-d6e6-48db-9a9b-845655ee7da2, 98, 13746, No update data, 9g3qrm8tvstc
Bird, MEX, d2d4c866-a0cb-451c-a12b-6e12e8584d1c, 94, 13114, No update data, 9g3qrnw0f5kf
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 98, 13746, No update data, 9g3qrm8wp6bb
Bird, MEX, 3b7eb4a5-3646-4996-a072-f9250a6691a3, 96, 14195, No update data, 9g3qrnw08ytj
Bird, MEX, 7930a9d1-e57f-4994-8e93-e1f4d3c854ce, 98, 13746, No update data, 9g3qrm8tzxun
Bird, MEX, 4e8a39c4-b95a-4436-b4b8-58eb5d241e06, 24, 2171, No update data, 9g3qrq82p7rj
Bird, MEX, 2c189e49-e320-45cc-82f5-04bc6ef47708, 48, 5846, No update data, 9g3qrjuzwqsh
Bird, MEX, 9f61a028-c211-453d-a213-d3689ad3fe9b, 96, 14195, No update data, 9g3qrnw0cq2n
Bird, MEX, f64d3b10-d626-4d61-9a74-2631e24b0e13, 52, 6478, No update data, 9g3qrm8tz6p4
Bird, MEX, 737a93a5-9124-4651-b889-5877abab4ba5, 87, 12692, No update data, 9g3qrjtru63h
Bird, MEX, 774eded8-cf75-4f66-9c5c-0ce43eee5c7f, 92, 12798, No update data, 9g3qrq16nhxk
Bird, MEX, 21425b35-9f97-47bf-a9fe-44fc88eb46e5, 98, 13746, No update data, 9g3qrq16nhr6
Bird, MEX, c1ff01e1-42c0-4589-8d37-39ab56ab55ef, 49, 6004, No update data, 9g3qrjtrsgpr
Bird, MEX, 82e40fe4-ebdd-4c95-add4-5e59919b26a5, 89, 13026, No update data, 9g3qrnw0b502
Bird, MEX, 50b2bfd8-2281-4934-8ee8-14fad6b5c7d1, 92, 13527, No update data, 9g3qrnw0btbd
Bird, MEX, fcbd96a8-ae56-4698-add5-c4563c440a39, 91, 13360, No update data, 9g3qrnw0bztj
Bird, MEX, d2cd39ff-2626-440c-b87b-28bc06b7114c, 51, 6320, No update data, 9g3qrjuzvckn
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 94, 13114, No update data, 9g3qrntbww43
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 42, 5177, No update data, 9g3qrm8zz2x0
Bird, MEX, cb7aa594-66ee-42e1-99e9-7025f4763c5d, 98, 13746, No update data, 9g3qrq13ws4t
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qrm8tx1ev
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 90, 13193, No update data, 9g3qrm8txy66
Bird, MEX, 258f56c1-c66f-4330-849b-1de97c45b1c3, 98, 13746, No update data, 9g3qrq13yyje
Bird, MEX, 0ef383f3-d4a6-42c8-9a11-62b3a21bf062, 97, 13588, No update data, 9g3qrq13zj7z
Bird, MEX, 37a65a7a-c132-487f-a7bf-2fbd50f82239, 94, 13114, No update data, 9g3qrm8trm8u
Bird, MEX, ac86c0fb-541b-4ed1-bf57-c4accb3072de, 94, 13114, No update data, 9g3qrq16r8sj
Bird, MEX, 1cc4d66b-bfec-4132-9c55-5e7789d75aaa, 31, 3340, No update data, 9g3qrjtswzbs
Bird, MEX, 77000fce-8914-48b2-9eeb-d4c4568dff7d, 100, 14062, No update data, 9g3qrq16pyd2
Bird, MEX, c89a2bcd-f227-4564-9122-c0841bbbf4a5, 61, 7900, No update data, 9g3qrjtrc41f
Bird, MEX, a26d3c47-db2b-4712-9433-76b1eb20c05a, 46, 5845, No update data, 9g3qrjtsqnch
Bird, MEX, 8a0efed6-b9b1-4a26-b1c4-00a35fc33057, 98, 13746, No update data, 9g3qrmc0jr6v
Bird, MEX, 25bb3299-c2db-4d35-836e-22aa7c63d68a, 65, 8532, No update data, 9g3qrjtpxet1
Bird, MEX, fea29bf9-2eec-4951-98d8-9484f312a7c0, 46, 5845, No update data, 9g3qrjuz1y2r
Bird, MEX, 8d1d3010-c6c2-48a4-8d28-15293b9306fa, 65, 8532, No update data, 9g3qrjtprmxh
Bird, MEX, 0612a75f-6856-4b33-a7de-c3e8d736a0c4, 29, 3006, No update data, 9g3qrjuy479w
Bird, MEX, 31c61409-febf-44d9-90f5-0e5e53876b5d, 69, 9164, No update data, 9g3qrjts3znw
Bird, MEX, faa15d87-e0af-4ccc-9859-baeeeffc4653, 81, 11060, No update data, 9g3qrnw5j269
Bird, MEX, 05ce5f02-4e6d-446f-9391-8a5ad81d7628, 55, 6952, No update data, 9g3qrjtpnxdr
Bird, MEX, 2e8c03f2-ec50-4515-87fd-46e9d417ea0e, 94, 13861, No update data, 9g3qrnw5nrhh
Bird, MEX, 9f4b996b-4fe8-4e05-95b5-8adb2c9ee207, 90, 12482, No update data, 9g3qrm8dcdem
Bird, MEX, 37b69fba-9da6-4a14-9707-39492cabff07, 94, 13861, No update data, 9g3qrnw5jzhh
Bird, MEX, feba7922-2c92-4743-ac08-d7c60ce5339e, 94, 13861, No update data, 9g3qrnw5qhxr
Bird, MEX, 8876e06c-f558-4650-9024-a420254c6a51, 88, 12166, No update data, 9g3qrnw5m6d9
Bird, MEX, de6e1a81-bf8d-4e5e-bde7-e6685d0e2c6d, 78, 11189, No update data, 9g3qrnw79n3g
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 97, 13588, No update data, 9g3qrm8d3qbk
Bird, MEX, de05ba13-f89b-4ac8-b51c-efcf4070371b, 97, 13588, No update data, 9g3qrm8d36jn
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 93, 12956, No update data, 9g3qrm8d0ewy
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 99, 13904, No update data, 9g3qrm8d60sv
Bird, MEX, efc1a8a0-471f-414f-8867-e66703e10ea4, 98, 13746, No update data, 9g3qrm89c4dj
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 63, 8216, No update data, 9g3qrm89cse3
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 49, 6004, No update data, 9g3qrjszxr8f
Bird, MEX, 5d43bcac-8152-402a-9b9a-defe6e55d88a, 46, 5530, No update data, 9g3qrq1b94d5
Bird, MEX, 3364dc14-a88e-4ced-b774-a6ce292c6431, 57, 7682, No update data, 9g3qrnkg4duc
Bird, MEX, 1a283a9c-d184-42c7-a11e-56c686496270, 75, 10112, No update data, 9g3qrnkfbguy
Bird, MEX, ec1164e1-9c07-4609-ba81-c3323bc3aa18, 48, 6179, No update data, 9g3qrjrnn4c0
Bird, MEX, fe018ff5-09e7-4ee7-8774-77c91bc32f41, 82, 11218, No update data, 9g3qrnkf8j2m
Bird, MEX, 3f827a5d-5f20-4179-94c6-34b440618101, 65, 8532, No update data, 9g3qrjub5s12
Bird, MEX, daec80e4-e554-4406-89b8-e589ba0dfab6, 37, 4342, No update data, 9g3qrnkfbq7t
Bird, MEX, 980033a0-4bf2-43e3-bbd0-c059f4a0a19a, 90, 13193, No update data, 9g3qrjub7133
Bird, MEX, d1acd818-0816-4e10-9e7b-a181ea5fae17, 87, 12008, No update data, 9g3qrjusenq6
Bird, MEX, 48c8c960-1c8b-47db-8c78-e28b365e1e43, 61, 8350, No update data, 9g3qrnkdzf44
Bird, MEX, b05cbed4-797d-44ef-aa08-818526d537ab, 20, 1503, No update data, 9g3qrnkdwdfq
Bird, MEX, e6f9d55a-8266-42da-b6c9-1f24e7b70760, 97, 13588, No update data, 9g3qrm883m8k
Bird, MEX, a72f3f15-9e3e-45bf-a2ad-6b53efd8d76f, 97, 13588, No update data, 9g3qrm883k06
Bird, MEX, 1ca4d55b-7216-4b45-ab1c-1492a0701a2e, 72, 10187, No update data, 9g3qrmcdqy8f
Bird, MEX, e2e406a5-6b9e-4409-aeef-82ad6e8b7618, 92, 12798, No update data, 9g3qrmc9kuxw
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 97, 13588, No update data, 9g3qrm886hku
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 100, 14062, No update data, 9g3qrm2rzzfq
Bird, MEX, df7d7ae5-65ab-4f33-a084-e5000655369e, 94, 13861, No update data, 9g3qrm886e0h
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 98, 13746, No update data, 9g3qrm883bwt
Bird, MEX, c19cf4e5-be37-4e17-b587-29a39f13c255, 93, 13694, No update data, 9g3qrmc9mcs5
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 93, 13694, No update data, 9g3qrq1bqhp6
Bird, MEX, 58be8354-2838-4244-8727-1281fa5e56b3, 91, 13360, No update data, 9g3qrmc9nnc1
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 93, 13694, No update data, 9g3qrm8841sb
Bird, MEX, b530e69a-bae7-46b4-b7cb-b682bfa31eb3, 89, 13026, No update data, 9g3qrmc9nhxk
Bird, MEX, 39bf4c6a-6ab3-4bd1-af62-f11e1978bc56, 83, 12024, No update data, 9g3qrmcuuxur
Bird, MEX, e7ce55e4-e6b6-449f-bbdf-e31009d318d2, 89, 13026, No update data, 9g3qrmcvkbxt
Bird, MEX, c726a384-875e-4fe4-8a57-ed765f268ac7, 100, 14062, No update data, 9g3qrm2x9rm0
Bird, MEX, 6de06571-6ed1-4715-ad47-a526a3b795e1, 74, 9954, No update data, 9g3qrq922eqz
Bird, MEX, de2fbc6c-5f01-4157-a464-d39a3a8eaa89, 45, 5372, No update data, 9g3qrmcvhup8
Bird, MEX, 9b075f60-095e-4a52-890d-c0563c27d752, 98, 13746, No update data, 9g3qrm2xf0hy
Bird, MEX, 4b029462-6a49-4379-b9c4-55282e4a4c85, 89, 13026, No update data, 9g3qrmc8wrs6
Bird, MEX, dcd2749b-a78a-48bd-bbe0-3e42cdc41eba, 97, 13588, No update data, 9g3qrmc9pkxh
Bird, MEX, 7243bfa2-a54e-425e-8a2a-c12e260e9910, 98, 13746, No update data, 9g3qrq9450ym
Bird, MEX, b213e3cf-3bab-4431-bcb6-a010f7a1c540, 98, 13746, No update data, 9g3qrmcbbht9
Bird, MEX, e10d9080-0e25-49ae-8439-369b195ea084, 62, 8058, No update data, 9g3qrq94h2w5
Bird, MEX, 9d5a6cad-de65-4f37-b7c7-e2fcd4d5f0eb, 46, 5845, No update data, 9g3qrnked9sy
Bird, MEX, e77b9d41-bb89-42f7-bfc7-278b3d486cc8, 98, 13746, No update data, 9g3qrq94k054
Bird, MEX, a595874f-20de-47ed-b893-6844ea4c30cb, 97, 13588, No update data, 9g3qrq94k9h2
Bird, MEX, 96fd2625-85e9-4af6-849f-4484e7ce95f7, 76, 10270, No update data, 9g3qrm97u5xg
Bird, MEX, 2ef3576a-9b47-4f8f-993b-fb66aa833701, 98, 13746, No update data, 9g3qrq94t2ps
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 99, 13904, No update data, 9g3qrm960x0e
Bird, MEX, f162f178-2d3e-4a24-9a96-e5325b5ba732, 97, 13588, No update data, 9g3qrm960z5g
Bird, MEX, 4d75f145-784b-4b03-9c33-7d1d564c1970, 98, 13746, No update data, 9g3qrm963v8k
Bird, MEX, 56991ad2-9b3d-49c2-8565-8a603b3b5272, 98, 13746, No update data, 9g3qrm9632br
Bird, MEX, 64bb8ad1-f70a-4a7e-abfa-0c793af734aa, 76, 10270, No update data, 9g3qrm91wvjd
Bird, MEX, 234ce76c-2aa4-4fe8-9000-837a4d5ba082, 82, 11218, No update data, 9g3qrm966xjj
Bird, MEX, 4e1ac2b9-5b16-4644-99b3-8dba9ed88dd8, 98, 13746, No update data, 9g3qrm93b42e
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 99, 13904, No update data, 9g3qrm91x6x5
Bird, MEX, bedbcaf8-9dc5-40ef-a144-544d962ebfa4, 60, 7742, No update data, 9g3qrm91xehp
Bird, MEX, b92fd738-3b08-41e2-b09b-5e8dc434c35a, 76, 10855, No update data, 9g3qrm9381vr
Bird, MEX, e6c4d263-4245-427e-9d85-6efe15b04482, 70, 9853, No update data, 9g3qrm932p0t
Bird, MEX, 22b490a6-7536-43b4-922e-bf20a432a457, 84, 11534, No update data, 9g3qrnkkq4pp
Bird, MEX, ce805d97-d758-4f6e-aeb9-b728634e0348, 70, 9853, No update data, 9g3qrm938fgv
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 98, 13746, No update data, 9g3qrm939m8q
Bird, MEX, 014b8522-2bcd-4615-8125-68b5497dd054, 73, 10354, No update data, 9g3qrm9388wz
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 98, 13746, No update data, 9g3qrm933nd4
