Bird, MEX, 6fab81fa-7758-43d1-8849-024e000ce7b0, 43, 5344, No update data, 9g3qx27nqv82
Bird, MEX, de6f0037-2ee9-477f-8e3e-3ddf068e840b, 96, 13430, No update data, 9g3qx27k552q
Bird, MEX, 6a9c3873-d83f-467c-9595-6dab9991bea4, 73, 10354, No update data, 9g3qx2dur1ey
Bird, MEX, c89b0474-686a-4d23-8ffb-e0f7cfec0968, 38, 4509, No update data, 9g3qx2uh3rbm
Bird, MEX, 28487f37-7090-4914-9136-41c92b138b19, 93, 12956, No update data, 9g3qx2mxvqdb
Bird, MEX, ba056281-f852-4721-ba21-231dd8965e18, 58, 7849, No update data, 9g3qx2gvp32c
Bird, MEX, af2cd5f5-9bfb-4b99-8184-ac821b51dea8, 61, 8350, No update data, 9g3qx2twk474
Bird, MEX, 93865d95-4b1a-469d-a0e7-0e0c23b99b8e, 38, 4509, No update data, 9g3qx2ttthus
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 100, 14863, No update data, 9g3qx278uf9k
Bird, MEX, cfbe7797-cfeb-41a5-83e3-4ed03a63e20a, 22, 1837, No update data, 9g3qx2tttfsq
Bird, MEX, 8c460f9f-332d-4d54-83ff-ae9034f42d17, 54, 7181, No update data, 9g3qx2hx8hjx
Bird, MEX, a41e2857-bc4b-4e5a-9d4c-44a612a81e88, 63, 8684, No update data, 9g3qx2m0b27b
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 61, 7900, No update data, 9g3qx2g4671z
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 48, 5846, No update data, 9g3qx2ux2pm9
Bird, MEX, 07ec2823-aa02-49ba-874f-3487031bbcd4, 39, 4676, No update data, 9g3qx2typekp
Bird, MEX, 435a3487-2b15-47a7-af99-0e1b2beaf0bf, 66, 9185, No update data, 9g3qx2gqqdzw
Bird, MEX, d696029f-bce1-4093-8a16-7fbb6385ff4b, 29, 3006, No update data, 9g3qx2mutr4c
Bird, MEX, f07cf11e-c726-4fd6-882a-efa800f70f49, 90, 13193, No update data, 9g3qx25uzm0z
Bird, MEX, b8be76f6-2cfc-4ffa-87c5-2d5f02ddf92e, 55, 7348, No update data, 9g3qx2muzekh
Bird, MEX, 2ef86701-c6d7-4478-873f-2d29edb27a19, 57, 7268, No update data, 9g3qx26sfw2p
Bird, MEX, beb11073-2e8d-421a-a698-3b397ce2d2ce, 60, 7742, No update data, 9g3qx2hhmnss
Bird, MEX, bb45a68c-81d8-47be-bfb5-6a8b90391ac6, 71, 10020, No update data, 9g3qx26s74q3
Bird, MEX, 61c2d35f-2a8a-4256-876f-bcc1eecf0406, 78, 11189, No update data, 9g3qx2gresxf
