Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 97, 13588, No update data, 9g3qx2tpdp5c
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 75, 10688, No update data, 9g3qx2t6g3ge
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 91, 13360, No update data, 9g3qx27mumyk
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 76, 10270, No update data, 9g3qx2gf0r5y
Bird, MEX, 3f103ee2-6b90-4eb6-b875-72871b33ca22, 88, 12166, No update data, 9g3qx277t3ry
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 39, 4424, No update data, 9g3qx2g6np90
Bird, MEX, 0d6229f3-2709-4009-9926-86d8e2e5b821, 48, 5846, No update data, 9g3qx27hgp2m
Bird, MEX, f2844b74-e1ec-4611-8d6d-652f8ecead1e, 90, 12482, No update data, 9g3qx27hkqbn
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 56, 7110, No update data, 9g3qx2tsmghr
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 79, 11356, No update data, 9g3qx2ttmmdz
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 74, 9954, No update data, 9g3qx2gvn4c5
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 62, 8058, No update data, 9g3qx2g1gdc9
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 73, 10354, No update data, 9g3qx25vz28f
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 67, 8848, No update data, 9g3qx26fdk1z
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 78, 10586, No update data, 9g3qx2ghftt4
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 88, 12859, No update data, 9g3qx26f4tj0
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 79, 10744, No update data, 9g3qx2gh2j2t
Bird, MEX, 9e8317ba-439a-437c-9839-05185d0b3f20, 83, 11376, No update data, 9g3qx2furzd7
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 87, 12008, No update data, 9g3qx26f1cq9
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 61, 7900, No update data, 9g3qx2hhmpus
Bird, MEX, dbb9b3cf-52e7-4b2f-b45c-f90ae3727662, 83, 11376, No update data, 9g3qx2qj385s
Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 93, 12956, No update data, 9g3qx25upmxh
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 91, 13360, No update data, 9g3qx2wqcpz0
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 92, 12798, No update data, 9g3qx2dmbp2w
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 52, 6847, No update data, 9g3qx2y2027g
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 45, 5372, No update data, 9g3qx2dr04be
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 92, 13527, No update data, 9g3qx2y55zsb
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 91, 13360, No update data, 9g3qx2wr5wzu
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 78, 11189, No update data, 9g3qx2wrqtdx
Bird, MEX, 10daae24-dd33-4d3d-8473-8dcfe850040a, 29, 3006, No update data, 9g3qx26hgbsg
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26hespz
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hed9w
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 90, 12482, No update data, 9g3qx26h7cuz
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26hh5g0
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 98, 13746, No update data, 9g3qx26he3hs
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26j3vwx
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 91, 13360, No update data, 9g3qx2yhpudr
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 51, 6320, No update data, 9g3qx265s9u2
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 57, 7268, No update data, 9g3qx262e2hw
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 96, 13430, No update data, 9g3qx24ruqqp
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 92, 12798, No update data, 9g3qx2626dbj
Bird, MEX, 84e563f6-c259-4665-be50-8ff8d96531ea, 76, 10855, No update data, 9g3qx3jc89bb
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx349p07u
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 62, 8058, No update data, 9g3qx2qwxhhp
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 87, 12008, No update data, 9g3qx34cc9ge
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349hu9r
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 83, 11376, No update data, 9g3qx2qy2uu1
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx349k9kk
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 88, 12166, No update data, 9g3qx2fr75bh
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 88, 12166, No update data, 9g3qx2fr4n79
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 96, 14195, No update data, 9g3qx2frdst4
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 84, 11534, No update data, 9g3qx29svfu0
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34ds3b1
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 84, 12191, No update data, 9g3qx2nxd8b4
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 57, 7682, No update data, 9g3qx341q96s
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 96, 14195, No update data, 9g3qx2yuf261
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 69, 9686, No update data, 9g3qx2yue406
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 81, 11060, No update data, 9g3qx341w01p
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 98, 14529, No update data, 9g3qx2yvg2ee
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 35, 4008, No update data, 9g3qx2yy93jm
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 65, 8532, No update data, 9g3qx34zjbsn
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 44, 5214, No update data, 9g3qx21x74w7
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 63, 8216, No update data, 9g3qx21wu0e4
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 33, 3674, No update data, 9g3qx21x508j
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 93, 12956, No update data, 9g3qx233sdh6
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 61, 8350, No update data, 9g3qx2c6en8p
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 55, 6952, No update data, 9g3qx2z4zesq
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 91, 13360, No update data, 9g3qx2z4zc4x
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 96, 13430, No update data, 9g3qx2z4zup2
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 96, 13430, No update data, 9g3qx291ung4
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 91, 13360, No update data, 9g3qx2z691ph
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 94, 13114, No update data, 9g3qx294fv70
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 97, 13588, No update data, 9g3qx2913y8m
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 94, 13114, No update data, 9g3qx2943n65
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx2322xbs
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 99, 13904, No update data, 9g3qx23221m7
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 96, 13430, No update data, 9g3qx28gn969
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 99, 13904, No update data, 9g3qx230r7z5
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 90, 12482, No update data, 9g3qx21mq495
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 96, 13430, No update data, 9g3qx231sy5e
Bird, MEX, c5c94c44-4769-4907-9ace-5f0ac2214ea4, 85, 12358, No update data, 9g3qx21mnnch
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 96, 13430, No update data, 9g3qx230w7zz
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 84, 11534, No update data, 9g3qx21pz6z0
Bird, MEX, 620f49a6-c72c-4e49-942e-2743eade2002, 91, 12640, No update data, 9g3qx21mkfr9
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 93, 12956, No update data, 9g3qx3kkndr8
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 94, 13114, No update data, 9g3qx230syrt
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 96, 13430, No update data, 9g3qx230kb3m
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx21pw0c4
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 67, 8848, No update data, 9g3qx2xsrpk1
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 35, 4008, No update data, 9g3qx2zmnftc
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 93, 12956, No update data, 9g3qx21pgtxc
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 88, 12859, No update data, 9g3qx2zmwp9m
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 98, 13746, No update data, 9g3qx23050wm
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 91, 12640, No update data, 9g3qx2zmxkzk
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 17, 948, No update data, 9g3qx2zmxgds
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 91, 12640, No update data, 9g3qx2zt2gu5
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 96, 13430, No update data, 9g3qx2zs6xt5
Bird, MEX, 43c9da9c-a738-402f-a081-1b3aa20ae5f9, 82, 11857, No update data, 9g3qx2zqyctc
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 96, 13430, No update data, 9g3qx21p8geg
Bird, MEX, f82a4d89-3845-4fe8-b10d-a91f9de5e957, 81, 11690, No update data, 9g3qx2zskter
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 94, 13114, No update data, 9g3qx2zt5d9c
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 91, 12640, No update data, 9g3qx2zthu9x
Bird, MEX, 8ebb8a6c-da37-47ae-96af-b4a147589787, 87, 12692, No update data, 9g3qx2bf3kmp
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 85, 12358, No update data, 9g3qx21he5ym
