Bird, MEX, 76b33107-73be-4f8b-827b-bcd500e6c399, 55, 7348, No update data, 9g3qx2p7u1e0
Bird, MEX, 3f23e919-3c9c-4a28-bc83-02857009f792, 100, 14062, No update data, 9g3qx21hhzpw
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 99, 14696, No update data, 9g3qx21hh6nn
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 99, 14696, No update data, 9g3qx215huxw
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 78, 10586, No update data, 9g3qx3msxs3y
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 54, 7181, No update data, 9g3qx3nxzzpk
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 61, 7900, No update data, 9g3qx2rvrskr
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 99, 14696, No update data, 9g3qx2155trf
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 100, 14863, No update data, 9g3qx2155jyq
Bird, MEX, af48628c-766b-4a54-a1c1-aedd536da45c, 49, 6004, No update data, 9g3qx2bdhp4y
Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 49, 6004, No update data, 9g3qx2b2bv7b
Bird, MEX, 52055cd7-f608-4be5-88c4-316b90b2d0f5, 43, 5056, No update data, 9g3qx22nv5hd
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 99, 13904, No update data, 9g3qx8bph60p
Bird, MEX, 42e21946-785d-4d5a-ab00-3714635ea3c6, 53, 6636, No update data, 9g3qx22p5gkz
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 99, 14696, No update data, 9g3qx20du4zb
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 96, 14195, No update data, 9g3qx8bnqpxe
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qx8bnveqj
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 100, 14062, No update data, 9g3qx20mw414
