Bird, MEX, 06b8a075-987a-480f-ad7f-49a84603bdef, 98, 13746, No update data, 9g3qx2s6zcx3
Bird, MEX, 50a423e6-b89c-4604-8f1e-e8fcc8b8774a, 83, 12024, No update data, 9g3qx2kpw5cn
Bird, MEX, c0937207-3f1e-4e3b-8f91-a9e6edc27a1f, 96, 13430, No update data, 9g3qx2shbmgu
Bird, MEX, b9518267-021b-46f4-9594-8d2c00925dda, 80, 10902, No update data, 9g3qx2s9jtyn
Bird, MEX, 8bcefc58-9dc3-4f54-b645-6c33a1760d4d, 44, 5214, No update data, 9g3qx2kpkrw6
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 83, 12024, No update data, 9g3qx2kpq4r3
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 74, 9954, No update data, 9g3qx2s9x1u0
Bird, MEX, a6c1647c-0958-4335-95ef-67e7ac0a603a, 54, 7181, No update data, 9g3qx2sg0htw
Bird, MEX, bd3cd308-2d1e-4be5-b51c-8bbc1a8aa6b5, 84, 11534, No update data, 9g3qx2s9rshj
Bird, MEX, ebc775e8-8dd4-4e71-9335-5c7369beeaf8, 97, 13588, No update data, 9g3qx2sfc0fj
Bird, MEX, 2d6b95ce-5422-4494-bee5-6f6048fb0d4c, 57, 7682, No update data, 9g3qx2kxvkzy
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 72, 9638, No update data, 9g3qx2sf9yqv
Bird, MEX, 939bbb67-69ae-4520-9472-a96d427c12ec, 96, 13430, No update data, 9g3qx2sfdp7e
Bird, MEX, f5fb0a5c-ee64-40c5-bf8b-c56568612c0d, 96, 13430, No update data, 9g3qx2eu4pe8
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 96, 13430, No update data, 9g3qx2sffq9b
Bird, MEX, 337863d2-9307-4196-824d-f0d4bbd82aec, 63, 8684, No update data, 9g3qx2kxk4gj
Bird, MEX, ce8bebd5-229b-40d7-8fb6-f4c1e61f8c0f, 81, 11690, No update data, 9g3qx2ev51q9
Bird, MEX, 0f9bcf77-62c8-4ead-8d65-295e4f25d5e3, 48, 5846, No update data, 9g3qx2evy6u2
Bird, MEX, a75f9b9c-8ffe-488b-907c-279710dd4d8c, 82, 11857, No update data, 9g3qx2eyndpx
Bird, MEX, 10f987de-cd02-40c6-93cd-1cbac04e129c, 98, 13746, No update data, 9g3qx2sfgtrb
Bird, MEX, 0deffb4f-ec7d-4dd9-972d-8ec067e5bcb3, 64, 8374, No update data, 9g3qx2eyk624
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx2evfp7w
Bird, MEX, 314e9bc1-6261-4aeb-9f18-d9bc50c87103, 49, 6004, No update data, 9g3qx2sgqvjg
Bird, MEX, 1bfb160c-6cfb-4999-8873-6f18611f822c, 84, 11534, No update data, 9g3qx2thberh
Bird, MEX, ba7090d4-19bd-44a2-bd33-94b98e3270bb, 98, 13746, No update data, 9g3qx2sz5jqd
Bird, MEX, 03e8b96d-9e12-4846-b13e-51e044c4004f, 85, 12358, No update data, 9g3qx2ks2w2f
Bird, MEX, 140845c9-032d-4235-af2e-d11859e07af2, 88, 12859, No update data, 9g3qx2syxfdq
