Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 73, 10354, No update data, 9g3qx2kcqwfw
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 75, 10688, No update data, 9g3qx2guwxre
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2g6u60j
Bird, MEX, 39c1a20c-e5f6-4483-a785-cd5fc953a35b, 67, 8848, No update data, 9g3qx278teq1
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 30, 3173, No update data, 9g3qx2g1sfxw
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 92, 13527, No update data, 9g3qx2ttzsun
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 98, 13746, No update data, 9g3qx2tv2d0b
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 69, 9164, No update data, 9g3qx2g448vp
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 87, 12692, No update data, 9g3qx2m6xph1
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 97, 13588, No update data, 9g3qx26vh8sm
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 94, 13114, No update data, 9g3qx26sz2r1
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 66, 8690, No update data, 9g3qx25vwtrx
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 55, 6952, No update data, 9g3qx2urzphh
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25v3kmr
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 51, 4720, No update data, 9g3qx25uy1z6
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 79, 11356, No update data, 9g3qx2hh6rcu
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 35, 4008, No update data, 9g3qx2hhqd69
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 30, 3173, No update data, 9g3qx25pbx8x
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 96, 13430, No update data, 9g3qx25p8dnf
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 78, 7906, No update data, 9g3qx2y06nev
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 57, 7682, No update data, 9g3qx2h5ycjy
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 67, 8848, No update data, 9g3qx26djdy5
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dqsype
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 92, 13527, No update data, 9g3qx25p227v
