Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 73, 10354, No update data, 9g3qx25jvbuh
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 64, 8851, No update data, 9g3qx257z9s0
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 34, 3841, No update data, 9g3qx2j7b90y
Bird, MEX, bd5658f4-c7a7-48d2-8263-8102bc25e1ab, 75, 10112, No update data, 9g3qx26678pu
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 96, 13430, No update data, 9g3qx2y5mbkq
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 93, 13694, No update data, 9g3qx2y2sv1w
Bird, MEX, 16f449e6-bfcb-48bf-bd68-9a31244ae7c2, 63, 8216, No update data, 9g3qx2jv9wex
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 93, 12956, No update data, 9g3qx3hghvre
Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 55, 6952, No update data, 9g3qx2fktxtv
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 100, 14062, No update data, 9g3qx26hkqbn
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 65, 8532, No update data, 9g3qx2jvdggm
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx26hg839
Bird, MEX, 31af5c96-7a40-435d-8e5a-f048cf786688, 54, 6794, No update data, 9g3qx2jv3fwg
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 15, 668, No update data, 9g3qx2y2x21n
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 87, 12692, No update data, 9g3qx26h79cx
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 81, 11060, No update data, 9g3qx2y2ygty
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx26hdyer
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx26hdfeq
Bird, MEX, 13adaa70-6005-44da-bcbe-e7a7092d453c, 63, 8216, No update data, 9g3qx2jvkmwq
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx26hc223
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 85, 11692, No update data, 9g3qx2629gbm
Bird, MEX, 91d27b27-39c8-4300-ae4f-56102b634f9c, 66, 8690, No update data, 9g3qx2y92uhj
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 82, 11218, No update data, 9g3qx26233vr
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx260wfvz
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 93, 12956, No update data, 9g3qx34c2wyz
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 94, 13114, No update data, 9g3qx34c2wbx
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 93, 12956, No update data, 9g3qx34c2x8e
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 93, 12956, No update data, 9g3qx34c842s
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 45, 5372, No update data, 9g3qx2fr7nbp
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2fr1t59
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2fr6t2j
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 100, 14863, No update data, 9g3qx2fr6w8j
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fr3fyw
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 93, 13694, No update data, 9g3qx23bx45f
Bird, MEX, a4e52bd5-f951-4d0d-8593-149ba6bd4d2c, 72, 10187, No update data, 9g3qx2yss6qk
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2nxg1yd
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 30, 3173, No update data, 9g3qx2ycer59
Bird, MEX, 58d33584-a58d-4cc4-ac23-1e5d515df7d6, 33, 3674, No update data, 9g3qx2yfen07
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 84, 11534, No update data, 9g3qx341qf8u
Bird, MEX, d8a14599-6bfe-4b25-b186-a541cf79debb, 74, 10521, No update data, 9g3qx2ygpcfm
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx239dc5k
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 94, 13114, No update data, 9g3qx21vfve3
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 97, 13588, No update data, 9g3qx239cmv7
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx2392pvs
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 100, 14062, No update data, 9g3qx2383m2m
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 96, 13430, No update data, 9g3qx21v2cgz
