Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 78, 10586, No update data, 9g3qx2fgsz37
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 69, 9686, No update data, 9g3qx2fuqyvz
Bird, MEX, dbb9b3cf-52e7-4b2f-b45c-f90ae3727662, 83, 11376, No update data, 9g3qx2qh3rm2
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 92, 12798, No update data, 9g3qx2dq3f26
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 44, 5214, No update data, 9g3qx2dq3z23
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 60, 7742, No update data, 9g3qx2h4wrk6
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 89, 13026, No update data, 9g3qx2y22xr1
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 99, 13904, No update data, 9g3qx26hwrh3
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 51, 6680, No update data, 9g3qx2y2hxe2
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26jh8sm
Bird, MEX, 10daae24-dd33-4d3d-8473-8dcfe850040a, 28, 2839, No update data, 9g3qx26hu7qh
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 97, 13588, No update data, 9g3qx26j5vkf
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 90, 13193, No update data, 9g3qx2y2txn1
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 76, 10855, No update data, 9g3qx2wrxkch
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 99, 13904, No update data, 9g3qx26j5e3x
Bird, MEX, bc7e5c99-423a-4b8f-b11e-ccde9eace72b, 79, 10744, No update data, 9g3qx2qw9pzp
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26j6u5m
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 90, 12482, No update data, 9g3qx26j55qr
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 49, 6004, No update data, 9g3qx26h7gug
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 94, 13114, No update data, 9g3qx2624s2h
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 91, 12640, No update data, 9g3qx2622w8s
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 83, 11376, No update data, 9g3qx2qxj2pc
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 57, 7268, No update data, 9g3qx24rcvye
Bird, MEX, 84e563f6-c259-4665-be50-8ff8d96531ea, 74, 10521, No update data, 9g3qx3j9pvzr
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c2bgb
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 87, 12008, No update data, 9g3qx34cd3cb
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 90, 13193, No update data, 9g3qx2ym3fyy
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 62, 8058, No update data, 9g3qx2qwzkcn
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c2zeg
Bird, MEX, ada64e01-8761-45b0-95e5-a0924c65e0f1, 48, 6179, No update data, 9g3qrrur9vyc
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349ruf3
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c2pm9
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 83, 11376, No update data, 9g3qx29vb35x
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 87, 12008, No update data, 9g3qx2fr9gyw
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 83, 12024, No update data, 9g3qx2nx9n6j
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 92, 12798, No update data, 9g3qx340tnkw
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 93, 12956, No update data, 9g3qx21zdf7k
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 80, 10902, No update data, 9g3qx341npz6
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 56, 7515, No update data, 9g3qx341t1ht
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 94, 13861, No update data, 9g3qx2yvst5q
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 33, 3674, No update data, 9g3qx2yuymus
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 90, 13193, No update data, 9g3qx2z47s1v
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 97, 14362, No update data, 9g3qx2yvuzc8
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 67, 9352, No update data, 9g3qx2yyg7ex
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 65, 8532, No update data, 9g3qx34yumyh
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 90, 13193, No update data, 9g3qx2z4tkrb
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 54, 6794, No update data, 9g3qx2z4ttnn
Bird, MEX, 830b76b9-a650-4da3-993f-7444f4798020, 39, 4676, No update data, 9g3qx2r4j6pz
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 58, 7849, No update data, 9g3qx2c6u2q1
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 87, 12692, No update data, 9g3qx3k9fetp
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 94, 13114, No update data, 9g3qx2z4y869
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 31, 3340, No update data, 9g3qx21squmx
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 40, 4843, No update data, 9g3qx3neeq5s
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 31, 3340, No update data, 9g3qx290bw88
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 94, 13114, No update data, 9g3qx2910qgs
Bird, MEX, c5c94c44-4769-4907-9ace-5f0ac2214ea4, 84, 12191, No update data, 9g3qx21my94w
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 89, 12324, No update data, 9g3qx21mr7z5
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 94, 13114, No update data, 9g3qx28cr3bz
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 96, 13430, No update data, 9g3qx28cqctt
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 98, 13746, No update data, 9g3qx231q01h
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 94, 13114, No update data, 9g3qx231sy5e
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 90, 13193, No update data, 9g3qx2znz3x3
Bird, MEX, 620f49a6-c72c-4e49-942e-2743eade2002, 91, 12640, No update data, 9g3qx21mm4se
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 90, 13193, No update data, 9g3qx2zm5m59
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx230txjc
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 93, 12956, No update data, 9g3qx3kk5256
Bird, MEX, 6bdba8c6-98f6-44f4-8317-3fb317c95a3c, 91, 12640, No update data, 9g3qx234dw2j
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx231k8hk
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 67, 8848, No update data, 9g3qx2xsm36u
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 97, 13588, No update data, 9g3qx231hbcr
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 94, 13114, No update data, 9g3qx230v0sd
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zkuqnq
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 98, 13746, No update data, 9g3qx230ug16
Bird, MEX, f502da9f-2766-4a62-99c5-d09de0e00721, 74, 9954, No update data, 9g3qx230un5j
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 96, 13430, No update data, 9g3qx230ex3e
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 83, 11376, No update data, 9g3qx230epyr
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 94, 13114, No update data, 9g3qx2311qvk
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 94, 13114, No update data, 9g3qx230669g
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 34, 3841, No update data, 9g3qx2ztb0m9
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 16, 790, No update data, 9g3qx2zs6f76
