Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 88, 12166, No update data, 9g3qx2fr3nfp
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 42, 5177, No update data, 9g3qx2fny94x
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 56, 7110, No update data, 9g3qx23g37jr
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 42, 4898, No update data, 9g3qx23ew3u2
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 82, 11857, No update data, 9g3qx2ysz8s7
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 65, 8532, No update data, 9g3qx2yfgvkb
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 88, 12859, No update data, 9g3qx2ytx614
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 66, 8690, No update data, 9g3qx2qb08p1
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 45, 5372, No update data, 9g3qx2xhhyrb
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 48, 6179, No update data, 9g3qx2qckgce
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 47, 6012, No update data, 9g3qx2yv3pzj
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 88, 12859, No update data, 9g3qx2yv9g8s
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 81, 11060, No update data, 9g3qx2ygp2zr
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 80, 11523, No update data, 9g3qx2yveh86
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 79, 10744, No update data, 9g3qx2z50rgf
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 85, 12358, No update data, 9g3qx2yvg3ge
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 90, 13193, No update data, 9g3qx2yvgtcu
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 73, 10354, No update data, 9g3qx238e6ks
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 93, 12956, No update data, 9g3qx21xmwvy
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 97, 13588, No update data, 9g3qx239423g
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 70, 9322, No update data, 9g3qx2398y7v
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 85, 11692, No update data, 9g3qx23932mm
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 83, 11376, No update data, 9g3qx2393165
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 39, 4424, No update data, 9g3qx2ct5d99
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 85, 11692, No update data, 9g3qx232zzdr
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 99, 13904, No update data, 9g3qx2zn3b2w
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 58, 7426, No update data, 9g3qx2zn9fqu
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 87, 12692, No update data, 9g3qx2zjq9dw
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 76, 10855, No update data, 9g3qx2z3t7du
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 38, 4266, No update data, 9g3qx3nnxf6m
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 65, 8532, No update data, 9g3qx2zp7ukz
Bird, MEX, 40dc89b0-44d3-4c07-878c-3962e0a4cdab, 74, 10521, No update data, 9g3qx2z3wwdx
Bird, MEX, 9967c7f3-5080-4c77-95fe-adf404dc8135, 48, 6179, No update data, 9g3qx34h84tw
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 91, 13360, No update data, 9g3qx2328j2x
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 85, 11692, No update data, 9g3qx2zkd7fn
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 53, 7014, No update data, 9g3qx28cnvbw
Bird, MEX, 4b53c12d-7109-4678-ab3c-1cbcecb34c17, 85, 11692, No update data, 9g3qx21bwbbf
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 89, 13026, No update data, 9g3qx2zm51bm
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 91, 13360, No update data, 9g3qx230pk8y
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 90, 13193, No update data, 9g3qx21mkyrd
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 72, 9638, No update data, 9g3qx231j4s9
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 74, 10521, No update data, 9g3qx2z8dtjn
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 79, 10744, No update data, 9g3qx230udu2
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 54, 7181, No update data, 9g3qx2351nfh
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 88, 12859, No update data, 9g3qx230unzc
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 83, 11376, No update data, 9g3qx21mh7nh
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 89, 13026, No update data, 9g3qx230sfcr
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 90, 13193, No update data, 9g3qx230m26v
