Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 88, 12166, No update data, 9g3qx23982gd
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 92, 13527, No update data, 9g3qx2398n8x
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 82, 11218, No update data, 9g3qx2z551yt
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 67, 8848, No update data, 9g3qx2z55b8j
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 84, 11534, No update data, 9g3qx236nbme
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 88, 12166, No update data, 9g3qx233y7h6
Bird, MEX, adaed453-2225-4884-9907-62458453914e, 34, 3841, No update data, 9g3qx236ufc2
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 82, 11218, No update data, 9g3qx2z5k20h
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 79, 11356, No update data, 9g3qx2xrch42
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 75, 10688, No update data, 9g3qx291y9d9
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 52, 6847, No update data, 9g3qx3n9scrz
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 76, 10855, No update data, 9g3qx233vk4b
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 92, 13527, No update data, 9g3qx3nb3xgt
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 90, 13193, No update data, 9g3qx3n9pcx7
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 87, 12692, No update data, 9g3qx3n9rcdq
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 92, 13527, No update data, 9g3qx2yzt3zb
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 87, 12008, No update data, 9g3qx294s0zf
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 75, 10688, No update data, 9g3qx23nh3yj
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 92, 13527, No update data, 9g3qx23jgbsg
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 93, 13694, No update data, 9g3qx23n52ke
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nnpvp3
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 88, 12166, No update data, 9g3qx294867s
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 80, 11523, No update data, 9g3qx2z3y6ht
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 87, 12008, No update data, 9g3qx28gp8k5
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 61, 7900, No update data, 9g3qx2znvkdu
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 69, 9164, No update data, 9g3qx2znvmfu
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 93, 12956, No update data, 9g3qx23jc2bm
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 93, 13694, No update data, 9g3qx21mwede
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 61, 7900, No update data, 9g3qx234j6x9
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 84, 12191, No update data, 9g3qx2zpjnuu
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 92, 13527, No update data, 9g3qx2zpgcb5
