Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 99, 14696, No update data, 9g3qx2shq86w
Bird, MEX, 10426429-69d2-4ea9-8172-09e286866754, 81, 11690, No update data, 9g3qx2esjfs3
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 94, 13861, No update data, 9g3qx2e3pmzn
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 97, 13588, No update data, 9g3qx2e3q8z8
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 57, 7268, No update data, 9g3qx27x946h
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 48, 5846, No update data, 9g3qx2syybtg
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 72, 10187, No update data, 9g3qx2kskvpe
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 92, 13527, No update data, 9g3qx2e2vpkt
Bird, MEX, 9a8ebb52-1426-4e00-b5f1-fcf638436054, 96, 14195, No update data, 9g3qx2e6h7b1
Bird, MEX, 6e231545-4e34-4a4f-acaa-03608f194847, 89, 13026, No update data, 9g3qx2sztkxf
Bird, MEX, 25715a67-ed37-401a-92f1-41d36c81b3ce, 64, 8851, No update data, 9g3qx2e3f079
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 97, 13588, No update data, 9g3qx2ubzdhj
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 97, 14362, No update data, 9g3qx27mkc9m
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 97, 13588, No update data, 9g3qx27q3cqe
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 83, 12024, No update data, 9g3qx27q82gf
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 94, 13861, No update data, 9g3qx27mcv8d
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 79, 10744, No update data, 9g3qx2tq5819
Bird, MEX, 1b05b679-49c0-4885-88d4-d5ea29359306, 79, 11356, No update data, 9g3qx2tknjcq
Bird, MEX, 36b2e499-7803-4a66-8c47-84130a166c99, 90, 12482, No update data, 9g3qx27q20js
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 99, 14696, No update data, 9g3qx27kjxnn
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 89, 12324, No update data, 9g3qx27nqp30
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 93, 13694, No update data, 9g3qx27kk4e5
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 73, 10354, No update data, 9g3qx27kdpgx
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 94, 13861, No update data, 9g3qx27pdggq
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 85, 12358, No update data, 9g3qx27p97vq
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 66, 9185, No update data, 9g3qx2dbyexw
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 70, 9853, No update data, 9g3qx2kcwspx
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 75, 10688, No update data, 9g3qx2kchj50
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 78, 11189, No update data, 9g3qx2gvqer8
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 33, 3674, No update data, 9g3qx2g1tpst
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 93, 13694, No update data, 9g3qx2twvm6b
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 71, 7080, No update data, 9g3qx2ttrxuh
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 53, 7014, No update data, 9g3qx2ttxmpm
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 99, 13904, No update data, 9g3qx2twp6z7
Bird, MEX, b4293943-e4df-4a9a-83ef-f9cc0977e80e, 40, 4843, No update data, 9g3qx2tuc5dn
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 30, 3173, No update data, 9g3qx2tv2wbz
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 39, 4676, No update data, 9g3qx2tv3602
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 29, 3006, No update data, 9g3qx2tvc5dn
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 66, 8690, No update data, 9g3qx2tv44gg
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 90, 13193, No update data, 9g3qx2tv9yqv
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 96, 13430, No update data, 9g3qx26xz8s5
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 98, 13746, No update data, 9g3qx26y304h
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 94, 13861, No update data, 9g3qx2tycgwy
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 94, 13861, No update data, 9g3qx2ty6v57
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tz3kmr
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 94, 13861, No update data, 9g3qx2vb3fnb
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 96, 14195, No update data, 9g3qx2tysuxd
Bird, MEX, 45221336-d81b-41e1-9373-7ee3ac5f4efb, 83, 12024, No update data, 9g3qx2tvyp9r
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 31, 3340, No update data, 9g3qx26wkuz9
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx2hj8sbg
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 56, 7515, No update data, 9g3qx25vwpzq
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 96, 14195, No update data, 9g3qx26wkneh
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 52, 4838, No update data, 9g3qx25vbk7f
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx2hj2dbv
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 56, 7110, No update data, 9g3qx3h810dn
Bird, MEX, 2c948a14-b884-4313-8d6d-b5738d1decde, 99, 14696, No update data, 9g3qx2hhwjc1
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 37, 4342, No update data, 9g3qx2hh7w3d
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 98, 13746, No update data, 9g3qx26s7p86
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 99, 14696, No update data, 9g3qx2hhhmq6
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 69, 9686, No update data, 9g3qx2hh0ygu
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 17, 1002, No update data, 9g3qx26qqquq
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 70, 9853, No update data, 9g3qx2hh4s8n
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 60, 8183, No update data, 9g3qx2hh59rc
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 98, 14529, No update data, 9g3qx2h5u9u6
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 98, 14529, No update data, 9g3qx2h5u3nq
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 99, 14696, No update data, 9g3qx2h5cb28
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 97, 14362, No update data, 9g3qx2h5s6q7
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 69, 9164, No update data, 9g3qx269pqr0
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 42, 5177, No update data, 9g3qx25jr4k1
Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 49, 6004, No update data, 9g3qx2y0twn5
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dr47cc
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 98, 14529, No update data, 9g3qx2y1t9qn
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx25jbnjt
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2y22e0z
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 80, 8142, No update data, 9g3qx2y4jq6b
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 46, 5530, No update data, 9g3qx26912m7
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 75, 10112, No update data, 9g3qx24ybtnz
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx25758xv
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 90, 13193, No update data, 9g3qx26h7tpg
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 94, 13861, No update data, 9g3qx2yhwtfd
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 89, 13026, No update data, 9g3qx26hf885
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 87, 12008, No update data, 9g3qx2jvmrrb
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 62, 8517, No update data, 9g3qx2jvqh1m
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 87, 12008, No update data, 9g3qx2h05xc9
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 98, 13746, No update data, 9g3qx2ynndd9
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 96, 14195, No update data, 9g3qx34c36bq
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx2542wwu
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 54, 7181, No update data, 9g3qx3jdjbsq
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx34c9uwd
Bird, MEX, 8ffe670f-4182-43fb-9adb-1ec778780724, 29, 3006, No update data, 9g3qx3j7pbrk
Bird, MEX, 4755ed57-47d7-4697-ae2f-20de133c09a6, 79, 11356, No update data, 9g3qx29c32mq
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 56, 7515, No update data, 9g3qx34cbgez
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 96, 14195, No update data, 9g3qx349xrp1
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 64, 8851, No update data, 9g3qx349zu67
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34feh22
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 64, 8851, No update data, 9g3qx2wz6h7z
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 70, 9853, No update data, 9g3qx35hegsu
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 82, 11857, No update data, 9g3qx2frb65t
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2fr8p2e
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 75, 10688, No update data, 9g3qx3hnv6zc
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx3421q23
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 89, 12324, No update data, 9g3qx3420dbe
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 85, 11692, No update data, 9g3qx34206ge
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 84, 11534, No update data, 9g3qx3420jtt
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 42, 5177, No update data, 9g3qx2qb2pvs
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 67, 8848, No update data, 9g3qx2qb21vx
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 34, 3841, No update data, 9g3qx2qb3ndk
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb0bh1
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 22, 1837, No update data, 9g3qx2xjjxw0
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 39, 4676, No update data, 9g3qx34yqcmu
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 87, 12008, No update data, 9g3qrrvqp690
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 54, 6794, No update data, 9g3qx23d0b5c
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 65, 9018, No update data, 9g3qx23d08qg
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 90, 13193, No update data, 9g3qx239btbe
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 73, 10354, No update data, 9g3qx2yvtf7h
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 54, 7181, No update data, 9g3qx236p8h1
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 55, 7348, No update data, 9g3qx2yvvjus
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 98, 13746, No update data, 9g3qx2yyj9yj
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 96, 13430, No update data, 9g3qx233yc8b
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx295z72u
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 34, 3841, No update data, 9g3qrrugsryq
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx233wp35
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 49, 6004, No update data, 9g3qx2r4m9q5
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 83, 12024, No update data, 9g3qx233vmzg
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 46, 5845, No update data, 9g3qx236j1k9
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 94, 13114, No update data, 9g3qx3nb9n6q
Bird, MEX, 8ee4d6a4-c78a-456c-a92a-23478e3b05e3, 54, 7181, No update data, 9g3qx233u1zf
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 96, 14195, No update data, 9g3qx3m1k7yk
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 93, 13694, No update data, 9g3qx3m17vky
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 66, 8690, No update data, 9g3qx2yzq4zw
Bird, MEX, b1ce5df1-99c2-4c10-88e2-ba5175042ffe, 38, 4509, No update data, 9g3qx2zn3p63
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 97, 13588, No update data, 9g3qx3nbgchz
Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 89, 13026, No update data, 9g3qx23ncgnd
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 88, 12859, No update data, 9g3qx23p1tgq
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 96, 13430, No update data, 9g3qx2328r7e
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 93, 12956, No update data, 9g3qx231ndfe
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 58, 7849, No update data, 9g3qx28cwg8s
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 73, 9796, No update data, 9g3qx28fn7hm
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 49, 6346, No update data, 9g3qx2xehu9w
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 76, 10270, No update data, 9g3qx3nsppu4
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 44, 5511, No update data, 9g3qx231e81w
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx230mnkd
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7hyr9
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21nr3r5
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 31, 3340, No update data, 9g3qx218zj5z
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 97, 13588, No update data, 9g3qx3p1m5kb
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7dem5
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7cg2t
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 63, 8684, No update data, 9g3qx2z8pb4d
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 54, 6794, No update data, 9g3qx3me9bnz
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 44, 5511, No update data, 9g3qrrv9rhhh
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 30, 3173, No update data, 9g3qrrf769m5
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31z5xzg
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 76, 10855, No update data, 9g3qx3ms79xy
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 96, 13430, No update data, 9g3qx21hhv12
Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 73, 10354, No update data, 9g3qx2zsy8ft
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 94, 13861, No update data, 9g3qx21hhgc2
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 89, 13026, No update data, 9g3qx2zttpkg
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 96, 13430, No update data, 9g3qx21j1vqd
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 98, 13746, No update data, 9g3qx21hdc5h
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 57, 7682, No update data, 9g3qrrf9ehy7
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 61, 7900, No update data, 9g3qrrv8kn74
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 85, 11692, No update data, 9g3qx21j0wbs
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 96, 14195, No update data, 9g3qx20vwrk7
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 51, 6320, No update data, 9g3qx22krj7v
Bird, MEX, 5e7d130a-4151-46d4-8783-0fb31f901903, 79, 10744, No update data, 9g3qx364gn80
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx2zvmze5
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 53, 7014, No update data, 9g3qx2zvy86c
Bird, MEX, 06fed0a0-de36-4f54-8d7a-1846e6a5be68, 60, 8183, No update data, 9g3qx2zzhv19
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 58, 7849, No update data, 9g3qx2zyp6x3
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 84, 11534, No update data, 9g3qx3pc880z
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 99, 14696, No update data, 9g3qx8bp06ec
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 89, 13026, No update data, 9g3qx281qrk2
Bird, MEX, b700178c-f2ec-4999-a458-6375b87bedbb, 64, 8374, No update data, 9g3qrrsgufrt
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 78, 11189, No update data, 9g3qrrdr4tj0
Bird, MEX, c93df7cb-a770-4628-b46d-71c77dea1c63, 90, 12482, No update data, 9g3qx3pbwyju
Bird, MEX, 0869efa2-2ef4-44ab-912b-8cb1ce496ff4, 19, 1336, No update data, 9g3qx8bp4m65
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 74, 10521, No update data, 9g3qrrdtwezt
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 75, 10112, No update data, 9g3qx3dbwumb
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 74, 10521, No update data, 9g3qx22nes99
Bird, MEX, 5c65aad0-828c-44f0-975f-8b9e475125dd, 97, 14362, No update data, 9g3qx8bnwdxw
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 90, 12482, No update data, 9g3qx20kqn34
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 27, 2672, No update data, 9g3qrrbz4zg1
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 51, 6320, No update data, 9g3qrrdne521
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 82, 11857, No update data, 9g3qrrzz0xrp
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 34, 3841, No update data, 9g3qrrbyj5kw
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre6pyd3
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 94, 13861, No update data, 9g3qx20kf31y
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 42, 4898, No update data, 9g3qrrz1sd53
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 93, 13694, No update data, 9g3qx20kcgqs
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 82, 11218, No update data, 9g3qx20m0zeb
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc5kfzt
