Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 89, 12324, No update data, 9g3qx27m3sg9
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 99, 14696, No update data, 9g3qx27kkqbn
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 97, 14362, No update data, 9g3qx27kk621
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 97, 13588, No update data, 9g3qx277v8q1
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 85, 12358, No update data, 9g3qx2e0cuyw
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 93, 13694, No update data, 9g3qx27k5ery
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 73, 10354, No update data, 9g3qx27kd0gd
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 66, 9185, No update data, 9g3qx2e09u89
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 94, 13861, No update data, 9g3qx2e01z0w
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 94, 13861, No update data, 9g3qx27k4ueq
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 75, 10688, No update data, 9g3qx2kce4yx
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 70, 9853, No update data, 9g3qx2m11f89
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 79, 10744, No update data, 9g3qx2tty8xe
Bird, MEX, dcd6b607-5629-4f0a-a90f-dde50b6d0ba2, 45, 5372, No update data, 9g3qx2g7yedw
Bird, MEX, b4293943-e4df-4a9a-83ef-f9cc0977e80e, 40, 4843, No update data, 9g3qx2ttpvdk
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 87, 12008, No update data, 9g3qx2789w5e
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 30, 3173, No update data, 9g3qx2tv08xj
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 53, 7014, No update data, 9g3qx2tv3rm3
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 33, 3674, No update data, 9g3qx2g45006
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 94, 13861, No update data, 9g3qx2tv96j6
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 78, 11189, No update data, 9g3qx2un0pvd
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 71, 7080, No update data, 9g3qx2tufugq
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 30, 3173, No update data, 9g3qx2tvcvwf
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 99, 13904, No update data, 9g3qx2tuepqe
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 90, 13193, No update data, 9g3qx2tv5nq8
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 96, 14195, No update data, 9g3qx2tye4ww
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 96, 14195, No update data, 9g3qx2ty7dcv
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 96, 13430, No update data, 9g3qx2d8j6pz
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 40, 4843, No update data, 9g3qx2tuvbk3
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 96, 14195, No update data, 9g3qx2tyk2qq
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tz5x1y
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 66, 8690, No update data, 9g3qx2tuqztf
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 96, 14195, No update data, 9g3qx2tzhpg4
Bird, MEX, 45221336-d81b-41e1-9373-7ee3ac5f4efb, 83, 12024, No update data, 9g3qx2tvyp9r
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 98, 13746, No update data, 9g3qx26wn011
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx25vt4hd
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 56, 7110, No update data, 9g3qx2ux9rj3
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx2hj2dbv
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 57, 7682, No update data, 9g3qx25v7zuu
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 52, 4838, No update data, 9g3qx2hj1p4n
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 98, 14529, No update data, 9g3qx2hjjfs2
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 31, 3340, No update data, 9g3qx26wcq82
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 98, 13746, No update data, 9g3qx26w9c0k
