Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 76, 10855, No update data, 9g3qx2hm0pt8
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 49, 4484, No update data, 9g3qx25vrm2u
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 54, 6794, No update data, 9g3qx3h2n0p6
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 84, 11534, No update data, 9g3qx2gx8eyy
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 65, 9018, No update data, 9g3qx2h5s32n
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 56, 7515, No update data, 9g3qx2h58f5c
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 76, 7670, No update data, 9g3qx2y0kkqr
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 78, 10586, No update data, 9g3qx25n3dgt
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 82, 11857, No update data, 9g3qx2fyjck1
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 81, 11060, No update data, 9g3qx2dr669g
Bird, MEX, 556b9051-8c21-4e83-a449-b13a5e36a2c7, 43, 5344, No update data, 9g3qx26m1v26
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 38, 4509, No update data, 9g3qx25k2sqz
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 48, 5846, No update data, 9g3qx257xkpp
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 73, 9796, No update data, 9g3qx24xj8q5
Bird, MEX, 6a082de0-4afb-45d0-a398-05316b073850, 40, 4582, No update data, 9g3qx2j5neps
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 47, 6012, No update data, 9g3qx2dn3u0m
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 57, 7682, No update data, 9g3qx2jvug1d
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 84, 11534, No update data, 9g3qx2jvkqwk
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 53, 7014, No update data, 9g3qx34bb1jx
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 96, 13430, No update data, 9g3qx2yk7dpb
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 87, 12008, No update data, 9g3qx2h2j6ff
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 61, 8350, No update data, 9g3qx348yytb
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 92, 13527, No update data, 9g3qx34c2ugc
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 83, 11376, No update data, 9g3qx34c2e28
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 93, 13694, No update data, 9g3qx34c2hv9
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 78, 10586, No update data, 9g3qx34f1x5w
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 71, 9480, No update data, 9g3qx25186gz
