Bird, MEX, 59657b1e-857e-46d9-8d69-f69b9f071e2b, 83, 12024, No update data, 9g3qw971e77f
Bird, MEX, ad334bee-a4da-4972-b8c7-80cff8e1ef3e, 84, 12191, No update data, 9g3qw9716g68
Bird, MEX, d26244db-fb10-40e2-9c09-0180dbb414be, 84, 11534, No update data, 9g3qwdevwd1u
Bird, MEX, 2fc00242-61e2-4bd6-8710-657593e725fc, 35, 4008, No update data, 9g3qwdekzu4f
Bird, MEX, d885d70f-8189-49e3-8bda-cfe22c443e6a, 51, 6680, No update data, 9g3qw8s5xner
Bird, MEX, 69d7f188-b3cb-4f89-bf1b-7670a2c12c23, 72, 9638, No update data, 9g3qwddbpcxv
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 52, 6478, No update data, 9g3qwg3628w3
Bird, MEX, 7eabd28a-24dd-421e-9b60-1f96d2e7bb9c, 47, 5688, No update data, 9g3qw93zyfb1
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 53, 6636, No update data, 9g3qwerqp7q8
Bird, MEX, 38c96377-68c6-4198-bbea-e361da9b6db5, 81, 11060, No update data, 9g3qwe5ywncd
Bird, MEX, ef754173-547e-4c19-a238-18974625b92a, 51, 6320, No update data, 9g3qwe7c758u
Bird, MEX, 9482897b-fe8f-45b0-b795-a2c103d9fab7, 62, 8058, No update data, 9g3qwe7dpngr
Bird, MEX, 09e52300-764c-496c-a003-d5e4eabd5a4e, 52, 6847, No update data, 9g3qwesbkdey
Bird, MEX, 112d6ccf-97da-42b7-a358-0407b0d9a343, 52, 6478, No update data, 9g3qwd8kd9t2
Bird, MEX, a53113f6-7a3d-4e81-8c22-0c216987b4aa, 54, 6794, No update data, 9g3qwe9hn6uy
Bird, MEX, e465f997-20b6-40ba-be60-31f321f0fd7d, 55, 7348, No update data, 9g3qweb2e02d
Bird, MEX, 368f498b-6de9-45d4-9882-100911a7823a, 51, 6320, No update data, 9g3qwkp7tt21
Bird, MEX, 90f9e687-cd7b-4f5a-acf5-3ff76b574f3c, 67, 8848, No update data, 9g3qrj3xynxn
Bird, MEX, e8505d2e-643d-4190-88af-1c1bf17c02b1, 57, 7268, No update data, 9g3qrjd35jw1
Bird, MEX, 68d10057-b7f3-4bd8-87fa-daf0aa197a0c, 88, 12166, No update data, 9g3qrj36qwd3
Bird, MEX, 8f7ab418-2c00-4ad2-b27c-620284e5c12b, 85, 11692, No update data, 9g3qrj36q0zn
Bird, MEX, 792713ca-b970-44bd-8e06-21cb646db0ee, 88, 12166, No update data, 9g3qrj339y12
Bird, MEX, c1f1cd84-ee41-4ed3-8ac5-0ad0b4cf233f, 48, 5846, No update data, 9g3qrjqz00t6
Bird, MEX, 04a6f288-0cd2-4b54-9783-1cd5a35802ec, 42, 5177, No update data, 9g3qrm2hncvd
Bird, MEX, 44f03615-2456-4b07-9647-05b816bdbf3c, 87, 12008, No update data, 9g3qrjmq9yn8
Bird, MEX, 6a900ee9-4639-4272-a783-d5b67722af84, 55, 6952, No update data, 9g3qrjr2d0hg
Bird, MEX, a2d8eff4-1852-4a79-ae81-edb5f4a3e75d, 56, 7110, No update data, 9g3qrjkvhvpr
Bird, MEX, d00d063d-e0e1-4195-8ffa-01b72cf9bcc4, 43, 5056, No update data, 9g3qrjnwzqxn
Bird, MEX, 6be7f594-5588-4732-87fe-50cf2bb7a306, 75, 10112, No update data, 9g3qrjm5nhx5
Bird, MEX, c5d05fd3-5244-4a11-994f-97a81309631c, 56, 7110, No update data, 9g3qrjphcrj0
Bird, MEX, b91b1a88-f2b7-49ec-b1d1-5a751951db41, 75, 10112, No update data, 9g3qrjkf6qpz
Bird, MEX, 5e19f631-7f9d-4bab-83c1-d33fb0d86b2b, 63, 8216, No update data, 9g3qrm1q558j
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 76, 10270, No update data, 9g3qrjk0uky5
Bird, MEX, 21a514e1-9eb1-49bf-82da-e73751947dfb, 45, 5372, No update data, 9g3qrjhfpvd1
Bird, MEX, 59e9da0f-8f97-4ada-b77f-bb1a39cf637c, 85, 11692, No update data, 9g3qrm1dp3bc
Bird, MEX, 05219d8d-0ada-4f49-b58f-cc3b9d4c4e62, 52, 6478, No update data, 9g3qrkbj32m4
Bird, MEX, 2174d982-0bbf-453a-b37e-27a7fc181963, 90, 12482, No update data, 9g3qrkbhy8f9
Bird, MEX, 2779a39e-20f5-4b5e-933d-9ea1339e06b9, 83, 11376, No update data, 9g3qrhuz875w
Bird, MEX, 5ddb2951-6ba3-4c56-b71e-be31233edbd4, 80, 10902, No update data, 9g3qrm41k170
Bird, MEX, f7074314-5738-4b9e-9368-45727b976b00, 79, 10744, No update data, 9g3qrkchhb93
Bird, MEX, 33ea9b83-0c0e-4bda-81c4-af25eed3fbcc, 94, 13114, No update data, 9g3qrkc4sj7h
Bird, MEX, c15744a5-b3ae-4d68-a324-146b931db2d1, 91, 12640, No update data, 9g3qrkc1cuyd
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 92, 12798, No update data, 9g3qrkc6ssu2
Bird, MEX, f3bfbb03-c906-4a20-981f-f3a9b2f10a92, 76, 10270, No update data, 9g3qrkcgtmxv
Bird, MEX, 1efcc4d8-b112-42e4-a6c9-8445a0a6a422, 93, 12956, No update data, 9g3qrkcdtfs4
Bird, MEX, 4466a0a6-8655-49cc-8237-ae3770cce78e, 82, 11218, No update data, 9g3qrhwngt3w
Bird, MEX, 69db85f9-0a1e-4ed1-8fe9-faa72dca71a0, 69, 9164, No update data, 9g3qrkf55szv
Bird, MEX, a92ed4fc-dedf-4dc7-830a-35535afbf7cb, 69, 9686, No update data, 9g3qrk6nu4eh
