Bird, MEX, ff1eb0a4-c975-49df-bdea-b33d9b1bb218, 67, 8848, No update data, 9g3qx2thzz6q
Bird, MEX, 71663b97-5627-4f12-8e5f-a3e649148426, 90, 13193, No update data, 9g3qx2tnuwhw
Bird, MEX, 86937f5c-bfdb-477a-a5da-a214a3cee266, 79, 11356, No update data, 9g3qx2t7gh02
Bird, MEX, 6e231545-4e34-4a4f-acaa-03608f194847, 91, 13360, No update data, 9g3qx2tpkfp8
Bird, MEX, a409e3cd-02c3-4ab4-8e63-9d66b378c708, 15, 668, No update data, 9g3qx2tpnnr2
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 85, 12358, No update data, 9g3qx27mnh3h
Bird, MEX, afb59a83-3b17-4a7c-a280-e310d22d2563, 96, 13430, No update data, 9g3qx2tm52gx
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 100, 14863, No update data, 9g3qx27kxdkh
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 90, 12482, No update data, 9g3qx27kmzk0
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 96, 14195, No update data, 9g3qx27m5ksw
Bird, MEX, 36b2e499-7803-4a66-8c47-84130a166c99, 91, 12640, No update data, 9g3qx27m6kcc
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 74, 10521, No update data, 9g3qx27kfsbn
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 80, 10902, No update data, 9g3qx2te87gy
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 89, 13026, No update data, 9g3qx2e05h8q
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 97, 14362, No update data, 9g3qx2e04f5r
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 97, 14362, No update data, 9g3qx27kh55j
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 65, 8532, No update data, 9g3qx2e0914h
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 19, 1336, No update data, 9g3qx27hw3uw
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 78, 11189, No update data, 9g3qx2kckuz9
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 96, 14195, No update data, 9g3qx2v3hx5q
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 79, 11356, No update data, 9g3qx2uj3f8s
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 99, 13904, No update data, 9g3qx26vyqu3
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 88, 12166, No update data, 9g3qx278q1xm
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 34, 3841, No update data, 9g3qx2g4j6zg
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 99, 13904, No update data, 9g3qx2v85buz
Bird, MEX, dcd6b607-5629-4f0a-a90f-dde50b6d0ba2, 45, 5372, No update data, 9g3qx2g7ee3d
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 72, 10187, No update data, 9g3qx2m0dz77
