Bird, MEX, 2f081237-27fc-4683-bd36-15e86c14e4d8, 85, 12358, No update data, 9g3qrr5zqpc5
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 64, 8374, No update data, 9g3qx8cgjs2j
Bird, MEX, cd6455e4-32ef-4c8d-83bc-1c83e97b2edb, 56, 7515, No update data, 9g3qrpxtxqxn
Bird, MEX, 52a38e84-36f3-4a3f-819c-7015e9f2e054, 64, 8374, No update data, 9g3qx8dmb8x5
Bird, MEX, 124aedcd-59a1-44cd-8ff0-1c0bcdc8b65a, 48, 6179, No update data, 9g3qx65b3787
Bird, MEX, e9fb1284-340f-47c4-8276-4c8b83c18a73, 67, 8848, No update data, 9g3qrr5upyd3
Bird, MEX, ae303c05-feb3-4a63-8980-cc97f36640e3, 72, 10187, No update data, 9g3qrr4vkc9k
Bird, MEX, c4d516b3-6148-433a-9c91-61c9fe5e9024, 51, 6320, No update data, 9g3qrpxsdd01
Bird, MEX, f162f178-2d3e-4a24-9a96-e5325b5ba732, 89, 12324, No update data, 9g3qrpyxm1k7
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 89, 12324, No update data, 9g3qrpytz15y
Bird, MEX, a4c43537-678b-4778-b8e1-4b442a1241cb, 49, 6346, No update data, 9g3qrr33471g
Bird, MEX, e7f735cc-9d20-43dc-a863-5ba86879414a, 46, 5530, No update data, 9g3qrx2x2dzh
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 40, 4582, No update data, 9g3qrx2x2dr0
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 76, 10270, No update data, 9g3qrx2x0t8g
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 89, 12324, No update data, 9g3qrpyg2dyv
Bird, MEX, b5a8c5a1-be6a-4ac9-a3b3-b2f40f010d14, 84, 11534, No update data, 9g3qrrhdc95t
Bird, MEX, 0da654ce-3512-4c14-95e0-aee9f42a40b4, 93, 12956, No update data, 9g3qrx2wb1jt
Bird, MEX, 71e32e6a-31bb-4767-b6b6-6d3f2f1d3954, 90, 13193, No update data, 9g3qrx2wchr3
Bird, MEX, cf5a97c6-675d-45bf-8fee-7c3a4ec2a8fa, 90, 13193, No update data, 9g3qrx2wcdex
Bird, MEX, 0185de75-6f72-4a1e-a7e9-697ed31ecb2a, 88, 12166, No update data, 9g3qrpyshry1
Bird, MEX, fa2dc693-1248-4bcc-a77c-11e29b10c73a, 90, 12482, No update data, 9g3qrpyt1j1b
Bird, MEX, 79c6d2c3-01b2-4c1a-a7cb-420d3b9f20d9, 89, 13026, No update data, 9g3qrx97gr7s
Bird, MEX, 03019355-675b-4a75-b7c8-06cde4549311, 38, 4266, No update data, 9g3qrx9kjf5n
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 64, 8851, No update data, 9g3qrr21yf8x
Bird, MEX, 9379d512-181b-4a19-a27b-b3cfe0044d87, 63, 8684, No update data, 9g3qrr21wzj8
Bird, MEX, c8710d9e-9267-49d8-b2e6-e06aea3c8382, 46, 5530, No update data, 9g3qrpyp04v6
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 83, 11376, No update data, 9g3qx65jjzk0
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 63, 8684, No update data, 9g3qrqup4k3g
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 71, 9480, No update data, 9g3qrqupj24b
Bird, MEX, 689ba987-f81a-4bab-9b0d-6e4c421f9500, 42, 5177, No update data, 9g3qrr486tj1
Bird, MEX, a23ae9db-2dd5-41b8-86e5-3a8320d5c3e5, 62, 8517, No update data, 9g3qrqunbdng
Bird, MEX, 0c389474-6479-4a7a-b421-35c3ec109e67, 72, 10187, No update data, 9g3qrqgyb10t
Bird, MEX, dd7294ea-f2db-4dec-aa26-fd0ffc6ee3cb, 49, 6004, No update data, 9g3qrprfedcx
Bird, MEX, 9548354a-a62d-4d03-bde8-be2bc835ef9e, 35, 4008, No update data, 9g3qrx0mbr5f
Bird, MEX, b6c6c80b-02ce-49b8-904f-558b8df47b8e, 53, 7014, No update data, 9g3qrx0mbq7y
Bird, MEX, 1648cf2d-2f4c-49c7-8a64-5f5e572faf75, 55, 6952, No update data, 9g3qrqvkv8w1
Bird, MEX, 3f769216-2eaa-441c-aab5-66d302eb9a26, 56, 7515, No update data, 9g3qrx3z7678
Bird, MEX, 08a52c9e-f028-4629-b12d-949c4a1d1316, 81, 11690, No update data, 9g3qrpvw8x08
Bird, MEX, f9065346-2507-4c7c-b781-614af719345d, 81, 11060, No update data, 9g3qrpr3ccqx
Bird, MEX, a0e76f46-dfdf-455d-82f9-2a40a1c7c788, 64, 8374, No update data, 9g3qrqfsjcu5
Bird, MEX, 3d714eea-557e-4b43-baa4-3de82296e865, 37, 4342, No update data, 9g3qx8gdgxyb
Bird, MEX, 1e05a852-5d85-478f-9947-259933833bdd, 84, 12191, No update data, 9g3qx9d6jtyr
Bird, MEX, 323f85b1-a571-4ae7-98ea-b0855f61ba8b, 42, 4898, No update data, 9g3qrpr1pyd1
Bird, MEX, 1c1721cf-b582-4e33-9e73-4b374ed44798, 69, 9686, No update data, 9g3qx0kbs63h
Bird, MEX, 64ee667e-9d69-47ae-946e-fcec8b70139a, 75, 10112, No update data, 9g3qx0kb66ct
Bird, MEX, b99595bf-6379-435a-a133-5de00b63cc58, 69, 9164, No update data, 9g3qrx395hbr
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 79, 10744, No update data, 9g3qrx39kh5k
Bird, MEX, e0058c2b-9a64-4040-aa2f-dbe27da01b0f, 63, 8684, No update data, 9g3qx8gu500d
Bird, MEX, 8185d0f9-7b12-4f6f-bd05-1ec799b10c79, 71, 9480, No update data, 9g3qrx1rxrr6
Bird, MEX, f9937a84-5abe-46da-ae2a-bfe856dfa576, 45, 5372, No update data, 9g3qrqygzfp7
Bird, MEX, dbd8b49f-1323-4e0c-83f7-d815dd905c20, 48, 5846, No update data, 9g3qrqbvwqh6
Bird, MEX, 7992870b-7d0e-4c84-9dff-2165cf57e83d, 87, 12692, No update data, 9g3qrqygnxz8
Bird, MEX, b4790cdb-6489-4d10-bb1b-ae5e4358542f, 55, 7348, No update data, 9g3qrx0fumw2
Bird, MEX, 28647e37-d8b8-4ea0-8f2c-50fee617aa32, 56, 7110, No update data, 9g3qrqygjdqp
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 90, 13193, No update data, 9g3qrx3bghbm
Bird, MEX, 7b3c65c1-5349-4c66-830e-ccc9c357934d, 42, 5177, No update data, 9g3qrptr6ge0
Bird, MEX, c25677bf-c6ea-4aa3-80ce-d4cc210ea6a3, 70, 9322, No update data, 9g3qrqsr7t19
Bird, MEX, cbd5ab7a-58be-466e-a2b7-5375321faf13, 88, 12859, No update data, 9g3qrqyfwpcm
Bird, MEX, e36ff547-5e96-4fde-928f-b48f0b999273, 83, 11376, No update data, 9g3qrpv0wc8x
Bird, MEX, c8414d54-6fcb-4519-a711-f49554876e7f, 57, 7268, No update data, 9g3qrx0fw5zs
Bird, MEX, db564f5e-57e2-4180-b5f3-ea41248df890, 47, 5688, No update data, 9g3qrqtxeerb
Bird, MEX, ca2e0c38-8a25-406c-b88b-48a890636e2e, 26, 2505, No update data, 9g3qrx61ge1c
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 49, 6346, No update data, 9g3qrptq2d29
Bird, MEX, a8a2be27-30e0-45ff-8067-95e9994e144c, 70, 9322, No update data, 9g3qx8sqbtch
Bird, MEX, 8bdbd0e2-0f7c-4f0f-b230-1c1a0d92e30a, 47, 6012, No update data, 9g3qrqc9dwtj
