Bird, MEX, 9c551c74-de69-4c69-a32e-6120ef5cc6c5, 73, 10354, No update data, 9g3qx2tubuk4
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 92, 13527, No update data, 9g3qx2tu9cb8
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 61, 8350, No update data, 9g3qx2tu9y8x
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 61, 8350, No update data, 9g3qx2ddd90h
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 63, 8684, No update data, 9g3qx26tjm4b
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 83, 12024, No update data, 9g3qx26w54nr
Bird, MEX, 1d851a7d-a4c5-44ab-a21d-59434d2e025d, 57, 7268, No update data, 9g3qx2hhu8k2
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 49, 6004, No update data, 9g3qx26c7ece
Bird, MEX, 892c9223-09eb-4776-bdf8-ea075c8776dc, 31, 3340, No update data, 9g3qx26qy190
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 73, 9796, No update data, 9g3qx2qj508m
Bird, MEX, 47320393-5def-43cf-b647-c5108a472309, 70, 9853, No update data, 9g3qx25u23gz
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 64, 8374, No update data, 9g3qx2h5x4k5
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 66, 9185, No update data, 9g3qx2h5q6k3
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 51, 6680, No update data, 9g3qx25jwfjf
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 72, 10187, No update data, 9g3qx2h70v7f
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 73, 10354, No update data, 9g3qx2wqe93y
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 51, 6680, No update data, 9g3qx2wrh28j
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 49, 6346, No update data, 9g3qx2h9gq7x
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 85, 12358, No update data, 9g3qx2wqywd8
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 96, 14195, No update data, 9g3qx26hv3ff
Bird, MEX, f9ff0780-481a-421a-b498-cb4abf64137b, 85, 11692, No update data, 9g3qx2j5pgrq
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 91, 13360, No update data, 9g3qx26htpke
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 94, 13861, No update data, 9g3qx26hjvun
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 94, 13861, No update data, 9g3qx26hs3qn
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 48, 6179, No update data, 9g3qx2wrrvp7
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 88, 12859, No update data, 9g3qx26j5jwk
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 90, 13193, No update data, 9g3qx26j51q3
Bird, MEX, 71954f6c-e22e-4552-84f2-ac68f52581b2, 38, 4266, No update data, 9g3qx23zxydr
Bird, MEX, 256bdf4a-64cf-4ceb-a4ee-897365975aca, 85, 12358, No update data, 9g3qx24v16t2
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 57, 7268, No update data, 9g3qx2jvqqk6
Bird, MEX, a6c28ce5-8818-44ef-bf64-c489bbe91365, 73, 9796, No update data, 9g3qx261pkrh
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, e004eb82-a525-42cf-989b-e87a26a1c53a, 92, 13527, No update data, 9g3qx24r3yyw
Bird, MEX, 3dc9aeff-cceb-4edb-b39e-02ce14fe7095, 33, 3674, No update data, 9g3qx3j7hyct
Bird, MEX, 64dc3079-c01e-4fb4-a783-6025fc5c2a5d, 83, 11376, No update data, 9g3qx29g968q
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 46, 5845, No update data, 9g3qx3je1yyv
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 91, 12640, No update data, 9g3qx2fr5rhw
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 91, 12640, No update data, 9g3qrrup5r7r
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 90, 12482, No update data, 9g3qx2fr7400
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 90, 12482, No update data, 9g3qx2fr698n
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 46, 5845, No update data, 9g3qx2fnqwdt
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 58, 7426, No update data, 9g3qx24ng0w6
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 89, 12324, No update data, 9g3qx23f4k3u
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 70, 9853, No update data, 9g3qx2wyy53k
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 70, 9322, No update data, 9g3qx2qbbrez
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 60, 7742, No update data, 9g3qx23dnt6d
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 47, 5688, No update data, 9g3qx2xh5fug
Bird, MEX, 553e9a71-ac3f-46e1-953d-0ead154e0cf6, 74, 10521, No update data, 9g3qx2rn6dbj
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 99, 13904, No update data, 9g3qx239efku
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 79, 10744, No update data, 9g3qrrvmgn0m
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 44, 5214, No update data, 9g3qx239hjxu
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 88, 12166, No update data, 9g3qx2396sb1
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 88, 12166, No update data, 9g3qx2393uqx
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 93, 13694, No update data, 9g3qx2393ybq
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 96, 13430, No update data, 9g3qx21vh9um
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 93, 12956, No update data, 9g3qx21y85bt
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 78, 11189, No update data, 9g3qx2399n45
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 81, 11060, No update data, 9g3qx2z59jf6
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 67, 8848, No update data, 9g3qx2z54djp
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2cthpxb
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 93, 13694, No update data, 9g3qx2yyh6y7
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 87, 12008, No update data, 9g3qx2392wbw
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 93, 12956, No update data, 9g3qx233xrzp
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 96, 13430, No update data, 9g3qx21xfve3
Bird, MEX, 9f742f01-4bb3-446b-9831-846d478d78bb, 88, 12166, No update data, 9g3qx3jrvuk7
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 97, 13588, No update data, 9g3qx21wuczd
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 85, 11692, No update data, 9g3qx233y031
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 83, 11376, No update data, 9g3qx2z5hz98
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 82, 11218, No update data, 9g3qx2z5j3zv
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 82, 11218, No update data, 9g3qx2z5jey1
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 81, 11690, No update data, 9g3qx2z3bjm8
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 88, 12859, No update data, 9g3qx2zj99g8
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 85, 12358, No update data, 9g3qx2yyysds
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 92, 13527, No update data, 9g3qx2zjc4z1
