Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 62, 8058, No update data, 9g3qx26fechu
Bird, MEX, 63a0667b-d991-4556-a860-1c59fde65c46, 99, 14696, No update data, 9g3qx2tzqjpe
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 54, 6794, No update data, 9g3qx2hhven4
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 100, 14062, No update data, 9g3qx2wp2rgv
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 63, 8684, No update data, 9g3qx25v50br
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 60, 8183, No update data, 9g3qx2furzd7
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 73, 9796, No update data, 9g3qx2furkbc
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 73, 9796, No update data, 9g3qx2fuqdxs
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 100, 14863, No update data, 9g3qx2wp1e7x
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 79, 10744, No update data, 9g3qx2hk3gyg
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 100, 14863, No update data, 9g3qx2y0914h
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 100, 14863, No update data, 9g3qx2hhjcum
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 58, 7426, No update data, 9g3qx2jj7t1d
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 98, 14529, No update data, 9g3qx2hh583e
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 99, 14696, No update data, 9g3qx25gz30y
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 99, 14696, No update data, 9g3qx2h5617e
Bird, MEX, 8d02ee07-12a9-488e-884a-02de0e3197ec, 48, 5846, No update data, 9g3qx26d93jk
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 79, 11356, No update data, 9g3qx2y0y2um
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 97, 14362, No update data, 9g3qx25gj3fu
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx2wr97mv
Bird, MEX, 33fa9623-81ec-4853-b4f1-b3d6c50058c8, 46, 5845, No update data, 9g3qx2j7bjjx
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 40, 4843, No update data, 9g3qx2j79pfn
Bird, MEX, 7bd770db-68ee-4409-b445-65fa1d04e4df, 48, 5846, No update data, 9g3qx2y5qh3r
Bird, MEX, aee57e1f-9b33-4fc8-827f-2e6cb5da3a06, 78, 10586, No update data, 9g3qx29vz70f
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 52, 6478, No update data, 9g3qx262crtr
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 85, 11692, No update data, 9g3qx2626y76
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 89, 12324, No update data, 9g3qx260yuby
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 98, 13746, No update data, 9g3qx349prx0
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 97, 13588, No update data, 9g3qx349r2rn
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 97, 13588, No update data, 9g3qx349r5gu
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 98, 13746, No update data, 9g3qx349rqxj
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 82, 11218, No update data, 9g3qx34ccses
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 79, 10744, No update data, 9g3qx29v93mq
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx23cn5z2
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 100, 14863, No update data, 9g3qx23brds5
Bird, MEX, 21f9dd2e-2d7f-498d-9da7-673253054ded, 100, 14062, No update data, 9g3qx23byh10
Bird, MEX, 4874b0fd-ada6-49c8-a6d7-6365231a4cce, 100, 14863, No update data, 9g3qx21zpj5b
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 76, 10270, No update data, 9g3qx341nvbz
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 88, 12166, No update data, 9g3qx341qg2b
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 48, 6179, No update data, 9g3qx341jwvv
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 24, 2171, No update data, 9g3qx21xpu6k
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 100, 14062, No update data, 9g3qx296237s
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 89, 12324, No update data, 9g3qx2930dbe
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 49, 6346, No update data, 9g3qx2c6ssuk
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 61, 7900, No update data, 9g3qx34z1gqx
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 89, 12324, No update data, 9g3qx291nj34
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 100, 14062, No update data, 9g3qx291vk6f
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 88, 12166, No update data, 9g3qx291v26c
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 80, 11523, No update data, 9g3qx3kd4d84
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 100, 14062, No update data, 9g3qx294k8kq
Bird, MEX, bcdaca3f-ff56-4f84-b21a-033f72230a6b, 100, 14062, No update data, 9g3qx294750p
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 100, 14062, No update data, 9g3qx2944xjn
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 100, 14062, No update data, 9g3qx291ccyd
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 73, 10354, No update data, 9g3qx2r3s5gj
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 30, 3173, No update data, 9g3qx3ns78zb
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 90, 12482, No update data, 9g3qx231sy5e
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 78, 10586, No update data, 9g3qx230tvkp
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 89, 12324, No update data, 9g3qx3kkj6fu
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 89, 12324, No update data, 9g3qx230m3dv
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 97, 14362, No update data, 9g3qx230ung1
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 100, 14062, No update data, 9g3qx21q1f0r
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 100, 14062, No update data, 9g3qx2319fqs
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 100, 14863, No update data, 9g3qx2340q78
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 100, 14062, No update data, 9g3qx2311xg6
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 98, 14529, No update data, 9g3qx230f0kb
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 85, 12358, No update data, 9g3qx2318c7y
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 99, 14696, No update data, 9g3qx230cvb7
Bird, MEX, 209e70ba-2b34-4bb2-9ccf-d36ed06c6331, 100, 14863, No update data, 9g3qx2312enz
Bird, MEX, 773750c9-b48c-452c-91bd-62657dad9452, 100, 14062, No update data, 9g3qx21m0xyc
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 100, 14062, No update data, 9g3qx21m208x
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 99, 14696, No update data, 9g3qx21jr07v
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 100, 14062, No update data, 9g3qx22cqvmt
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 100, 14062, No update data, 9g3qx21jph7u
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 99, 13904, No update data, 9g3qx21hxsu5
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 100, 14062, No update data, 9g3qx21hmcup
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 100, 14863, No update data, 9g3qx2zstqrv
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 99, 14696, No update data, 9g3qx2zsq5ze
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 100, 14863, No update data, 9g3qx2zsw4pd
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 61, 8350, No update data, 9g3qx2bf3j6j
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 100, 14863, No update data, 9g3qx2zspm11
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 100, 14863, No update data, 9g3qx2zsrzde
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 73, 9796, No update data, 9g3qx2ps37jr
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 63, 8684, No update data, 9g3qx2zz50ww
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 100, 14062, No update data, 9g3qx2zyy9x9
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 63, 8216, No update data, 9g3qx8bn7d1b
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 100, 10502, No update data, 9g3qx8bn7t9z
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 72, 9638, No update data, 9g3qx8bjurnk
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 99, 14696, No update data, 9g3qx8bn7fth
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 100, 14863, No update data, 9g3qx3pg36j2
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx8bnhxe2
Bird, MEX, e4802f05-e9d6-45cb-a64b-b9877c85a0a6, 100, 14863, No update data, 9g3qx3pg3sg9
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 100, 14863, No update data, 9g3qx8bp5s9z
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 99, 14696, No update data, 9g3qx3pg5006
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 100, 14863, No update data, 9g3qx3pg525d
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 100, 14863, No update data, 9g3qx3pfskw6
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 99, 14696, No update data, 9g3qx8bp5zjn
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 46, 5530, No update data, 9g3qrrzxsgxg
Bird, MEX, afb99264-6219-4b39-83cb-b2c29bb9bad8, 97, 14362, No update data, 9g3qx20e5pb1
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 97, 14362, No update data, 9g3qx20e6m3u
Bird, MEX, 091c405f-6820-4137-9342-f00e6c13d4e2, 100, 14863, No update data, 9g3qx8bnyjck
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 98, 14529, No update data, 9g3qx20dfv5p
Bird, MEX, 618a964d-c267-428a-80b2-917627bae44e, 98, 14529, No update data, 9g3qx20de5ym
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 21, 1580, No update data, 9g3qx900knej
