Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 100, 14062, No update data, 9g3qx2tp3nfp
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 93, 12956, No update data, 9g3qx2ubmbu2
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 97, 13588, No update data, 9g3qx2ubntzw
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 97, 13588, No update data, 9g3qx2ubsr8j
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 98, 13746, No update data, 9g3qx2tpbsxh
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 100, 14863, No update data, 9g3qx2ubqpx7
Bird, MEX, 4393bfb1-3460-492b-ba5f-ab3d5e317045, 100, 14863, No update data, 9g3qx2ubw1pk
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 98, 13746, No update data, 9g3qx2ubqxzt
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 94, 13114, No update data, 9g3qx2ubvhss
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 21, 1670, No update data, 9g3qx2tphbzx
Bird, MEX, 1500ca1e-de78-4a4b-a7ee-6f6c7a0a8106, 99, 13904, No update data, 9g3qx2ucj0hd
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 79, 10744, No update data, 9g3qx2gfwwrt
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 79, 11356, No update data, 9g3qx2tkjmzy
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 93, 12956, No update data, 9g3qx2t7w5xk
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 65, 8532, No update data, 9g3qx2t7y6u2
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 94, 13861, No update data, 9g3qx27k6sjj
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 87, 12692, No update data, 9g3qx2tt0dpp
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 90, 12482, No update data, 9g3qx2tt5p0q
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 97, 14362, No update data, 9g3qx27hgqhw
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 96, 14195, No update data, 9g3qx2ttsr01
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 76, 10270, No update data, 9g3qx2uj5j03
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 57, 7268, No update data, 9g3qx2ttvdnj
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 91, 12640, No update data, 9g3qx26f7fsg
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 76, 10270, No update data, 9g3qx26f5ery
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 76, 10855, No update data, 9g3qx2hhgsct
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 80, 10902, No update data, 9g3qx2ghf23c
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 69, 9164, No update data, 9g3qx26cgs3d
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 91, 13360, No update data, 9g3qx26f8geg
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 94, 13114, No update data, 9g3qx2dq2s2x
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dqbjm8
Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 91, 13360, No update data, 9g3qx26jnu8y
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 96, 14195, No update data, 9g3qx2wqvnhw
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 31, 3340, No update data, 9g3qx26hwgvv
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26jn53p
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26jt3fb
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 100, 14062, No update data, 9g3qx26jm9mg
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 55, 7348, No update data, 9g3qx2wruvrb
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 94, 13861, No update data, 9g3qx2y2hfce
Bird, MEX, 47b35d14-9abb-48ec-8e6f-5fa456213b68, 33, 3674, No update data, 9g3qx26jkfxe
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 93, 13694, No update data, 9g3qx2wrvmrb
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26jsk81
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 93, 12956, No update data, 9g3qx26huwkr
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 82, 11857, No update data, 9g3qx2wrwzjc
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 100, 14863, No update data, 9g3qx26j79xv
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26j9uw9
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 51, 6320, No update data, 9g3qx26j40gx
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 94, 13114, No update data, 9g3qx2627nwk
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 87, 12692, No update data, 9g3qx2ym0jtt
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c0jbx
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349pvfr
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 89, 12324, No update data, 9g3qx34cge1e
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx349ruf3
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c8k7b
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 97, 14362, No update data, 9g3qx2ymgepg
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 96, 14195, No update data, 9g3qx2ymsq8p
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 89, 12324, No update data, 9g3qx2fr1u8r
Bird, MEX, 2ac75dcb-c68b-4ab5-895b-947e8ad9b32a, 100, 14863, No update data, 9g3qx35k9t55
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 90, 12482, No update data, 9g3qx2fr3cqs
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 100, 14863, No update data, 9g3qx2frdue6
Bird, MEX, ed8413a3-a1c1-4d1a-9688-2a7412059300, 100, 14863, No update data, 9g3qx2frd7cy
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 60, 7742, No update data, 9g3qx23c88bd
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 63, 8216, No update data, 9g3qx340wg8u
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 83, 11376, No update data, 9g3qx341n4pr
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 60, 8183, No update data, 9g3qx341m9ty
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 96, 13430, No update data, 9g3qx2397t3t
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 91, 13360, No update data, 9g3qx21xprx0
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 96, 13430, No update data, 9g3qx23d2sqz
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 36, 4175, No update data, 9g3qx21wztu5
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 64, 8374, No update data, 9g3qx21xp45z
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 92, 13527, No update data, 9g3qx21xjfs1
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 44, 5214, No update data, 9g3qx21xkb3m
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 96, 14195, No update data, 9g3qx2z5577x
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 67, 8848, No update data, 9g3qx34zn6s6
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 64, 8851, No update data, 9g3qx2c6mfsh
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 98, 13746, No update data, 9g3qx2390e2w
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 96, 14195, No update data, 9g3qx2yvwfty
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 57, 7268, No update data, 9g3qx2z5hv9t
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 98, 13746, No update data, 9g3qx2z4w6sw
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 94, 13861, No update data, 9g3qx2z4xv4w
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 100, 14062, No update data, 9g3qx232jnus
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 100, 14062, No update data, 9g3qx23368tp
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx232ghbn
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx2329h4p
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 98, 13746, No update data, 9g3qx29107g9
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx233040x
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 99, 13904, No update data, 9g3qx2912p8d
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 91, 13360, No update data, 9g3qx21t07g8
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 97, 14362, No update data, 9g3qx21mqzm8
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 98, 13746, No update data, 9g3qx23280v6
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 98, 13746, No update data, 9g3qx28cppeb
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 98, 13746, No update data, 9g3qx28cyumd
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 92, 13527, No update data, 9g3qx21mqc2g
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 98, 13746, No update data, 9g3qx28cwgbw
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 92, 12798, No update data, 9g3qx21mq84e
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 87, 12008, No update data, 9g3qx230ynz3
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 96, 14195, No update data, 9g3qx3k7ubzt
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qx231sy5e
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 58, 7849, No update data, 9g3qx3k7y3s3
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 89, 13026, No update data, 9g3qx21mn7kq
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 96, 13430, No update data, 9g3qx3k7v4u9
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 98, 13746, No update data, 9g3qx21r2twy
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 99, 13904, No update data, 9g3qx230w3hk
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 98, 13746, No update data, 9g3qx230nzbf
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 98, 13746, No update data, 9g3qx28cgj20
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 98, 13746, No update data, 9g3qx2zmnksx
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 38, 4509, No update data, 9g3qx2zmp3r3
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 91, 13360, No update data, 9g3qx2zs8q5u
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 22, 1738, No update data, 9g3qx2zmpqr2
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 70, 9322, No update data, 9g3qx2xv1e5t
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 93, 12956, No update data, 9g3qx2zt82gg
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 94, 13114, No update data, 9g3qx2zs527s
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 93, 12956, No update data, 9g3qx2zsgk58
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 96, 14195, No update data, 9g3qx2zrq9dw
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zqxyxr
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 98, 13746, No update data, 9g3qx2zrw3u8
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 96, 14195, No update data, 9g3qx21hqj9n
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 98, 13746, No update data, 9g3qx21j7pbh
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 90, 13193, No update data, 9g3qx21jdm3z
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 99, 13904, No update data, 9g3qx21n17b2
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 94, 13861, No update data, 9g3qx21hkzr8
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 97, 13588, No update data, 9g3qx2zsv9np
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 94, 13861, No update data, 9g3qx21j9yne
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 91, 13360, No update data, 9g3qx215weft
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 94, 13861, No update data, 9g3qx2zx455v
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 99, 13904, No update data, 9g3qx20zt64f
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 98, 13746, No update data, 9g3qx215vm4z
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 90, 13193, No update data, 9g3qx215nzv9
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 47, 6012, No update data, 9g3qx3nxz2cj
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 74, 9954, No update data, 9g3qx3msxs3y
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 100, 14062, No update data, 9g3qx3p9yyjy
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 98, 13746, No update data, 9g3qx8bnf5ez
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 99, 14696, No update data, 9g3qx3pbpuxr
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 80, 11523, No update data, 9g3qx20t46cf
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 97, 13588, No update data, 9g3qx8bp4jgz
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 93, 12956, No update data, 9g3qx8bng183
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 90, 13193, No update data, 9g3qx20scqmp
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 91, 13360, No update data, 9g3qx8bp6sv1
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 56, 7110, No update data, 9g3qx8bjy1c7
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 82, 11857, No update data, 9g3qx8bjvy5n
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 92, 13527, No update data, 9g3qx20mrehp
Bird, MEX, b5d4fccd-e73f-48e1-9d91-b96a0c896402, 98, 13746, No update data, 9g3qrrzk3hf2
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 78, 10586, No update data, 9g3qx20dm8mv
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 97, 13588, No update data, 9g3qx8bpuheh
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 80, 11523, No update data, 9g3qx8bpn0pd
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 96, 13430, No update data, 9g3qx8bpqefu
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 93, 13694, No update data, 9g3qx20kvnu9
Bird, MEX, dd5d01a4-617b-4c5c-9dcc-719955edd02d, 44, 5214, No update data, 9g3qx3sftyhk
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 96, 14195, No update data, 9g3qx2097xrb
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 88, 12859, No update data, 9g3qx303jukj
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 99, 13904, No update data, 9g3qx209cbys
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 48, 6179, No update data, 9g3qx208n6hq
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 79, 11356, No update data, 9g3qx20m4puc
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 96, 14195, No update data, 9g3qx2099gq9
Bird, MEX, 804daf5f-43fd-4f8d-8ccb-6b780ffc9636, 88, 12859, No update data, 9g3qrrwxngvb
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 99, 13904, No update data, 9g3qx2093w76
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 92, 13527, No update data, 9g3qx2093kmn
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 67, 8848, No update data, 9g3qx3r6berj
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 97, 13588, No update data, 9g3qx2091rjj
