Bird, MEX, d020a4d6-c23d-4e90-b496-bfbd6f807277, 100, 14062, No update data, 9g3qx2s58hbe
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 85, 12358, No update data, 9g3qx2kj092c
Bird, MEX, e9bc84ce-d822-429b-a4e2-06a23fb32af0, 100, 14062, No update data, 9g3qx2tjbptx
Bird, MEX, d0beaa38-2e9d-4588-85dc-2955ca62c8e9, 100, 14062, No update data, 9g3qx2tn1h6j
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 100, 14062, No update data, 9g3qx2szex19
Bird, MEX, 50ad6d5b-e418-49e1-bda1-5c26e567985c, 100, 14062, No update data, 9g3qx2tjgk7d
Bird, MEX, a72f3f15-9e3e-45bf-a2ad-6b53efd8d76f, 100, 14062, No update data, 9g3qx2e3en2m
Bird, MEX, 05830fa6-52a4-493a-9fa8-7f28c90e403c, 97, 13588, No update data, 9g3qx2e2ghyq
Bird, MEX, fc97cd00-b130-485c-9f04-32a39b424f3e, 93, 13694, No update data, 9g3qx2e36d21
Bird, MEX, 103d35a3-c843-4e07-8711-d00965ff9f15, 98, 13746, No update data, 9g3qx2e34qcu
Bird, MEX, 0988bdd2-26e0-4808-8c79-0688c8e7d946, 100, 14062, No update data, 9g3qx2ubefhf
Bird, MEX, b9711556-35e2-4688-9fd4-138d8621c479, 99, 13904, No update data, 9g3qx2e337jr
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 100, 14062, No update data, 9g3qx2tpbg5f
Bird, MEX, e7aadd68-ec60-4cb1-85c9-55418d404c3f, 100, 14062, No update data, 9g3qx2tm2jje
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 70, 9322, No update data, 9g3qx2g9hv13
Bird, MEX, 21f9dd2e-2d7f-498d-9da7-673253054ded, 99, 13904, No update data, 9g3qx27q5n22
Bird, MEX, 71af20d4-ae11-43ed-9b22-297347f35569, 100, 14062, No update data, 9g3qx2t7hfx9
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 100, 14062, No update data, 9g3qx27r0dnz
Bird, MEX, d480de46-a760-4ad4-8fc1-7f1ed6330c5f, 57, 7268, No update data, 9g3qx27q3zq8
Bird, MEX, 65a77394-10f8-455f-8dc2-7c74a3f85c73, 100, 14062, No update data, 9g3qx27r052x
Bird, MEX, d5b560f1-19ce-46be-bafe-4feb4b364ace, 96, 13430, No update data, 9g3qx27ppf4r
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 96, 14195, No update data, 9g3qx2t7tgsk
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 100, 14062, No update data, 9g3qx2tmk6w7
Bird, MEX, 0b614b84-c92a-442b-93ab-89c83b29851d, 99, 14696, No update data, 9g3qx27nzns0
Bird, MEX, b0f3d837-d2e5-4137-adad-b94cf16625e4, 98, 14529, No update data, 9g3qx2t7rk3p
Bird, MEX, b2f3eecd-87a6-4f22-b09d-ab4e0bb1a23a, 99, 14696, No update data, 9g3qx27q0489
Bird, MEX, 01fcc0bd-7a21-4ac2-84ac-51442e5ce70b, 98, 14529, No update data, 9g3qx27kg5qk
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 99, 13904, No update data, 9g3qx27pswkm
Bird, MEX, 8afc1e1b-9580-41b5-91df-01cde059e309, 100, 14863, No update data, 9g3qx27m3mj7
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 97, 13588, No update data, 9g3qx2t7ry67
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 49, 6346, No update data, 9g3qx2t9cwe8
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 99, 13904, No update data, 9g3qx2v2fz7q
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 99, 14696, No update data, 9g3qx2v2sc3w
Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 65, 8532, No update data, 9g3qx2uh8m5y
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 94, 13861, No update data, 9g3qx2v2q4cm
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 97, 14362, No update data, 9g3qx2v35xpy
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 48, 5846, No update data, 9g3qx2gevxy0
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 57, 7682, No update data, 9g3qx2g448j4
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 75, 10112, No update data, 9g3qx2hqtr4c
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 61, 8350, No update data, 9g3qx2hj97vm
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 57, 7682, No update data, 9g3qx2ghdwmj
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 53, 6636, No update data, 9g3qx2hhv9nn
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 28, 2839, No update data, 9g3qx26f64ee
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 97, 14362, No update data, 9g3qx2wp0srj
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 72, 9638, No update data, 9g3qx2gh9pdj
Bird, MEX, 69a55863-30b4-4862-802d-1a0b195bfa0d, 96, 14195, No update data, 9g3qx2wnfk3f
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 56, 7110, No update data, 9g3qx2jje65d
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 34, 3841, No update data, 9g3qx26dy0ch
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 97, 14362, No update data, 9g3qx2wnhr80
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 75, 10688, No update data, 9g3qx2vbzzrq
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 98, 14529, No update data, 9g3qx2hhhskk
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 99, 13904, No update data, 9g3qx2wnhvcw
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 97, 14362, No update data, 9g3qx2hhh680
Bird, MEX, 63a0667b-d991-4556-a860-1c59fde65c46, 96, 14195, No update data, 9g3qx2y03fnb
Bird, MEX, dfa95489-d2c7-4dfc-b38e-bf6560efa249, 96, 14195, No update data, 9g3qx2wjmzuk
Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 85, 11692, No update data, 9g3qx2h5gzkv
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 96, 14195, No update data, 9g3qx2h5uq0j
Bird, MEX, ba43ac1d-65cd-439d-96c6-13f7cfce677b, 98, 14529, No update data, 9g3qx2wpghws
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 78, 10586, No update data, 9g3qx2h5v34y
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 89, 13026, No update data, 9g3qx2wjwcmy
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 94, 13861, No update data, 9g3qx2h5eysz
Bird, MEX, 78209f58-6a8f-4a26-a3b0-d66ab1420a36, 94, 13861, No update data, 9g3qx2wptty1
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 93, 13694, No update data, 9g3qx2h53b8x
Bird, MEX, f64d3b10-d626-4d61-9a74-2631e24b0e13, 53, 6636, No update data, 9g3qx26kkb3q
Bird, MEX, 9b99e586-078b-41d9-9505-0df93a54c01a, 100, 14062, No update data, 9g3qx26khz1q
Bird, MEX, 5704481c-ce9c-4984-b3fe-3309b2bb35c6, 48, 5846, No update data, 9g3qx2y4jswp
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 89, 12324, No update data, 9g3qx2wrfxmn
Bird, MEX, 35abfa33-04d2-49b9-9d7c-bf837caa1f01, 90, 12482, No update data, 9g3qx2wrepqe
Bird, MEX, 46daf5a8-0a70-4a6f-ae79-23b44704bc00, 92, 13527, No update data, 9g3qx2y268v0
Bird, MEX, 7bd770db-68ee-4409-b445-65fa1d04e4df, 47, 5688, No update data, 9g3qx2y33p61
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 37, 4342, No update data, 9g3qx2j7dtmp
Bird, MEX, 33fa9623-81ec-4853-b4f1-b3d6c50058c8, 43, 5344, No update data, 9g3qx2j73461
Bird, MEX, 258f56c1-c66f-4330-849b-1de97c45b1c3, 91, 12640, No update data, 9g3qx26ht64f
Bird, MEX, 6444a382-c13b-47a2-94cc-806ee4c7f9ba, 100, 14062, No update data, 9g3qx26hftt4
Bird, MEX, fcbd96a8-ae56-4698-add5-c4563c440a39, 99, 14696, No update data, 9g3qx2ykb9z5
Bird, MEX, faa15d87-e0af-4ccc-9859-baeeeffc4653, 100, 14062, No update data, 9g3qx2yk3uyc
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx24rcv22
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 84, 11534, No update data, 9g3qx26212br
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 88, 12166, No update data, 9g3qx24rbxqv
Bird, MEX, 2510200f-d563-4079-b4ef-956f38651810, 98, 14529, No update data, 9g3qx2ykejyd
Bird, MEX, 3b7eb4a5-3646-4996-a072-f9250a6691a3, 100, 14863, No update data, 9g3qx2yke8zf
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 96, 13430, No update data, 9g3qx34c32b2
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 96, 13430, No update data, 9g3qx34c0z5y
Bird, MEX, 9f61a028-c211-453d-a213-d3689ad3fe9b, 98, 14529, No update data, 9g3qx2ykgdzc
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 96, 13430, No update data, 9g3qx34c3rbm
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 94, 13114, No update data, 9g3qx34c80ve
Bird, MEX, 37b69fba-9da6-4a14-9707-39492cabff07, 100, 14863, No update data, 9g3qx23uu8k3
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 98, 14529, No update data, 9g3qx23chv36
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 99, 13904, No update data, 9g3qx23btuu5
Bird, MEX, 841aa314-b90d-45b0-ba7d-1a003f283759, 100, 14062, No update data, 9g3qx23cdxj1
Bird, MEX, 450c9ec8-dd3b-415b-ac2b-305b1dd56a61, 100, 14062, No update data, 9g3qx23c3fq9
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2nxw01q
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 85, 11692, No update data, 9g3qx340ykk6
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 45, 5678, No update data, 9g3qx341kxk3
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 99, 13904, No update data, 9g3qx2yvjben
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 99, 13904, No update data, 9g3qx2yuy8xe
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 94, 13861, No update data, 9g3qx21vckj2
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 98, 13746, No update data, 9g3qx233q84s
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 98, 13746, No update data, 9g3qx21x6jhg
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 98, 13746, No update data, 9g3qx233qhc1
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 98, 13746, No update data, 9g3qx233nkkk
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 76, 10855, No update data, 9g3qx3kd583s
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 97, 13588, No update data, 9g3qx21w5x98
Bird, MEX, 6ae85719-5242-47f6-9d8f-c1af39081af5, 100, 14062, No update data, 9g3qx233s4pf
Bird, MEX, a4ffe11d-1d85-4722-bb60-3c451994c602, 100, 14062, No update data, 9g3qx233etrz
Bird, MEX, bcdaca3f-ff56-4f84-b21a-033f72230a6b, 98, 13746, No update data, 9g3qx2337drc
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 99, 13904, No update data, 9g3qx21wc060
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 51, 6320, No update data, 9g3qx2z5pzpq
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 99, 13904, No update data, 9g3qx2yzpudr
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 98, 13746, No update data, 9g3qx3nbnd4x
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 99, 13904, No update data, 9g3qx2327s1t
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 98, 13746, No update data, 9g3qx2zp6rd5
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 70, 9853, No update data, 9g3qx2r34361
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 97, 14362, No update data, 9g3qx2zpcu8s
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 87, 12008, No update data, 9g3qx2323ndh
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 87, 12008, No update data, 9g3qx28crxuh
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 98, 14529, No update data, 9g3qx230zg6k
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 88, 12166, No update data, 9g3qx28fp2r5
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 97, 14362, No update data, 9g3qx3p04hez
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 97, 14362, No update data, 9g3qx2zpkm8p
Bird, MEX, 5510831d-1709-49e9-8cf6-f7180138e935, 99, 14696, No update data, 9g3qx231nz8b
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 97, 14362, No update data, 9g3qx3p04s2j
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 97, 14362, No update data, 9g3qx3p0624h
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 28, 2839, No update data, 9g3qx3ney5rt
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 99, 13904, No update data, 9g3qx21mq84e
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 94, 13861, No update data, 9g3qx234k0xz
Bird, MEX, 12e2fe21-97f4-4e9b-a56b-f7dcd8f203d4, 100, 14863, No update data, 9g3qx231tjkx
Bird, MEX, 6818b21a-e145-48ee-a58b-836e05a1fe7d, 46, 5530, No update data, 9g3qx231urwp
Bird, MEX, 773750c9-b48c-452c-91bd-62657dad9452, 100, 14062, No update data, 9g3qx21mumnp
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 100, 14863, No update data, 9g3qx2zpubxg
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 97, 13588, No update data, 9g3qx3k7vgkm
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 96, 14195, No update data, 9g3qx231kvxw
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 99, 14696, No update data, 9g3qx2zpt9qn
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 100, 14062, No update data, 9g3qx2zptdqh
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 99, 13904, No update data, 9g3qx21mn41n
Bird, MEX, fa9bab13-48c3-4136-a8b9-349f4284971a, 99, 14696, No update data, 9g3qx231guhb
Bird, MEX, af76bb47-f9ce-4f93-ae1f-cf6e72f1b362, 98, 14529, No update data, 9g3qx231kdk3
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 99, 13904, No update data, 9g3qx21kwx49
Bird, MEX, 9dbb8d37-8eec-41d8-8d42-da22c0d7a8a3, 100, 14863, No update data, 9g3qx231hv9k
Bird, MEX, 2bdaf6c5-2def-4ebd-9e3d-1bf08b218c65, 98, 14529, No update data, 9g3qx23450wm
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 100, 14062, No update data, 9g3qx2zpwnxx
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 87, 12008, No update data, 9g3qx28fk8u2
Bird, MEX, 843087ca-7338-4d85-be2b-1e0a3091cda2, 100, 14062, No update data, 9g3qx2315wcs
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 76, 10270, No update data, 9g3qx230jmdu
Bird, MEX, 40c53d16-1d05-4b37-bc92-5a20d82b13cd, 46, 5530, No update data, 9g3qx21q2eyg
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 78, 11189, No update data, 9g3qx23151ym
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 99, 13904, No update data, 9g3qx28fex3e
Bird, MEX, a55068d0-98e4-43c2-8020-d3f8b8f927a4, 100, 14062, No update data, 9g3qx2314dv5
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 98, 13746, No update data, 9g3qx2zky9x9
Bird, MEX, c0fe1b03-bcf5-436f-a8b3-0df4ebad4766, 100, 14863, No update data, 9g3qx23132tr
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 85, 12358, No update data, 9g3qx28fb0vm
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 96, 14195, No update data, 9g3qx215x60c
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 57, 7682, No update data, 9g3qx2bfc8e7
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 100, 14863, No update data, 9g3qx215vzkj
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 100, 14863, No update data, 9g3qx21hg5n6
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 99, 14696, No update data, 9g3qx21heqhe
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 97, 13588, No update data, 9g3qx215tstc
Bird, MEX, 74a49725-ba91-4939-b772-7771130ff79c, 99, 14696, No update data, 9g3qx215tkpx
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 100, 14062, No update data, 9g3qx215qj9n
Bird, MEX, 77000fce-8914-48b2-9eeb-d4c4568dff7d, 100, 14062, No update data, 9g3qx215t4ux
Bird, MEX, 1de46640-3af7-4775-b2eb-17a5b3710166, 100, 14863, No update data, 9g3qx215scrw
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 98, 13746, No update data, 9g3qx215dd25
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 72, 9638, No update data, 9g3qx2psu15n
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 97, 10148, No update data, 9g3qx3p8jpsb
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 70, 9322, No update data, 9g3qx3p8kyrg
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 89, 12324, No update data, 9g3qx3p8p8kk
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 99, 13904, No update data, 9g3qx2zz45gc
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 62, 8058, No update data, 9g3qx2zyu9e3
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 78, 10586, No update data, 9g3qx2zyjv75
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 100, 14062, No update data, 9g3qx8bn3yqg
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 96, 14195, No update data, 9g3qx3pbp9s7
Bird, MEX, 13ad7556-d6e6-48db-9a9b-845655ee7da2, 100, 14062, No update data, 9g3qx8bndb5r
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 97, 14362, No update data, 9g3qx3pf9vyf
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 97, 14362, No update data, 9g3qx3pf7ytj
Bird, MEX, 8cecfe6c-790f-4cba-a768-503288c6a2ca, 100, 14863, No update data, 9g3qx8bnkdek
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx9001mtm
Bird, MEX, 7698dc2a-c1c9-46a3-958e-1329429632c5, 85, 11692, No update data, 9g3qx3pfsn5h
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 99, 13904, No update data, 9g3qx8bpfmzh
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 92, 13527, No update data, 9g3qx8bnjv51
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 98, 14529, No update data, 9g3qx3pg6wm5
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 94, 13861, No update data, 9g3qx20mww4e
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 97, 14362, No update data, 9g3qx9006jez
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 88, 12166, No update data, 9g3qx20qs0w3
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 92, 13527, No update data, 9g3qx8bnqxdg
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 99, 14696, No update data, 9g3qx8bny9px
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 97, 14362, No update data, 9g3qx3pgsgcw
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 74, 9954, No update data, 9g3qx3r1xzxq
Bird, MEX, a6cc2f27-cf05-4abf-b878-9b1fb6b1b336, 84, 12191, No update data, 9g3qx209mevg
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 53, 7014, No update data, 9g3qx302tsvu
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 69, 9164, No update data, 9g3qx82x674p
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 99, 13904, No update data, 9g3qx20m77ue
Bird, MEX, dde13183-3663-4df6-be0d-4a2b9dd3e6c1, 100, 14062, No update data, 9g3qx20mdge5
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 100, 14863, No update data, 9g3qx20m6hkz
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 99, 14696, No update data, 9g3qx9020qgu
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 99, 13904, No update data, 9g3qx20m3623
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 96, 14195, No update data, 9g3qx20m29wv
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 98, 13746, No update data, 9g3qx20m0c7c
Bird, MEX, 2604aa07-f3ee-49bc-8a38-d69f285f884c, 97, 14362, No update data, 9g3qx2092u5v
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 97, 14362, No update data, 9g3qx20jxjgc
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 98, 13746, No update data, 9g3qx8bqmnkg
Bird, MEX, e52dc642-5d58-4120-b47a-9861ccd1a3b8, 100, 14863, No update data, 9g3qx20jyx8m
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx20kbq7x
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 100, 14062, No update data, 9g3qx20jpbdm
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 97, 14362, No update data, 9g3qx20jr3bz
