Bird, MEX, 18c80676-0e55-4f67-ba7d-2400ab892dc5, 99, 14696, No update data, 9g3qx2e3d17w
Bird, MEX, d54b8a48-488d-492a-883a-ea124d0566b6, 97, 14362, No update data, 9g3qx2e33sg9
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 49, 6346, No update data, 9g3qx2kew5x7
Bird, MEX, d7344496-c5ab-4eb8-970c-a698a2e981a4, 88, 12859, No update data, 9g3qx2e391f0
Bird, MEX, f18a291f-0f75-49a3-9d16-30439a11edbc, 98, 14529, No update data, 9g3qx2e32ptd
Bird, MEX, 847e92aa-2285-46dd-97a3-47a02f8c7d70, 71, 9480, No update data, 9g3qx2trddtn
Bird, MEX, de6f0037-2ee9-477f-8e3e-3ddf068e840b, 97, 13588, No update data, 9g3qx27m20v8
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 82, 11218, No update data, 9g3qx2eh0xwb
Bird, MEX, c89b0474-686a-4d23-8ffb-e0f7cfec0968, 39, 4676, No update data, 9g3qx2uh2nme
Bird, MEX, 28487f37-7090-4914-9136-41c92b138b19, 94, 13114, No update data, 9g3qx2mxgyhy
Bird, MEX, ba056281-f852-4721-ba21-231dd8965e18, 61, 8350, No update data, 9g3qx2guz72v
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 100, 14863, No update data, 9g3qx278uf9k
Bird, MEX, a41e2857-bc4b-4e5a-9d4c-44a612a81e88, 64, 8851, No update data, 9g3qx2kb7red
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 90, 13193, No update data, 9g3qx2tx7d3d
Bird, MEX, 67e42b2f-8a7a-4652-a635-bf3bdf793b31, 40, 4843, No update data, 9g3qx2kbmpk8
Bird, MEX, 7ec6359e-1591-4505-b13d-2b7ccd4c5d60, 84, 11534, No update data, 9g3qx2kb799t
Bird, MEX, 71bc491c-200b-4356-b876-033a65d90353, 39, 4676, No update data, 9g3qx2tuc0d5
Bird, MEX, 0155ef64-a731-4181-bc36-2ac29b95416a, 65, 9018, No update data, 9g3qx2tucwe8
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 61, 7900, No update data, 9g3qx2g1dpet
Bird, MEX, e25e5707-996b-4673-8bbb-496d9011a7ff, 56, 7515, No update data, 9g3qx2tuf31z
Bird, MEX, 8c460f9f-332d-4d54-83ff-ae9034f42d17, 55, 7348, No update data, 9g3qx2hqydrw
Bird, MEX, d3355024-95e7-4df7-af1a-1557195debd3, 89, 13026, No update data, 9g3qx2tu7kg9
Bird, MEX, efcf24a2-9996-4559-842b-c8cd6d076d8f, 88, 12859, No update data, 9g3qx2ty5wcu
Bird, MEX, 435a3487-2b15-47a7-af99-0e1b2beaf0bf, 67, 9352, No update data, 9g3qx2gmsmy6
Bird, MEX, bb45a68c-81d8-47be-bfb5-6a8b90391ac6, 72, 10187, No update data, 9g3qx26ts6wn
Bird, MEX, f07cf11e-c726-4fd6-882a-efa800f70f49, 91, 13360, No update data, 9g3qx25vm66c
Bird, MEX, 026a3443-7463-4561-8b94-40f81a7d5585, 39, 4424, No update data, 9g3qx2ghd63u
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 48, 5846, No update data, 9g3qx3h27m7m
Bird, MEX, d696029f-bce1-4093-8a16-7fbb6385ff4b, 30, 3173, No update data, 9g3qx2muqhpt
Bird, MEX, 2ef86701-c6d7-4478-873f-2d29edb27a19, 57, 7268, No update data, 9g3qx26sd69y
Bird, MEX, d5d7be61-3ec5-4ec4-8cb2-7dbae9e38bbf, 76, 10855, No update data, 9g3qx2grhqbh
Bird, MEX, 5b2c8a50-227a-4c09-9acc-c975fc3eab5a, 47, 6012, No update data, 9g3qx269zzdr
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 60, 5782, No update data, 9g3qx2y03kmr
Bird, MEX, 61c2d35f-2a8a-4256-876f-bcc1eecf0406, 79, 11356, No update data, 9g3qx2gry8zt
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 96, 13430, No update data, 9g3qx2h5e0b6
Bird, MEX, d14deddc-33f9-4be2-b545-2c4c970524f7, 43, 5344, No update data, 9g3qx2qh78ry
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 67, 8848, No update data, 9g3qx25n5fuf
Bird, MEX, 74c53c10-629e-445d-aa9a-fad859f1ea08, 72, 9638, No update data, 9g3qx2h50vgy
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 63, 8684, No update data, 9g3qx2fyh9um
Bird, MEX, d19033b9-cbc5-4ce4-aa3c-5e1552a5a272, 74, 9954, No update data, 9g3qx2wq9qmm
Bird, MEX, e4f06aa1-582e-4108-b86f-b87d2ae15d97, 71, 10020, No update data, 9g3qx2y23n65
Bird, MEX, 5b80345c-8271-459f-8725-aae0e708ec02, 74, 10521, No update data, 9g3qx2y23t5e
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 44, 5214, No update data, 9g3qx257eyhg
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 96, 14195, No update data, 9g3qx25dt2xb
Bird, MEX, 003d3e44-0109-48bc-9dc3-0d929e16dabf, 63, 8684, No update data, 9g3qx26hrkbc
Bird, MEX, 62c803ed-56c6-4d47-80e8-a7a8a215f461, 92, 13527, No update data, 9g3qx2dn7dxg
Bird, MEX, 5bff2d39-0299-4bf4-8bcd-4ddcfbac6bdc, 61, 8350, No update data, 9g3qx24x8swc
Bird, MEX, 42e86e16-2c91-4158-9126-a814ef1f6881, 49, 6346, No update data, 9g3qx24x3ndh
Bird, MEX, b347d60b-82ed-4762-8e03-c991091c7fff, 75, 10688, No update data, 9g3qx26hktsr
Bird, MEX, 1aaaf796-2869-438e-89ca-348a3ae0c74d, 36, 4175, No update data, 9g3qx26hkq24
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 92, 12798, No update data, 9g3qx26hhn70
Bird, MEX, b23476fa-2d71-436d-a7ea-6bc82f4568fe, 87, 12692, No update data, 9g3qx265s2b4
Bird, MEX, 2c8da7b1-e9fc-49e5-84ed-878b54d39926, 40, 4843, No update data, 9g3qx2h0z3z4
Bird, MEX, 845653c5-be67-45ca-a0dd-0be4b813d13c, 94, 13114, No update data, 9g3qx265gn2p
Bird, MEX, 7d6461b5-e421-49f0-9041-58c788bdce0e, 78, 11189, No update data, 9g3qx2jvtvu3
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 94, 13114, No update data, 9g3qx2657drc
Bird, MEX, e0b6da46-2de2-4bf8-9998-95e039e41b4b, 56, 7515, No update data, 9g3qx29futuk
Bird, MEX, 3384db6e-31b3-44ff-8878-c06cb1d55930, 88, 12859, No update data, 9g3qx2653fq9
Bird, MEX, 72e4b636-06ec-449c-b189-197fe291ae27, 93, 12956, No update data, 9g3qx265bu5b
Bird, MEX, c4cb69d3-6686-4405-868e-341e6a96d092, 88, 12859, No update data, 9g3qx265bj28
Bird, MEX, c3d658c3-5036-499f-980c-ecb309b88fa1, 98, 14529, No update data, 9g3qx349py63
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 93, 12956, No update data, 9g3qx23grqzn
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 75, 10688, No update data, 9g3qx34c248s
Bird, MEX, 42454257-9992-4862-9f2b-5798db36de52, 54, 7181, No update data, 9g3qx23grq8u
Bird, MEX, 8b832ef9-a9b0-4f2e-ac8a-fbbc424802bd, 58, 7849, No update data, 9g3qx2y8nnr8
Bird, MEX, 3c5bd5b5-0e3b-42f1-9745-8bc2379f37ee, 96, 14195, No update data, 9g3qx349qpzm
Bird, MEX, ad7688fc-b5fe-4787-8f82-857aa4585072, 36, 4175, No update data, 9g3qx2ys0qgu
Bird, MEX, 1c0f74e3-1e8b-40be-a0cc-935d7dc71590, 92, 12798, No update data, 9g3qx2fr185d
Bird, MEX, e55db94e-5f6d-42bd-a9af-7c008b429224, 100, 14863, No update data, 9g3qx2fr3cqs
Bird, MEX, 6509c40a-9658-4cc6-9fa5-eb257e05022e, 72, 10187, No update data, 9g3qx24cx38z
Bird, MEX, c849098b-7d93-49db-bcf4-1c330443d907, 97, 14362, No update data, 9g3qx2fr3gq8
Bird, MEX, 4fce7ccd-bff9-4a2f-9b3f-5c9dddb95b29, 99, 14696, No update data, 9g3qx2fr23ew
Bird, MEX, eb280665-4324-4e84-970b-48dde451e2c1, 94, 13114, No update data, 9g3qx2fr218w
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 56, 7515, No update data, 9g3qx3hnex1d
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 47, 6012, No update data, 9g3qx35h2reg
Bird, MEX, 30e3b606-7e0e-41be-88f9-fa52ae2bc2e6, 48, 5846, No update data, 9g3qx2yewcmy
Bird, MEX, 1a02376f-b78a-4949-b64e-0b19f128330c, 78, 11189, No update data, 9g3qx340nv2g
Bird, MEX, 2919db8d-95e4-485e-8699-00f0c531c4bb, 84, 11534, No update data, 9g3qx2fp2e28
Bird, MEX, 9c6e0dcd-2637-4951-b10a-cb9dc81e2edb, 90, 12482, No update data, 9g3qx2x5uvcs
Bird, MEX, ba602142-b0b8-4553-8553-559eecb4a368, 58, 7426, No update data, 9g3qrrvq4vgq
Bird, MEX, ac344e42-22c9-458b-91af-5a16e20f3faf, 93, 12956, No update data, 9g3qx2z4f821
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 94, 13114, No update data, 9g3qx2z51gqz
Bird, MEX, e2970864-d8f9-42a7-b6ad-f0859090cb97, 85, 12358, No update data, 9g3qx2z5hj51
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 40, 4843, No update data, 9g3qx2z5hgpv
Bird, MEX, b496becf-5ed3-41a3-bbab-125fe37c00bc, 51, 6320, No update data, 9g3qx21wkbxx
Bird, MEX, 042d97be-6aa8-4da3-98b7-7f86d8d804f5, 96, 13430, No update data, 9g3qx21tv2rb
Bird, MEX, 1176d68c-ad80-41dc-a747-4743158244d9, 91, 13360, No update data, 9g3qx2z5pvfw
Bird, MEX, 827c7eb9-317e-4d34-9876-256040f6fe15, 24, 2171, No update data, 9g3qx2z702ev
Bird, MEX, c00895ab-eda6-447c-9345-6f875a519610, 58, 7426, No update data, 9g3qx2z70jvw
Bird, MEX, 1b879865-cbc1-46a5-9045-6cf5022dbc48, 62, 8517, No update data, 9g3qx29471yr
Bird, MEX, 3ececc83-da46-4d8c-a92d-92b86d5ac3c6, 90, 12482, No update data, 9g3qx2z2vk6f
Bird, MEX, ec43d5b6-20ff-4c7e-8e40-42995cd5ec6c, 26, 2505, No update data, 9g3qx21f74q3
Bird, MEX, 5662945c-7d9d-4743-8e54-73bb2e8b2fab, 92, 12798, No update data, 9g3qx21f4vek
Bird, MEX, 60cf4877-69ce-4531-a5a1-e1a27cfc904c, 94, 13114, No update data, 9g3qx21rcvw9
Bird, MEX, 2811d5ea-c155-4f13-bec6-b42b68a7bf57, 52, 6847, No update data, 9g3qx28upmxh
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 90, 13193, No update data, 9g3qx21mr0ez
Bird, MEX, 33d7a366-1b7b-49e5-802a-3c512a04e1d8, 49, 6004, No update data, 9g3qx230x7x5
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 87, 12692, No update data, 9g3qx230rtsn
Bird, MEX, 92768d7a-5f71-4c47-881d-1fc345ae08c5, 70, 9853, No update data, 9g3qx21mnmuq
Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 88, 12859, No update data, 9g3qx230pb43
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 89, 13026, No update data, 9g3qx230quv9
Bird, MEX, 42905f66-31eb-4abf-ac97-6d75634acae5, 60, 8183, No update data, 9g3qx3nqjfk2
Bird, MEX, 573b30db-909a-4fda-a3b5-46c3035c47ac, 89, 13026, No update data, 9g3qx231kxk2
Bird, MEX, 472f52fa-d136-43da-a892-c2433dd06a98, 96, 14195, No update data, 9g3qx21mjtjb
Bird, MEX, 0951f93d-1a81-4ee0-b244-4d1f3ce627fd, 91, 13360, No update data, 9g3qx3k7vmzv
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 88, 12859, No update data, 9g3qx230qp94
Bird, MEX, dca93db5-0aa3-424f-8940-61b08f1ccdb3, 52, 6478, No update data, 9g3qx22yw9f8
Bird, MEX, 97747c01-16ab-4dbe-b611-79a644f69472, 73, 10354, No update data, 9g3qx230ush2
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 87, 12692, No update data, 9g3qx230m8mv
Bird, MEX, 56074173-a851-4b59-a18f-57e8c5188cbb, 90, 13193, No update data, 9g3qx3kkjvh3
Bird, MEX, dc5157af-ece8-4d69-9081-68fee59145b5, 91, 12640, No update data, 9g3qx2317d39
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 88, 12859, No update data, 9g3qx21pvwmz
Bird, MEX, 011534fa-a9ad-42a1-8191-910d20780f12, 72, 10187, No update data, 9g3qrrg8gwpv
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7kmy2
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 91, 13360, No update data, 9g3qx21pesxc
Bird, MEX, 27a4013d-1009-4383-8a5c-2b1a7f2e3eaa, 88, 12859, No update data, 9g3qx2310xbd
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 97, 13588, No update data, 9g3qx2zs3v0e
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3m7ft21
Bird, MEX, f712b988-7bc6-4373-b1d0-346b13a9410d, 58, 7849, No update data, 9g3qx34p45g9
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 93, 12956, No update data, 9g3qx2zs9egw
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 53, 6636, No update data, 9g3qx2xgcywb
Bird, MEX, 93b1af19-87ca-4dd8-bfe9-b8f6a5a83c6e, 81, 11060, No update data, 9g3qx28b0b7g
Bird, MEX, 93c3ece3-907c-44b1-8d1c-55fc05e173cd, 100, 14062, No update data, 9g3qx3m7umq3
Bird, MEX, c431f7a5-da19-4f78-a306-5dd0ee2cefb8, 87, 12008, No update data, 9g3qx3mk59pb
Bird, MEX, 7386ef5e-28ac-4f32-9460-aa69d63f855c, 98, 14529, No update data, 9g3qx3m7vqpy
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 100, 14863, No update data, 9g3qx3m7vqzf
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx22fu2s4
Bird, MEX, dd7bac1f-f2f7-4f9e-b15f-05d5ccce1594, 26, 2505, No update data, 9g3qx36gqks2
Bird, MEX, e047fd2a-760e-4417-bdc3-65aadfe6c5a1, 97, 13588, No update data, 9g3qx3mkj5hw
Bird, MEX, 3a78c7ca-866c-48a3-887b-4c3387f8ade5, 99, 14696, No update data, 9g3qx3mef3cg
Bird, MEX, 3a5802a4-6a79-4a75-95e0-28b9e652f750, 65, 8532, No update data, 9g3qx2xz6f76
Bird, MEX, 36050e49-f3ee-4d7b-be00-b3a166f10c05, 98, 13746, No update data, 9g3qx3ms1460
Bird, MEX, 161d182e-4a5d-4ae5-9ccb-995ade31df52, 58, 7849, No update data, 9g3qx215snep
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 64, 8374, No update data, 9g3qx2zg7pbm
Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 43, 5056, No update data, 9g3qx880gqe8
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 92, 12798, No update data, 9g3qx2zfxkch
Bird, MEX, 1902bc0a-56b1-4f9a-b39b-722aae18ea6f, 74, 9954, No update data, 9g3qx82n702q
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 91, 12640, No update data, 9g3qx880jjkf
Bird, MEX, d21e148b-e7af-4c79-aa85-4f04a8224570, 89, 12324, No update data, 9g3qx2zyh6b5
Bird, MEX, 246a530d-afad-40d1-8123-b2c7d51cd8d3, 19, 1336, No update data, 9g3qx3pm91f3
Bird, MEX, e3eec4f4-06fd-42cc-b66f-b42df111b37a, 84, 12191, No update data, 9g3qx3qbx1u1
Bird, MEX, db5480b9-46aa-4643-82a6-6e447d94f034, 73, 10354, No update data, 9g3qx2zyy1x9
Bird, MEX, 060a1109-f628-480e-a892-7364510575d8, 88, 12859, No update data, 9g3qx20x33tj
Bird, MEX, 3b326966-7c91-4e8c-a3c4-178afb60f57f, 85, 12358, No update data, 9g3qrrssjkpf
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 60, 8183, No update data, 9g3qrrt5bt8c
Bird, MEX, 11fc6572-9393-42a0-92c7-4f99f9c7e1df, 87, 12692, No update data, 9g3qx20dxu4r
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 88, 12859, No update data, 9g3qx20qrmp4
Bird, MEX, 9da4017b-2db7-4c51-9f9e-4f8d16c3b10a, 22, 1837, No update data, 9g3qrrzk8e8g
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 67, 9352, No update data, 9g3qx22psesk
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 88, 12859, No update data, 9g3qx20qnjxk
Bird, MEX, 92768922-a6d6-4b1b-9cee-97eabf658834, 81, 11060, No update data, 9g3qrrt5z9hn
Bird, MEX, 048bd9dc-ee05-4385-9371-5148ac746a4f, 63, 8684, No update data, 9g3qx20qkyxs
Bird, MEX, 0fdab81d-fa7b-47b4-bb49-702ac793dfcb, 57, 7268, No update data, 9g3qx28016jp
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 40, 4843, No update data, 9g3qrrz73zqb
Bird, MEX, 151f8def-6ec3-48b6-80ac-cd765e4a5ee4, 75, 10112, No update data, 9g3qx900q412
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 53, 7014, No update data, 9g3qrrdsq111
Bird, MEX, 0a2ce491-7c55-421c-b1f1-802cbacfabe1, 65, 9018, No update data, 9g3qrrzz06gf
Bird, MEX, 24899234-9dc6-4d23-99d5-99b624eddeb3, 75, 10688, No update data, 9g3qx823q09r
Bird, MEX, ae2ce957-6794-45a2-bbc6-748cebef0186, 63, 8684, No update data, 9g3qrrbxwzmd
Bird, MEX, b750c547-c82f-4fae-a013-50b253171aa6, 83, 12024, No update data, 9g3qx82906gg
Bird, MEX, 6b9360ed-61ae-43de-a695-d031ac37b459, 27, 2672, No update data, 9g3qx20jz4gb
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 88, 12859, No update data, 9g3qx206ng2w
Bird, MEX, 6462565e-916e-4f0e-9b4a-4dc4fe3835ac, 39, 4676, No update data, 9g3qx3d29cnt
Bird, MEX, f002cc82-c048-4779-94f7-58ace08434c8, 99, 14696, No update data, 9g3qx20jv90y
Bird, MEX, a41aa352-87ac-4511-bae9-43a4b438e7a9, 87, 12692, No update data, 9g3qx20jmx8f
Bird, MEX, f617d67b-42ce-489c-96cd-e6b9e89abd4d, 74, 10521, No update data, 9g3qx88ub1ve
Bird, MEX, 6b6e5802-5c48-4fc5-bd29-4a54741206a9, 87, 12692, No update data, 9g3qx20jkuz9
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 91, 13360, No update data, 9g3qrrwy0xrp
Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 90, 13193, No update data, 9g3qrrwy0zkp
Bird, MEX, d83dd7fe-3e00-4fa8-aaf1-7935affe6190, 87, 12692, No update data, 9g3qx20jknxu
Bird, MEX, 32fccdc0-1a92-44b0-b9ea-8ad6f4a0f2cc, 85, 12358, No update data, 9g3qx20jetrz
Bird, MEX, 52bc7059-d61c-4869-891c-fc1d1dcc0871, 81, 11690, No update data, 9g3qx20huu12
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 94, 13114, No update data, 9g3qrrwvcn4m
Bird, MEX, 6d77df3c-6b74-4594-9a28-fcb65c3b72da, 94, 13114, No update data, 9g3qx20j5pnq
Bird, MEX, fe6a4a75-799d-405f-b205-19e2cc7d2458, 97, 14362, No update data, 9g3qx3ehp0sn
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 98, 14529, No update data, 9g3qx3ehn8pd
Bird, MEX, ad80598c-a5ac-46c2-8e3b-5e6684fb7b37, 85, 11692, No update data, 9g3qrr9tzv4r
Bird, MEX, fe2d2b3d-2645-48f7-b0c8-1b757475b26e, 97, 13588, No update data, 9g3qx3ehp4uh
Bird, MEX, 473d4d6d-36fe-4d58-8beb-6e17adfd86cd, 97, 14362, No update data, 9g3qx3ehn134
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 43, 5056, No update data, 9g3qrre0yhzm
Bird, MEX, 5a9928c8-c851-44dc-8758-99fa114a49a1, 61, 7900, No update data, 9g3qrrbrg0w6
Bird, MEX, 084cb774-e6b5-4cd4-8869-1053d4ceeaf8, 74, 10521, No update data, 9g3qx3tsfemj
Bird, MEX, 70c09a11-6d2e-41b9-997e-508e24375b41, 49, 6004, No update data, 9g3qx0zdktkm
Bird, MEX, ab8b7181-1ad6-48c6-b59a-cc847cc7dec8, 61, 8350, No update data, 9g3qx39c9s73
