Bird, MEX, 556afa47-fc76-4a93-863e-8fa1253d6935, 67, 9352, No update data, 9g3qx2geqbju
Bird, MEX, 96770806-a4c7-483d-b7b1-7d23756afd0f, 66, 9185, No update data, 9g3qx2ts9cb8
Bird, MEX, 733f9052-a32c-42d4-a7ae-38ad3a95d349, 57, 7682, No update data, 9g3qx2tt1q22
Bird, MEX, d1e108d5-cf6a-4543-80d4-f2171d5a2f1f, 22, 1837, No update data, 9g3qx2ttbtzh
Bird, MEX, 65823530-8a00-4741-9674-7a98d49654ac, 90, 13193, No update data, 9g3qx2twd21y
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 83, 12024, No update data, 9g3qx2tthmq6
Bird, MEX, c560263c-4fef-43cd-8071-6e9596f36732, 72, 10187, No update data, 9g3qx2guzv62
Bird, MEX, e8db8f59-70ca-45ef-88e2-e4d59b4bcff0, 92, 13527, No update data, 9g3qx2twe4ww
Bird, MEX, 149dd0ac-2f3d-491f-ad55-a4b235ee891c, 67, 8848, No update data, 9g3qx2m77ysu
Bird, MEX, b8f85bba-abd3-4423-84bd-6c616112441e, 56, 7515, No update data, 9g3qx2ttq5c7
Bird, MEX, 48cec365-df7f-4173-aa61-23d247c30320, 24, 2171, No update data, 9g3qx2kbz63n
Bird, MEX, 3e1f505f-454d-4187-915c-749cb9551052, 48, 5846, No update data, 9g3qx2ttw4pd
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 99, 13904, No update data, 9g3qx278s9u2
Bird, MEX, 7eeead15-b3ae-4dfc-8987-03df0fe60872, 64, 8851, No update data, 9g3qx2tsrgpr
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 93, 13694, No update data, 9g3qx2tszg6k
Bird, MEX, fa81d126-c04a-40e3-99cd-e99375d99453, 92, 9558, No update data, 9g3qx2twwjc3
Bird, MEX, 2a1215a9-d580-4b85-9d7a-e316109f7931, 53, 7014, No update data, 9g3qx2kbhssw
Bird, MEX, 5d85c395-a2c3-4e49-9414-4f68f23bfb2e, 92, 13527, No update data, 9g3qx2tuc1f5
Bird, MEX, 403c578c-c64e-420a-91db-370b7fb6b21c, 81, 11690, No update data, 9g3qx26yfh58
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 62, 8517, No update data, 9g3qx2tv45gc
Bird, MEX, 74fac800-ff70-4475-ab6c-b6464be23ac0, 92, 13527, No update data, 9g3qx2ty2fk4
Bird, MEX, 97416225-82ba-4ca0-b7e4-8e1e5a01b91b, 36, 4175, No update data, 9g3qx2tuft84
Bird, MEX, 60e960c2-e3b4-4d4f-983f-59a3c2074e9d, 18, 1169, No update data, 9g3qx2tv9cyb
Bird, MEX, 30daa682-7610-4721-90dc-315bb3f4b5cf, 70, 9853, No update data, 9g3qx26z2e0x
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 58, 7849, No update data, 9g3qx2m0mkpv
Bird, MEX, 326ab3af-15e4-489a-aca2-2678fe848728, 91, 13360, No update data, 9g3qx2tz48vp
Bird, MEX, 0ab648e4-4bf4-4714-8d1d-1ee61e6138f5, 54, 7181, No update data, 9g3qx2hq589t
Bird, MEX, 7b98f27b-f71b-45a3-90e3-9f6303e504cd, 74, 9954, No update data, 9g3qx26ftmfc
Bird, MEX, 88cc563a-b73c-4f6f-8a28-374e68a7f237, 87, 12008, No update data, 9g3qx2uxw9f8
Bird, MEX, d366cbe4-e659-4867-ac04-497b4e24f700, 93, 12956, No update data, 9g3qx2wp20js
Bird, MEX, 35867891-ad77-4cf0-befd-d8e1640d42ad, 92, 13527, No update data, 9g3qx2hhexcw
Bird, MEX, 755f91ca-3e3c-4ef5-b588-a49a06cb9b61, 91, 12640, No update data, 9g3qx2hh75b7
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 52, 6478, No update data, 9g3qx2hhhqq2
Bird, MEX, 8fa447b8-51bd-497f-b59a-9111c5ff6cdb, 96, 13430, No update data, 9g3qx2hhhurs
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 79, 11356, No update data, 9g3qx2hh52em
Bird, MEX, d4084c5a-2e75-4ae7-b2e5-f6023a43e087, 76, 10855, No update data, 9g3qx269zkr4
Bird, MEX, 179070f4-e24c-4b7e-aeeb-9b862ff9f7de, 55, 6952, No update data, 9g3qx269z4gb
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 96, 13430, No update data, 9g3qx25uj74u
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 91, 13360, No update data, 9g3qx2h5c706
Bird, MEX, 40d46851-f632-430f-aaae-e1ac3d2f7d0e, 90, 12482, No update data, 9g3qx358304h
Bird, MEX, 9f1b4fd5-a49e-46c1-815f-94ec9f445bdf, 96, 13430, No update data, 9g3qx2h59yne
Bird, MEX, dfee74d2-661e-44ca-9398-b31b5fffc40d, 96, 13430, No update data, 9g3qx26qk38j
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 91, 13360, No update data, 9g3qx2h59dgx
Bird, MEX, 63b2791f-ec0a-4936-8210-5a7a1862b646, 96, 13430, No update data, 9g3qx2h5qp30
Bird, MEX, 5768e9c4-2ade-45a7-aad7-c81c608861d1, 100, 14863, No update data, 9g3qx2dq4ygk
Bird, MEX, 949ac7e9-2e36-439e-a0e3-f76b8cf9bf10, 90, 12482, No update data, 9g3qx26q58pc
Bird, MEX, 9fab3fe4-26aa-49d3-a36f-163b5b10cd93, 84, 11534, No update data, 9g3qx25jw595
Bird, MEX, 2a2cedb4-0e25-49fd-85f6-cf3896f94415, 82, 11857, No update data, 9g3qx2h55qgk
Bird, MEX, f3ed5b06-a395-43fe-bc44-1920f82ecaa4, 90, 12482, No update data, 9g3qx25gqfvv
Bird, MEX, 7974228b-748e-4ce0-acf0-0c07c4908c14, 92, 13527, No update data, 9g3qx2h555qw
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 63, 8684, No update data, 9g3qx25m050s
Bird, MEX, a3c12a9d-9821-4763-81ca-47a9ac24a47e, 58, 7849, No update data, 9g3qx2y0nutz
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 71, 7080, No update data, 9g3qx2h5488j
Bird, MEX, 9563d372-9550-4d3b-ae34-8e7716e1d5da, 73, 9796, No update data, 9g3qx2jhx4h4
Bird, MEX, d89cc7f4-3788-495d-9319-3c8e34a87023, 26, 2505, No update data, 9g3qx25ecg0d
Bird, MEX, 07ab928b-9892-4dd9-b3cb-d214bacc85c4, 66, 8690, No update data, 9g3qx2jhm9q5
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 96, 13430, No update data, 9g3qx2h4c56h
Bird, MEX, c5286ece-5d2f-46e8-a9c1-8cf32bb9d7eb, 92, 12798, No update data, 9g3qx2dq8kgs
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 94, 13114, No update data, 9g3qx2dnz70f
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 62, 8058, No update data, 9g3qx2qk2vh5
Bird, MEX, f85e2b05-fb47-4d67-88a9-64351c6c59d3, 72, 10187, No update data, 9g3qx25ehb9m
Bird, MEX, 3358d608-0862-4bd2-bb3b-5d5dfeb77a31, 92, 13527, No update data, 9g3qx2wrt4ks
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 66, 9185, No update data, 9g3qx2wrnjxs
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 29, 3006, No update data, 9g3qx2h9ysrd
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 48, 5846, No update data, 9g3qx2j7wku7
Bird, MEX, fa4b83d2-8a35-4e9b-91e4-7fe8f1831641, 96, 13430, No update data, 9g3qx26j5py6
Bird, MEX, 00f9dca2-8d76-4012-b346-6ddc4c0cfa11, 90, 13193, No update data, 9g3qx2wx09zj
Bird, MEX, 94477dd0-27ca-4732-8087-10a703326761, 80, 11523, No update data, 9g3qx2wwc1z5
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 96, 13430, No update data, 9g3qx26j4wm0
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 83, 12024, No update data, 9g3qx2jvv5ks
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 96, 13430, No update data, 9g3qx26h7jn7
Bird, MEX, a1e7bf1a-b339-436d-bcde-474cf079c37e, 94, 13114, No update data, 9g3qx26hdp59
Bird, MEX, 7f4044d5-f365-4c18-babc-90d4a763771f, 49, 6346, No update data, 9g3qx26h9zyx
Bird, MEX, f6b2586a-6453-4c54-b24f-c08eeb1fbed8, 91, 13360, No update data, 9g3qx2yk36m6
Bird, MEX, 9690b2bf-f1ae-4ec7-85b7-40cdf32e19fc, 91, 13360, No update data, 9g3qx2yk64gy
Bird, MEX, f862f0bd-6ca1-4a23-974c-e01457945100, 94, 13114, No update data, 9g3qx2628dnf
Bird, MEX, 43d9c69a-545c-4927-8e97-230367b8c13b, 39, 4676, No update data, 9g3qx2f10zg4
Bird, MEX, e1a0a659-da4b-4179-a762-39837368c442, 61, 8350, No update data, 9g3qx2h259zu
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 89, 12324, No update data, 9g3qx34cemud
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 97, 13588, No update data, 9g3qx24rb52s
Bird, MEX, 341d8c0f-dbdf-49e4-91ad-39323816642c, 76, 10855, No update data, 9g3qx3je1c08
Bird, MEX, c4cc9f40-3465-4c8e-ad7d-9c4576b83dee, 89, 12324, No update data, 9g3qx29u8vgc
Bird, MEX, c4ba7ad0-c91a-4885-a024-2d881a184e71, 89, 12324, No update data, 9g3qrrur6sb0
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 83, 11376, No update data, 9g3qx2519r26
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 96, 13430, No update data, 9g3qx349twy0
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 67, 9352, No update data, 9g3qx2fred3s
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 97, 13588, No update data, 9g3qx342h9k6
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 96, 13430, No update data, 9g3qx342kky1
Bird, MEX, f002e574-1c16-4221-966c-46c3ebbcd75d, 34, 3841, No update data, 9g3qrrgyrhkn
Bird, MEX, e2e785f5-4b4a-4b38-b2f0-bad6aea8cfcc, 40, 4843, No update data, 9g3qrrujfw2p
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 97, 13588, No update data, 9g3qx3429mjq
Bird, MEX, 410548fc-5f80-4290-80f0-2c49630e956c, 87, 12008, No update data, 9g3qx21zp9uj
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 54, 6794, No update data, 9g3qx2xj2uhj
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 79, 10744, No update data, 9g3qx2q8r8km
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 42, 5177, No update data, 9g3qx2xjj5hv
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 34, 3841, No update data, 9g3qx2qcmbep
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 39, 4424, No update data, 9g3qx2x5xeuq
Bird, MEX, 6e6eea1f-a407-4301-b10b-459ac872f4fa, 96, 13430, No update data, 9g3qx2yv7x3c
Bird, MEX, d8fc7b06-a79e-41c7-9d7b-b9197f8e5a32, 35, 4008, No update data, 9g3qx21y8dqu
Bird, MEX, 8549d46d-f8e9-4e53-92db-c687da2e3f20, 28, 2839, No update data, 9g3qx236zj7b
Bird, MEX, a99b7599-eb75-4156-979d-edbfc3518a58, 81, 11690, No update data, 9g3qx236rcfr
Bird, MEX, 635c87c7-4b59-4784-ad91-f89ac79623d3, 38, 4509, No update data, 9g3qx237jfhp
Bird, MEX, 73a4fff0-409d-4b99-8c52-af0f56afab23, 90, 12482, No update data, 9g3qx2z1vq4y
Bird, MEX, 63fdaf61-2b6c-4532-97ca-49fb7c969748, 48, 5846, No update data, 9g3qx2yvyvmb
Bird, MEX, 31d82f3c-5fda-4cba-a039-83f23941f731, 96, 13430, No update data, 9g3qx2yyuqnq
Bird, MEX, dc222d23-7f4b-4202-b2b6-8f5de55a4490, 20, 1503, No update data, 9g3qx2n2dw05
Bird, MEX, 40dc89b0-44d3-4c07-878c-3962e0a4cdab, 56, 7515, No update data, 9g3qx2z5vjsf
Bird, MEX, 36e136c3-c739-484d-b965-6efc76e3896a, 92, 12798, No update data, 9g3qx2z5qumz
Bird, MEX, b6d48655-113a-4fe3-836d-8f1b0f48cc23, 96, 13430, No update data, 9g3qx2znbjvs
Bird, MEX, a4621ae1-cbdd-47d5-9dc4-f33b524134be, 73, 10354, No update data, 9g3qx291d31u
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 92, 13527, No update data, 9g3qx2zhrek2
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 89, 12324, No update data, 9g3qx21t9qtr
Bird, MEX, e9c6ddfa-dd5a-49fd-b66e-3be6ab3d6935, 91, 13360, No update data, 9g3qx2zk0ez1
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 96, 13430, No update data, 9g3qx21t45ky
Bird, MEX, cad27dc1-f7c6-4ecd-9509-e741272581fd, 94, 13114, No update data, 9g3qx21mzr2v
Bird, MEX, 35f9cf14-cdb8-4a9f-a3dd-4d064cc4a4f9, 94, 13114, No update data, 9g3qx21t2j0d
Bird, MEX, 799b81c5-1bcf-474c-8856-a4c08b28d6a4, 40, 4843, No update data, 9g3qx2c5quv9
Bird, MEX, 11076784-bad0-43d9-8cee-bc627650d4e4, 97, 13588, No update data, 9g3qx21t2429
Bird, MEX, 5a96fdf9-b956-44d1-b27a-355002f1f59e, 27, 2672, No update data, 9g3qx2xx8tbc
Bird, MEX, 672d78c2-73cd-484c-b0cf-ca214329bc17, 29, 3006, No update data, 9g3qx2zphc39
Bird, MEX, 4a6b8c91-3f88-4711-b0b8-9090f4415701, 94, 13114, No update data, 9g3qx21mwrk7
Bird, MEX, 672fa0bf-09d0-434f-a0b5-b783655c8f0c, 92, 12798, No update data, 9g3qx28cp2zp
Bird, MEX, e2503d73-25e8-4b93-97ac-f374457a3573, 96, 13430, No update data, 9g3qx2zpegbn
Bird, MEX, de559a16-112f-4af7-bb22-659ba6c581ba, 75, 10688, No update data, 9g3qx2r3hpe0
Bird, MEX, dc8dba17-4285-46c5-8c88-cd9cbe3bbe33, 94, 13861, No update data, 9g3qx231uvr8
Bird, MEX, 2e6d2236-b862-4a13-b251-57860a66e501, 53, 7014, No update data, 9g3qx28cws68
Bird, MEX, d08a39fb-3943-405a-b8e7-592b95df7006, 60, 8183, No update data, 9g3qx2zke35s
Bird, MEX, 9967c7f3-5080-4c77-95fe-adf404dc8135, 31, 3340, No update data, 9g3qx31um3dy
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 84, 12191, No update data, 9g3qx2xx6d02
Bird, MEX, 93ce25a8-fc6b-4753-8dd2-112c3bab58be, 88, 12859, No update data, 9g3qx230yp3j
Bird, MEX, 90124454-41c3-4255-ac81-57eaf83e9575, 80, 11523, No update data, 9g3qx231jmrd
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 35, 4008, No update data, 9g3qx28cn53p
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 79, 10744, No update data, 9g3qrryjwezt
Bird, MEX, d49d5ca8-b2be-49c1-bb76-542d534a6858, 92, 13527, No update data, 9g3qx231s5zv
Bird, MEX, 6ac284f6-46a4-436c-ac42-68ee645278bd, 47, 5688, No update data, 9g3qx2z7q9xw
Bird, MEX, 668b17a0-00b0-4464-97ca-d998273380e0, 63, 8684, No update data, 9g3qx2zpvc5p
