Bird, MEX, e4870efc-ff0c-4791-9980-dcd018a3606b, 67, 9352, No update data, 9g3qx2srj0ux
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 96, 14195, No update data, 9g3qx2eyh72p
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 72, 10187, No update data, 9g3qx27ygnnw
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 94, 13861, No update data, 9g3qx2ey4s8p
Bird, MEX, df3ef9d4-411a-421f-9cf0-75a4a42c9d15, 73, 9796, No update data, 9g3qx27vzv62
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 97, 13588, No update data, 9g3qx2eye1qw
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 93, 13694, No update data, 9g3qx2ed4c73
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 97, 14362, No update data, 9g3qx2eydggq
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 64, 8374, No update data, 9g3qx2khpgf2
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 53, 6636, No update data, 9g3qx2t07epz
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 46, 5530, No update data, 9g3qx2sztjhw
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 92, 13527, No update data, 9g3qx2e37hqr
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 56, 7110, No update data, 9g3qx27qr6r1
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 94, 13114, No update data, 9g3qx2e31uww
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 70, 9853, No update data, 9g3qx2kgcnf1
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 90, 13193, No update data, 9g3qx2e31979
Bird, MEX, 25715a67-ed37-401a-92f1-41d36c81b3ce, 62, 8517, No update data, 9g3qx2e313vm
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 94, 13861, No update data, 9g3qx27mj6zg
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 92, 13527, No update data, 9g3qx27kur8p
Bird, MEX, 1b05b679-49c0-4885-88d4-d5ea29359306, 78, 11189, No update data, 9g3qx2t7wvjv
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 97, 14362, No update data, 9g3qx277xpup
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 78, 10586, No update data, 9g3qx2te2tp5
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 82, 11857, No update data, 9g3qx27kcmm2
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 64, 8851, No update data, 9g3qx27pg58q
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 82, 11857, No update data, 9g3qx27njck1
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 93, 13694, No update data, 9g3qx27k3v8x
Bird, MEX, 1d7c1bd7-3189-4c37-abf3-35c8962c98c4, 65, 8532, No update data, 9g3qx27jqnzq
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 93, 13694, No update data, 9g3qx27p3zwd
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 71, 10020, No update data, 9g3qx27k40gx
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 85, 11692, No update data, 9g3qx27buucq
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 75, 10688, No update data, 9g3qx2guz38c
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 73, 10354, No update data, 9g3qx2m12v5g
Bird, MEX, 39c1a20c-e5f6-4483-a785-cd5fc953a35b, 67, 8848, No update data, 9g3qx278w0c4
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 92, 13527, No update data, 9g3qx2ttpxhn
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 87, 12692, No update data, 9g3qx2ttrb6q
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 93, 13694, No update data, 9g3qx2tg946h
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 94, 13114, No update data, 9g3qx26vn8re
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 67, 9352, No update data, 9g3qx2m0dy57
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2gkjdy5
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 31, 3340, No update data, 9g3qx2g44c73
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 65, 8532, No update data, 9g3qx2tuf90p
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 70, 6962, No update data, 9g3qx2tugdcb
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 98, 13746, No update data, 9g3qx2tveh22
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 94, 13861, No update data, 9g3qx2tycb8e
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 87, 12692, No update data, 9g3qx2md8u5z
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tykn75
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 66, 8690, No update data, 9g3qx25vxqp5
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 51, 4720, No update data, 9g3qx2hj3dee
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 55, 7348, No update data, 9g3qx2hj275z
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 97, 13588, No update data, 9g3qx26sqe4x
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 97, 13588, No update data, 9g3qx26snwfs
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 30, 3173, No update data, 9g3qx26fcfqw
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 56, 7110, No update data, 9g3qx3h2p395
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25v3kmr
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 79, 11356, No update data, 9g3qx2hh7s3x
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 93, 13694, No update data, 9g3qx26dynrr
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 69, 9686, No update data, 9g3qx2h7br7v
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 58, 7849, No update data, 9g3qx2h7c3v6
Bird, MEX, d9b72058-746f-4433-b99f-bcee78997aaf, 94, 13114, No update data, 9g3qx2h5ybvu
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 79, 10744, No update data, 9g3qx25nnppq
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 36, 4175, No update data, 9g3qx2h5xkz5
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 97, 14362, No update data, 9g3qx2h5wsfe
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 97, 14362, No update data, 9g3qx2h7865c
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 67, 9352, No update data, 9g3qx2h5wdre
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 98, 14529, No update data, 9g3qx2h5qxxd
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 98, 14529, No update data, 9g3qx2h5mdw5
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 40, 4843, No update data, 9g3qx25kgykz
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 79, 8024, No update data, 9g3qx2y0jdy5
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 83, 12024, No update data, 9g3qx2fynxpw
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 67, 8848, No update data, 9g3qx26khyzs
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dqb8wg
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 85, 11692, No update data, 9g3qx3529ees
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 97, 14362, No update data, 9g3qx2wqv7dy
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx257hbcr
Bird, MEX, d5c92ecc-10ca-4b2d-9ef0-89657686a51b, 65, 9018, No update data, 9g3qx2dngbsg
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 97, 13588, No update data, 9g3qx2yhkk2p
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24wjvk4
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 52, 6847, No update data, 9g3qx2dp40gx
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 60, 8183, No update data, 9g3qx2jvkr20
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 89, 13026, No update data, 9g3qx265kq8h
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 88, 12859, No update data, 9g3qx265g085
