Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 20, 1503, No update data, 9g3qx2ev0dyg
Bird, MEX, 870f54ed-e778-46f6-9735-7ec81c18e74f, 98, 13746, No update data, 9g3qx2sp5d99
Bird, MEX, a75b5218-a500-4ea5-be40-1ad4a24e5359, 98, 13746, No update data, 9g3qx2sp46cg
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 22, 1837, No update data, 9g3qx2sr2s0v
Bird, MEX, 65832b8a-d336-4275-9019-d03ea93caf35, 97, 14362, No update data, 9g3qx2sp4t8h
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 98, 13746, No update data, 9g3qx2ey3fyt
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 25, 2338, No update data, 9g3qx2km4s2h
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qx2ey0nm8
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx2etyytb
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 61, 7900, No update data, 9g3qx2k5zkr4
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 97, 13588, No update data, 9g3qx2sztuk2
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 97, 13588, No update data, 9g3qx2szvgsq
Bird, MEX, 2f693e5e-f55f-4737-a0cc-21473e9600fc, 94, 13114, No update data, 9g3qx2szyj96
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 92, 12798, No update data, 9g3qx2e3d63u
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 93, 13694, No update data, 9g3qx2e34h7s
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 97, 13588, No update data, 9g3qx2ubmtwp
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 98, 13746, No update data, 9g3qx2ubpm9h
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 93, 12956, No update data, 9g3qx2uc455t
Bird, MEX, b2ad3378-7e48-4dda-8e27-d1209e027d46, 100, 14062, No update data, 9g3qx2ubt7du
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 100, 14863, No update data, 9g3qx2ubtgk6
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 92, 12798, No update data, 9g3qx2ubwefw
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 79, 10744, No update data, 9g3qx2g9gusu
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 65, 8532, No update data, 9g3qx2t7x1u0
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 93, 12956, No update data, 9g3qx2t7pzx2
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 93, 13694, No update data, 9g3qx27m28b8
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 94, 13861, No update data, 9g3qx27jwspx
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 78, 11189, No update data, 9g3qx2te6h5v
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 94, 13861, No update data, 9g3qx2tt7ghz
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 57, 7268, No update data, 9g3qx2ttw8fd
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 89, 12324, No update data, 9g3qx2ttqtpe
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 63, 8216, No update data, 9g3qx2g1ex19
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 75, 10112, No update data, 9g3qx2gvsq8p
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 83, 12024, No update data, 9g3qx2ty08p1
Bird, MEX, 0d6229f3-2709-4009-9926-86d8e2e5b821, 48, 5846, No update data, 9g3qx26gwfty
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 93, 13694, No update data, 9g3qx2v9ytr8
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 75, 10688, No update data, 9g3qx25vtr6g
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 90, 13193, No update data, 9g3qx26f5hwq
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 89, 12324, No update data, 9g3qx26f5483
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 69, 9164, No update data, 9g3qx26f36m3
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 54, 7181, No update data, 9g3qx2wpb6gb
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 80, 10902, No update data, 9g3qx2fuxdsn
Bird, MEX, dbb9b3cf-52e7-4b2f-b45c-f90ae3727662, 84, 11534, No update data, 9g3qx2qj455v
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 75, 10112, No update data, 9g3qx269ypxr
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 93, 13694, No update data, 9g3qx2vgrz63
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 81, 11690, No update data, 9g3qx2y1up7n
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 93, 12956, No update data, 9g3qx2dq8s28
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 45, 5372, No update data, 9g3qx2dqb3e9
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 92, 13527, No update data, 9g3qx2y1rzr3
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26huvck
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 99, 13904, No update data, 9g3qx26hswh7
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26je3hs
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 51, 6320, No update data, 9g3qx26j7rus
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hsryp
Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 90, 13193, No update data, 9g3qx26huje4
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 92, 12798, No update data, 9g3qx26j5ckc
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 97, 14362, No update data, 9g3qx26j5p0n
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26hg7sw
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 30, 3173, No update data, 9g3qx26hkhg1
Bird, MEX, 47b35d14-9abb-48ec-8e6f-5fa456213b68, 31, 3340, No update data, 9g3qx26h7hy3
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 58, 7426, No update data, 9g3qx2627n24
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 84, 12191, No update data, 9g3qx2ykb77v
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 93, 13694, No update data, 9g3qx2ykbnt8
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c4tbp
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 94, 13861, No update data, 9g3qx2ykds20
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 93, 12956, No update data, 9g3qx2620t08
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 97, 13588, No update data, 9g3qx2620htw
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 88, 12166, No update data, 9g3qx34ceksd
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349pssp
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx349rdsh
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx349m3dy
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 89, 12324, No update data, 9g3qx2fr3s5t
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 90, 12482, No update data, 9g3qx2fr9uq8
Bird, MEX, 2ac75dcb-c68b-4ab5-895b-947e8ad9b32a, 100, 14863, No update data, 9g3qx35jkzzt
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 100, 14863, No update data, 9g3qx340nksr
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 58, 7849, No update data, 9g3qx341mfh0
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 82, 11218, No update data, 9g3qx341m0kw
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 98, 14529, No update data, 9g3qx2yvb9bg
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 100, 14863, No update data, 9g3qx2ywy0xe
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 71, 10020, No update data, 9g3qx2yv3yqg
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 91, 13360, No update data, 9g3qx21ycmjr
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 89, 13026, No update data, 9g3qx21y3yqd
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 35, 4008, No update data, 9g3qx21y9k0r
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 93, 13694, No update data, 9g3qx2z4d5eu
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 97, 13588, No update data, 9g3qx23d2jje
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 93, 13694, No update data, 9g3qx2yyd5eu
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 63, 8216, No update data, 9g3qx21xndd9
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 44, 5214, No update data, 9g3qx21xn011
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 96, 13430, No update data, 9g3qx236wx6e
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 98, 13746, No update data, 9g3qx29389yb
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 66, 8690, No update data, 9g3qx34zj66b
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 60, 7742, No update data, 9g3qx236t1kw
