Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 100, 14062, No update data, 9g3qx2zsqxde
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 98, 14529, No update data, 9g3qx21hhzrx
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 98, 14529, No update data, 9g3qx215t34u
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 98, 14529, No update data, 9g3qx215mqzw
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 98, 14529, No update data, 9g3qx215sxh3
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 60, 7742, No update data, 9g3qx2rvwx4c
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 78, 10586, No update data, 9g3qx3msxs3y
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 100, 14863, No update data, 9g3qx2157gug
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 100, 14863, No update data, 9g3qx2zu9dew
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 54, 7181, No update data, 9g3qx3q8pbdq
Bird, MEX, af48628c-766b-4a54-a1c1-aedd536da45c, 49, 6004, No update data, 9g3qx2b9sjfc
Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 49, 6004, No update data, 9g3qx2b23zbm
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 98, 14529, No update data, 9g3qx20sg0q2
Bird, MEX, 42e21946-785d-4d5a-ab00-3714635ea3c6, 52, 6478, No update data, 9g3qx22pm8vb
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 97, 14362, No update data, 9g3qx8bned3u
Bird, MEX, c9cbd949-ebed-4422-b069-6fd3b0b0e28b, 98, 14529, No update data, 9g3qx8bneq5s
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 94, 13861, No update data, 9g3qx8bnkr21
Bird, MEX, 52055cd7-f608-4be5-88c4-316b90b2d0f5, 42, 4898, No update data, 9g3qx22nuwhq
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qx8bnnnck
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 99, 13904, No update data, 9g3qx8bnnrhw
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 99, 14696, No update data, 9g3qx8bnq8z8
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 100, 14062, No update data, 9g3qx20mw414
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 97, 13588, No update data, 9g3qx8bnqvjg
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 100, 14062, No update data, 9g3qx900k6n2
Bird, MEX, f8a84e70-dcc5-4b6a-9233-f5966270e74a, 100, 14863, No update data, 9g3qx20d74bj
Bird, MEX, f391254d-cf93-4afd-bc89-62b88987a365, 93, 13694, No update data, 9g3qx20mg4qq
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 44, 5511, No update data, 9g3qx2bq93v0
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 71, 9480, No update data, 9g3qx3r60d8f
