Bird, MEX, 7e0e4ebd-6cbb-4d5a-a88d-84177c830967, 96, 13430, No update data, 9g3qx2tpbueu
Bird, MEX, 2b677e56-493a-4567-bc7f-1b1428deeb5e, 100, 14062, No update data, 9g3qx2e2b5tw
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 55, 6952, No update data, 9g3qx2t7egkf
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 71, 9480, No update data, 9g3qx27mt6dy
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 98, 13746, No update data, 9g3qx27r2ref
Bird, MEX, 31ed2f3d-6721-4eb0-9e61-30e8f63f90e8, 74, 9954, No update data, 9g3qx27r81js
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 79, 10744, No update data, 9g3qx27kz22c
Bird, MEX, 0a287ef0-1e5f-4ff0-bf11-69f5635a1515, 46, 5845, No update data, 9g3qx27r0pvd
Bird, MEX, 8d6ebf50-d466-4071-a21b-c2db1dd7b41f, 55, 7348, No update data, 9g3qx27q3xed
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 93, 13694, No update data, 9g3qx2t7thk8
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 80, 11523, No update data, 9g3qx2t7vmxf
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 94, 13114, No update data, 9g3qx2t7ypxr
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx27kuq0n
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 92, 13527, No update data, 9g3qx2t7yxxx
Bird, MEX, 08283b09-81c5-460f-b8c4-74e02e86c212, 51, 6680, No update data, 9g3qx27m1uqs
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 67, 8848, No update data, 9g3qx2gdt66u
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 45, 5678, No update data, 9g3qx2t99d5d
Bird, MEX, 355cceba-b6e4-40bc-920b-b1958de1a93b, 62, 8517, No update data, 9g3qx2mxggsy
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 73, 9796, No update data, 9g3qx2k2jfu6
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 49, 6004, No update data, 9g3qx2gegqg6
Bird, MEX, 71b9aa3a-b59d-45e7-add6-18639c63dcce, 65, 8532, No update data, 9g3qx2mxvgsq
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 57, 7268, No update data, 9g3qx275crtr
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 73, 9796, No update data, 9g3qx27h0t8s
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 97, 13588, No update data, 9g3qx26upudq
