Bird, MEX, 10426429-69d2-4ea9-8172-09e286866754, 80, 11523, No update data, 9g3qx2ekdsb5
Bird, MEX, 9a8ebb52-1426-4e00-b5f1-fcf638436054, 94, 13861, No update data, 9g3qx2ek3f29
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 94, 13861, No update data, 9g3qx2e331fp
Bird, MEX, 290e5df7-6d0d-4748-b0fd-7e3dc3d709f0, 17, 1002, No update data, 9g3qx2tq2b0h
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 79, 10744, No update data, 9g3qx2t6us52
Bird, MEX, 1b05b679-49c0-4885-88d4-d5ea29359306, 78, 11189, No update data, 9g3qx2tkhqq2
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 97, 14362, No update data, 9g3qx27kkv3m
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 88, 12166, No update data, 9g3qx27m1t7d
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 94, 13861, No update data, 9g3qx27ke6sw
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 74, 10521, No update data, 9g3qx2k9zup2
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 98, 14529, No update data, 9g3qx277v66y
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 83, 12024, No update data, 9g3qx27k6s0j
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 97, 13588, No update data, 9g3qx277gs3d
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 65, 9018, No update data, 9g3qx27pc30r
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 72, 10187, No update data, 9g3qx277f9jn
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 93, 13694, No update data, 9g3qx277cvwd
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 76, 10855, No update data, 9g3qx2uhskyk
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 94, 13861, No update data, 9g3qx2dbqumz
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 84, 12191, No update data, 9g3qx26zz5ey
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 99, 13904, No update data, 9g3qx2twhurt
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 69, 9686, No update data, 9g3qx2kbydf8
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 93, 13694, No update data, 9g3qx2twhyr8
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 71, 7080, No update data, 9g3qx2ttqsrx
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 43, 5056, No update data, 9g3qx2g7k20h
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 29, 3006, No update data, 9g3qx2ttw8zd
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 29, 3006, No update data, 9g3qx2ttrqcp
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 52, 6847, No update data, 9g3qx2ttrzfk
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 89, 13026, No update data, 9g3qx2ttzyx2
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 85, 11692, No update data, 9g3qx278j2dv
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 39, 4676, No update data, 9g3qx2tv3s5t
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 31, 3340, No update data, 9g3qx2g4k4gn
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 66, 8690, No update data, 9g3qx2tv3u2x
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tu7fsg
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 88, 12859, No update data, 9g3qx2me1gb8
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 96, 14195, No update data, 9g3qx2tvfzer
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 94, 13861, No update data, 9g3qx2tvh2yr
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25yt8y4
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 94, 13861, No update data, 9g3qx2tvu0e5
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 98, 13746, No update data, 9g3qx26v1g0m
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 96, 13430, No update data, 9g3qx26ucjfh
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 31, 3340, No update data, 9g3qx26xs5eh
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 56, 7110, No update data, 9g3qx2ux3e78
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 94, 13861, No update data, 9g3qx2vbg1b7
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx25tzb62
