Bird, MEX, 5f2aa98d-4826-4592-8133-c851aae61e6b, 55, 7348, No update data, 9g3qx2zz5j8m
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20wnv8s
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 69, 9164, No update data, 9g3qx2p91cqc
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 37, 4342, No update data, 9g3qx2b295dh
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 48, 5846, No update data, 9g3qx2b2c061
Bird, MEX, c57045fd-eea9-4e7b-a8c8-f672c0c7c9d9, 60, 7742, No update data, 9g3qx33uzn5z
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 64, 8851, No update data, 9g3qrrdtnuty
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 80, 11523, No update data, 9g3qx28010fp
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 52, 6847, No update data, 9g3qrrz7gg8j
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 52, 6847, No update data, 9g3qrrzzfdv0
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 46, 5530, No update data, 9g3qx3tbvkdv
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrred0b7f
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 71, 10020, No update data, 9g3qrrzz7d3c
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre9bw2z
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 80, 10902, No update data, 9g3qx3023mj5
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 83, 11376, No update data, 9g3qx3029wg2
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 46, 5530, No update data, 9g3qrrc4y4rq
Bird, MEX, fc23dcdf-8930-4379-9a34-edfc4d785eb3, 78, 11189, No update data, 9g3qx3d2997x
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 25, 2338, No update data, 9g3qrrbv9n6h
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 85, 12358, No update data, 9g3qrre3ru4k
Bird, MEX, 5b5e1827-50ba-4c7a-b925-00f5ec0d0744, 61, 8350, No update data, 9g3qrrzu9xgw
Bird, MEX, 66ac3035-10e8-4175-9fe8-87b7742e296e, 66, 9185, No update data, 9g3qrrc1kbrt
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 89, 13026, No update data, 9g3qx3ehnxx9
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 88, 12859, No update data, 9g3qx3ehr0u1
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 42, 5177, No update data, 9g3qx205kmwn
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 45, 5372, No update data, 9g3qrre0wku6
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 43, 5344, No update data, 9g3qrr9v1j61
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 78, 11189, No update data, 9g3qrr9tqu2y
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 67, 8848, No update data, 9g3qrr9ev8mb
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 83, 11376, No update data, 9g3qrrkmv1kx
Bird, MEX, e8e476fe-49de-48ca-b318-602fdacb270e, 52, 6478, No update data, 9g3qx390nutx
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 78, 10586, No update data, 9g3qx3u2kh5n
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 79, 10744, No update data, 9g3qrr7uc7j3
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 43, 5344, No update data, 9g3qrr97m3fy
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 56, 7515, No update data, 9g3qrr7u8syf
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 81, 11690, No update data, 9g3qx3epcb8s
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 71, 10020, No update data, 9g3qx92hhvcx
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 71, 9480, No update data, 9g3qrrkupb42
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 25, 2338, No update data, 9g3qrxb0t6fz
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 69, 9164, No update data, 9g3qx0rnenn7
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 85, 11692, No update data, 9g3qrxb0xk91
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 67, 9352, No update data, 9g3qrxb0q9xt
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 84, 12191, No update data, 9g3qx92jn016
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 92, 12798, No update data, 9g3qrxb0q8pe
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr98dnhf
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 98, 14529, No update data, 9g3qrr98df77
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr98b7gx
Bird, MEX, c5fb4b9d-0cf3-4dd5-9a29-44dfff0a12e7, 58, 7426, No update data, 9g3qx833hv3d
Bird, MEX, 87a3c59f-ad2b-437b-866b-02d34b28c68a, 60, 7742, No update data, 9g3qx89x8ntz
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 85, 12358, No update data, 9g3qrx8ptkdc
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 82, 11857, No update data, 9g3qx832zurd
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 61, 8350, No update data, 9g3qrr3y2b5g
Bird, MEX, 74f538cc-176f-45bb-baf4-4562a9ee9a66, 91, 13360, No update data, 9g3qx3g5jbh5
Bird, MEX, 0ad7bfc9-eab6-45db-8702-bfb9c4cbead6, 48, 5846, No update data, 9g3qrpztbkgt
Bird, MEX, ead8075d-4d61-4033-97fd-63f66016eea3, 73, 10354, No update data, 9g3qrrrngfkv
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 79, 11356, No update data, 9g3qx81wf9t2
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 47, 6012, No update data, 9g3qx0qubum4
Bird, MEX, e3373e0b-31f8-433f-b042-36365542557a, 45, 5372, No update data, 9g3qx0qubx2t
Bird, MEX, e6a03979-4e38-456b-94a6-81a52cf78b84, 88, 12166, No update data, 9g3qx0p0tq4e
Bird, MEX, 8a353b43-cbc2-4ddc-b909-80443ed1bced, 73, 9796, No update data, 9g3qx92gecmp
Bird, MEX, 7802a6aa-4737-4323-b62a-a2dfceffc097, 33, 3674, No update data, 9g3qx3fe79pg
Bird, MEX, 6488434d-7087-4a68-ab67-e44ab3507857, 72, 10187, No update data, 9g3qrrqe17jk
Bird, MEX, 8b60fa4a-6f3b-45ea-bbb6-52aee5a4d3d2, 74, 9954, No update data, 9g3qx89vpk9p
Bird, MEX, 0b4d2eaf-0de9-45b8-a36a-043a227d1c6b, 73, 10354, No update data, 9g3qrr8k0p0m
Bird, MEX, 7899d631-2406-4e8f-a750-1257ffd1ba80, 43, 5056, No update data, 9g3qrr61b1mx
Bird, MEX, 1162db80-7d70-4243-bcf3-936959a000e1, 81, 11690, No update data, 9g3qrr5qwh1n
Bird, MEX, 87a6dffc-da71-443b-ba76-8ed11469aac2, 83, 11376, No update data, 9g3qx0nc7dct
Bird, MEX, a1f4a197-5998-4af9-a763-b027e42ad8af, 35, 4008, No update data, 9g3qrr5w2jj9
Bird, MEX, 0e1a4c5b-f39b-4be0-a51d-98f9dd914271, 62, 8058, No update data, 9g3qrrqfnxpt
Bird, MEX, 739853a3-1612-40e7-97c5-da195f02078e, 26, 2505, No update data, 9g3qx860k057
Bird, MEX, 0dd5f0ca-cd5b-4d6e-b414-bd898861243e, 56, 7515, No update data, 9g3qx860hqq2
Bird, MEX, 0f4f09c8-05c3-476d-92d2-7953abfe233e, 26, 2505, No update data, 9g3qx0nqxqrj
Bird, MEX, 697b1faa-17c7-4da9-9222-feaa21fb4dcd, 63, 8684, No update data, 9g3qrr4vtzh0
Bird, MEX, 3f5980b9-d12d-41bd-a02b-eae9a98d8934, 48, 5846, No update data, 9g3qrr5unxrw
Bird, MEX, 2d4dabc9-7ec8-48e7-a582-2d08fa4f500a, 35, 4008, No update data, 9g3qrr2qfugj
Bird, MEX, 2a2be72f-d59d-4030-8026-8281fe90858b, 84, 11534, No update data, 9g3qrrnqt9n5
Bird, MEX, 2ed0af24-de00-4390-88a1-12879d76aa94, 61, 7900, No update data, 9g3qrr4t6v77
Bird, MEX, d1716045-ef5a-42bd-a380-e9c5342668db, 85, 12358, No update data, 9g3qrr4ufq3y
Bird, MEX, ad3e91e4-a7c1-44cb-b366-1b1f2b963aad, 79, 10744, No update data, 9g3qx6531cqe
Bird, MEX, 5dccba45-d357-445f-8270-14a08dd12579, 52, 6847, No update data, 9g3qrr4sv4sx
Bird, MEX, 88211031-e918-403c-81c0-884863493478, 84, 11534, No update data, 9g3qx3zbzkr7
Bird, MEX, 2faac649-601d-4c39-920e-104d7e94064a, 34, 3841, No update data, 9g3qrx2rpts7
Bird, MEX, fffbe0bd-9d69-4c53-bad9-03e8483355f9, 30, 3173, No update data, 9g3qrx2x0jte
Bird, MEX, 27076285-d75d-419f-8056-c73bf1137a85, 37, 4342, No update data, 9g3qrx2x3b0e
Bird, MEX, bfbea33c-63bd-45a2-96be-89b7736365c9, 49, 6004, No update data, 9g3qx86d2bkj
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 100, 14863, No update data, 9g3qx93bus77
Bird, MEX, e9a8e2ca-2f89-49b5-9b53-55b59efa42d3, 29, 3006, No update data, 9g3qx8dxhher
Bird, MEX, 3796c596-2fbf-4c30-8924-e8f3e4f4cfb5, 54, 7181, No update data, 9g3qrr4jp3bu
Bird, MEX, bec3c38b-28fe-49a5-90bf-39220c96ac03, 78, 10586, No update data, 9g3qrx2zg5br
Bird, MEX, a76563c5-d3cc-4288-9a78-d2aaa2ff3a90, 49, 6346, No update data, 9g3qx8dwzmr2
