Bird, MEX, 6acfcd04-c3fe-4ed2-b0ed-95c0a31012e3, 37, 4342, No update data, 9g3qx2kjs0g4
Bird, MEX, 58fc3ef5-e8fe-446d-85bb-f335c7a3f6cb, 42, 5177, No update data, 9g3qx2sxn53r
Bird, MEX, f9c01228-c82c-4089-8cb8-59e15d12406d, 38, 4509, No update data, 9g3qx2kj62cb
Bird, MEX, 6721938c-484b-4324-9701-02c790c92917, 96, 13430, No update data, 9g3qx2szntp9
Bird, MEX, d329a88f-7fb3-4252-8abd-55be08016c64, 87, 12692, No update data, 9g3qx2szmxw5
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 48, 5846, No update data, 9g3qx27wbpmt
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 90, 13193, No update data, 9g3qx2tn6w8j
Bird, MEX, 572d06a9-c198-4807-9f4b-179314d10171, 74, 10521, No update data, 9g3qx2szruf3
Bird, MEX, 3b129dc4-b82a-4ac4-bec6-72d5f4ab70e1, 98, 13746, No update data, 9g3qx2tp24te
Bird, MEX, d54b8a48-488d-492a-883a-ea124d0566b6, 96, 14195, No update data, 9g3qx2e35py6
Bird, MEX, f18a291f-0f75-49a3-9d16-30439a11edbc, 97, 14362, No update data, 9g3qx2e39z2e
Bird, MEX, 9cbb5bc6-435e-475e-ae6b-c3c28a3fa722, 94, 13114, No update data, 9g3qx2szzcz7
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 48, 6179, No update data, 9g3qx2kez9hn
Bird, MEX, 18c80676-0e55-4f67-ba7d-2400ab892dc5, 98, 14529, No update data, 9g3qx2e1zbd7
Bird, MEX, 766af09d-0893-4ce4-ac57-78139ce55eb8, 79, 11356, No update data, 9g3qx27q3b0s
Bird, MEX, 0230e97b-54d5-4cdf-a288-324a990b8d20, 66, 9185, No update data, 9g3qx2tkn8dt
Bird, MEX, 4b849ab7-dcbe-49b7-912f-0ecc2f545e5e, 88, 12859, No update data, 9g3qx2tknx4w
Bird, MEX, 6fab81fa-7758-43d1-8849-024e000ce7b0, 43, 5344, No update data, 9g3qx27nqv82
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 81, 11060, No update data, 9g3qx2ehgscw
Bird, MEX, de6f0037-2ee9-477f-8e3e-3ddf068e840b, 96, 13430, No update data, 9g3qx27k4k3u
Bird, MEX, c89b0474-686a-4d23-8ffb-e0f7cfec0968, 38, 4509, No update data, 9g3qx2uh32mq
Bird, MEX, 6a9c3873-d83f-467c-9595-6dab9991bea4, 73, 10354, No update data, 9g3qx2dgywfd
Bird, MEX, 93865d95-4b1a-469d-a0e7-0e0c23b99b8e, 38, 4509, No update data, 9g3qx2ttguuy
Bird, MEX, 28487f37-7090-4914-9136-41c92b138b19, 93, 12956, No update data, 9g3qx2mxuyx8
Bird, MEX, cfbe7797-cfeb-41a5-83e3-4ed03a63e20a, 22, 1837, No update data, 9g3qx2ttudg2
Bird, MEX, af2cd5f5-9bfb-4b99-8184-ac821b51dea8, 61, 8350, No update data, 9g3qx2twk474
Bird, MEX, ba056281-f852-4721-ba21-231dd8965e18, 58, 7849, No update data, 9g3qx2gvncvv
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 100, 14863, No update data, 9g3qx278uf9k
Bird, MEX, 8c460f9f-332d-4d54-83ff-ae9034f42d17, 54, 7181, No update data, 9g3qx2hrxfzr
Bird, MEX, a41e2857-bc4b-4e5a-9d4c-44a612a81e88, 63, 8684, No update data, 9g3qx2m09j6p
Bird, MEX, 07ec2823-aa02-49ba-874f-3487031bbcd4, 39, 4676, No update data, 9g3qx2tv9bny
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 61, 7900, No update data, 9g3qx2g46d00
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 48, 5846, No update data, 9g3qx2ux837y
Bird, MEX, 435a3487-2b15-47a7-af99-0e1b2beaf0bf, 66, 9185, No update data, 9g3qx2gqq4zq
Bird, MEX, d696029f-bce1-4093-8a16-7fbb6385ff4b, 29, 3006, No update data, 9g3qx2muv0us
Bird, MEX, f07cf11e-c726-4fd6-882a-efa800f70f49, 90, 13193, No update data, 9g3qx25vn6s2
Bird, MEX, 2ef86701-c6d7-4478-873f-2d29edb27a19, 57, 7268, No update data, 9g3qx26sg998
Bird, MEX, bb45a68c-81d8-47be-bfb5-6a8b90391ac6, 71, 10020, No update data, 9g3qx26s7ykf
Bird, MEX, beb11073-2e8d-421a-a698-3b397ce2d2ce, 60, 7742, No update data, 9g3qx2hhmr6b
Bird, MEX, 36772887-ac63-4730-b6d1-018a7f93f4d9, 80, 10902, No update data, 9g3qx26mzmx4
Bird, MEX, 61c2d35f-2a8a-4256-876f-bcc1eecf0406, 78, 11189, No update data, 9g3qx2greecw
Bird, MEX, d5d7be61-3ec5-4ec4-8cb2-7dbae9e38bbf, 75, 10688, No update data, 9g3qx352j7zc
Bird, MEX, dc377e81-729b-45ae-8dd0-f7c6afc1c3c4, 39, 4676, No update data, 9g3qx269gdc8
Bird, MEX, d19033b9-cbc5-4ce4-aa3c-5e1552a5a272, 73, 9796, No update data, 9g3qx2wq2qgz
Bird, MEX, e4f06aa1-582e-4108-b86f-b87d2ae15d97, 70, 9853, No update data, 9g3qx2y0q2kq
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 62, 8517, No update data, 9g3qx2fyxwsp
Bird, MEX, 62c803ed-56c6-4d47-80e8-a7a8a215f461, 91, 13360, No update data, 9g3qx2dnrxs5
Bird, MEX, 37f56d4e-94e4-496b-aa4d-c47ae0a59888, 60, 8183, No update data, 9g3qx2685zsb
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 44, 5214, No update data, 9g3qx25k0j8s
Bird, MEX, 42e86e16-2c91-4158-9126-a814ef1f6881, 49, 6346, No update data, 9g3qx26850q7
Bird, MEX, 1aaaf796-2869-438e-89ca-348a3ae0c74d, 34, 3841, No update data, 9g3qx26hqvmv
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 66, 8690, No update data, 9g3qx25h781e
Bird, MEX, b347d60b-82ed-4762-8e03-c991091c7fff, 74, 10521, No update data, 9g3qx26hvchn
Bird, MEX, 003d3e44-0109-48bc-9dc3-0d929e16dabf, 62, 8517, No update data, 9g3qx26hv8mc
Bird, MEX, cdb16cc7-4139-428c-b858-4856d5f0b84f, 30, 2242, No update data, 9g3qx2ft3440
Bird, MEX, 3384db6e-31b3-44ff-8878-c06cb1d55930, 87, 12692, No update data, 9g3qx26hu5en
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 92, 12798, No update data, 9g3qx26hs32n
