Bird, MEX, 33fa9623-81ec-4853-b4f1-b3d6c50058c8, 46, 5845, No update data, 9g3qx2jk1h6h
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 40, 4843, No update data, 9g3qx2j7bq7z
Bird, MEX, 78209f58-6a8f-4a26-a3b0-d66ab1420a36, 99, 14696, No update data, 9g3qx2wrff5m
Bird, MEX, 8d02ee07-12a9-488e-884a-02de0e3197ec, 48, 5846, No update data, 9g3qx263rq2f
Bird, MEX, aee57e1f-9b33-4fc8-827f-2e6cb5da3a06, 78, 10586, No update data, 9g3qx29vz6z0
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 53, 6636, No update data, 9g3qx262880w
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 85, 11692, No update data, 9g3qx26223et
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 98, 13746, No update data, 9g3qx34c2w8t
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 98, 13746, No update data, 9g3qx34c2q7g
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 97, 13588, No update data, 9g3qx34c2qgz
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 98, 13746, No update data, 9g3qx34c812x
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 79, 10744, No update data, 9g3qx29v93v2
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 82, 11218, No update data, 9g3qx34f1fb7
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 90, 12482, No update data, 9g3qx24psuze
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx23bwyjg
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 100, 14863, No update data, 9g3qx23by2s6
Bird, MEX, 21f9dd2e-2d7f-498d-9da7-673253054ded, 100, 14062, No update data, 9g3qx23bkzzs
Bird, MEX, 4874b0fd-ada6-49c8-a6d7-6365231a4cce, 100, 14863, No update data, 9g3qx21yy43n
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 88, 12166, No update data, 9g3qx341qbvb
