Bird, MEX, 3f103ee2-6b90-4eb6-b875-72871b33ca22, 87, 12008, No update data, 9g3qx277tqrv
Bird, MEX, 0d6229f3-2709-4009-9926-86d8e2e5b821, 48, 5846, No update data, 9g3qx27j3tex
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 74, 10521, No update data, 9g3qx2ttkvpe
Bird, MEX, 8a5681f4-cc1b-4035-a9bf-6b7c53419038, 84, 11534, No update data, 9g3qx2g6gs1b
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 73, 9796, No update data, 9g3qx2uj7ece
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 54, 6794, No update data, 9g3qx2tu9gbw
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 61, 7900, No update data, 9g3qx2g1fgeq
Bird, MEX, bbacda4c-b831-4127-b3b6-efa96ac68a6e, 64, 8851, No update data, 9g3qx2vc0bup
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 62, 8058, No update data, 9g3qx2hyx7cj
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 66, 8690, No update data, 9g3qx26f6c77
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 71, 10020, No update data, 9g3qx25vj9yj
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 67, 9352, No update data, 9g3qx2gh916n
Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 92, 12798, No update data, 9g3qx2hhenne
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 76, 10270, No update data, 9g3qx2gh2p8e
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 60, 7742, No update data, 9g3qx2hh8q5g
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 78, 10586, No update data, 9g3qx2fujyk0
Bird, MEX, dbb9b3cf-52e7-4b2f-b45c-f90ae3727662, 82, 11218, No update data, 9g3qx2qjd15u
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 89, 13026, No update data, 9g3qx2wprmxr
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 91, 12640, No update data, 9g3qx2dq3k0m
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 44, 5214, No update data, 9g3qx2dq96j6
Bird, MEX, 10daae24-dd33-4d3d-8473-8dcfe850040a, 27, 2672, No update data, 9g3qx26jnksq
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 99, 13904, No update data, 9g3qx26jm7fg
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 96, 13430, No update data, 9g3qx26jjmdu
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26jktkm
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 89, 12324, No update data, 9g3qx26hv66y
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hv34y
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 99, 13904, No update data, 9g3qx26jhmwh
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 49, 6004, No update data, 9g3qx26hths9
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 56, 7110, No update data, 9g3qx24x95d5
Bird, MEX, 7bd770db-68ee-4409-b445-65fa1d04e4df, 51, 6320, No update data, 9g3qx2y5rfxk
