Bird, MEX, cc62ef2f-e3b8-447f-bb06-c68a77a7b658, 99, 13904, No update data, 9g3qx2evz22c
Bird, MEX, d9cea50f-4912-47c9-89f0-48718c7de449, 98, 13746, No update data, 9g3qx2evwx6e
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 100, 14863, No update data, 9g3qx2sn0d0z
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 94, 13861, No update data, 9g3qx2eyp7pj
Bird, MEX, 5d1de4ea-eae3-41f0-a209-14bb63d0c4f5, 91, 13360, No update data, 9g3qx2sn2h0t
Bird, MEX, bb70570a-f1c0-4690-b470-db4547318a38, 96, 14195, No update data, 9g3qx2eynhrm
Bird, MEX, d329a88f-7fb3-4252-8abd-55be08016c64, 91, 13360, No update data, 9g3qx2swewrv
Bird, MEX, b55458eb-87bb-44bd-9d2b-2b7d14aa06ff, 91, 13360, No update data, 9g3qx2eytsyh
Bird, MEX, d27b149f-4a08-4213-94c7-63f72077016c, 55, 7348, No update data, 9g3qx2spukwk
Bird, MEX, 13895622-1b6a-44d9-9060-a2e6edadecde, 53, 7014, No update data, 9g3qx2ktt5ss
Bird, MEX, da6cc45b-4881-4d64-8701-ae829d9ab171, 67, 9352, No update data, 9g3qx2u01bnd
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 96, 14195, No update data, 9g3qx2szj2dv
Bird, MEX, 683b932a-0d00-4706-a621-ea4bfa7b5a62, 96, 14195, No update data, 9g3qx2szcgnf
Bird, MEX, 9cbb5bc6-435e-475e-ae6b-c3c28a3fa722, 97, 13588, No update data, 9g3qx2szn8fx
Bird, MEX, 572d06a9-c198-4807-9f4b-179314d10171, 82, 11857, No update data, 9g3qx2szuesw
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 96, 14195, No update data, 9g3qx2szv74f
Bird, MEX, d7344496-c5ab-4eb8-970c-a698a2e981a4, 91, 13360, No update data, 9g3qx2e35jq6
Bird, MEX, 6721938c-484b-4324-9701-02c790c92917, 99, 13904, No update data, 9g3qx2ub7cku
Bird, MEX, 3b129dc4-b82a-4ac4-bec6-72d5f4ab70e1, 100, 14062, No update data, 9g3qx2ubj4ue
Bird, MEX, 8d798531-3b24-487d-887a-dd33c5d49575, 87, 12008, No update data, 9g3qx2kuuvzs
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 53, 7014, No update data, 9g3qx2kee0yd
Bird, MEX, 80e3f1ae-a5fd-4965-95da-36ab61ba45f9, 96, 14195, No update data, 9g3qx2ube9ry
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 49, 6004, No update data, 9g3qx27qu380
Bird, MEX, 54b6d911-2950-4ddd-9798-ee2c0305269e, 87, 12008, No update data, 9g3qx2trckm6
