Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 99, 14696, No update data, 9g3qx2hkntds
Bird, MEX, dfa95489-d2c7-4dfc-b38e-bf6560efa249, 99, 14696, No update data, 9g3qx2wpfwb4
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 97, 14362, No update data, 9g3qx2h5umnr
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 100, 14863, No update data, 9g3qx2h5g506
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 97, 14362, No update data, 9g3qx2h5cgww
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 79, 10744, No update data, 9g3qx2h5ths9
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 99, 14696, No update data, 9g3qx2h5t6rg
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 100, 14062, No update data, 9g3qx2wpuz3w
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 54, 6794, No update data, 9g3qx2h57qek
Bird, MEX, 8d02ee07-12a9-488e-884a-02de0e3197ec, 48, 5846, No update data, 9g3qx26e825w
Bird, MEX, 33fa9623-81ec-4853-b4f1-b3d6c50058c8, 46, 5845, No update data, 9g3qx2jhy4z2
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 94, 13861, No update data, 9g3qx2y0t3zb
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 100, 14863, No update data, 9g3qx2y0q0c2
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 99, 14696, No update data, 9g3qx2y0vcs3
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx2wr97mv
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 79, 11356, No update data, 9g3qx2y290pn
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 39, 4676, No update data, 9g3qx2jk5wcs
Bird, MEX, 7bd770db-68ee-4409-b445-65fa1d04e4df, 48, 5846, No update data, 9g3qx2y4wrsm
Bird, MEX, ba43ac1d-65cd-439d-96c6-13f7cfce677b, 100, 14863, No update data, 9g3qx2wrgvsf
Bird, MEX, aee57e1f-9b33-4fc8-827f-2e6cb5da3a06, 76, 10270, No update data, 9g3qx2djetpv
Bird, MEX, 78209f58-6a8f-4a26-a3b0-d66ab1420a36, 98, 14529, No update data, 9g3qx2wrubrc
Bird, MEX, 69a55863-30b4-4862-802d-1a0b195bfa0d, 99, 14696, No update data, 9g3qx2wrv1ue
Bird, MEX, 46daf5a8-0a70-4a6f-ae79-23b44704bc00, 98, 14529, No update data, 9g3qx2wrw4xw
Bird, MEX, 63a0667b-d991-4556-a860-1c59fde65c46, 99, 14696, No update data, 9g3qx2wrw9rw
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 52, 6478, No update data, 9g3qx26356ue
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 85, 11692, No update data, 9g3qx262s5e5
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 89, 12324, No update data, 9g3qx262ej2p
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 96, 13430, No update data, 9g3qx349pg4m
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 97, 13588, No update data, 9g3qx349pekp
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 97, 13588, No update data, 9g3qx349pyfm
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 97, 13588, No update data, 9g3qx349rbf2
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 81, 11060, No update data, 9g3qx34cf15x
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 79, 10744, No update data, 9g3qx29tx47u
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 100, 14863, No update data, 9g3qx24pf0ed
Bird, MEX, 21f9dd2e-2d7f-498d-9da7-673253054ded, 100, 14062, No update data, 9g3qx26029bx
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx2600jj8
Bird, MEX, 4874b0fd-ada6-49c8-a6d7-6365231a4cce, 100, 14863, No update data, 9g3qx24n9y07
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 76, 10270, No update data, 9g3qx341nybv
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 47, 6012, No update data, 9g3qx341q5ch
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 87, 12008, No update data, 9g3qx341kbc2
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 24, 2171, No update data, 9g3qx21yc5dn
Bird, MEX, bcdaca3f-ff56-4f84-b21a-033f72230a6b, 100, 14062, No update data, 9g3qx23q9n6j
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 100, 14062, No update data, 9g3qx23ppssn
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 61, 7900, No update data, 9g3qx34z431b
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 88, 12166, No update data, 9g3qx23nxwh5
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 100, 14062, No update data, 9g3qx23pqzbu
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 79, 11356, No update data, 9g3qx3kd4dbh
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 48, 6179, No update data, 9g3qx2c6fej5
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 100, 14062, No update data, 9g3qx23puqnn
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 100, 14062, No update data, 9g3qx290kp70
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 100, 14062, No update data, 9g3qx2913623
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 72, 10187, No update data, 9g3qx2r3enwx
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 89, 12324, No update data, 9g3qx29122g8
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 83, 12024, No update data, 9g3qx231qp30
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 97, 14362, No update data, 9g3qx231v26c
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 78, 10586, No update data, 9g3qx231n7hk
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 100, 14863, No update data, 9g3qx231mghp
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 100, 14062, No update data, 9g3qx231ubzs
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 100, 14062, No update data, 9g3qx231t5se
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 99, 14696, No update data, 9g3qx21r1cq9
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 30, 3173, No update data, 9g3qx3nsfwv4
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 90, 12482, No update data, 9g3qx231sy5e
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 99, 14696, No update data, 9g3qx2345buz
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 100, 14062, No update data, 9g3qx231u0xf
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 98, 14529, No update data, 9g3qx231ku3r
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 89, 12324, No update data, 9g3qx231k55p
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 89, 12324, No update data, 9g3qx3kk7426
