Bird, MEX, 0f5bfa54-c060-4b52-bc90-191810ef2a68, 82, 11218, No update data, 9g3qrq208q59
Bird, MEX, 0accf128-7749-470a-aaf2-1983a7f5a704, 81, 11060, No update data, 9g3qrq0nxn7g
Bird, MEX, 228178f6-8216-4a1b-a258-423e49e655ee, 76, 10270, No update data, 9g3qrnqgy5zq
Bird, MEX, 1e3f0f90-b608-4121-aac2-ada709eced85, 80, 11523, No update data, 9g3qrq0kwqur
Bird, MEX, 65553a01-93f2-4d7c-b206-5a3b9666bf36, 72, 9638, No update data, 9g3qrq0q7wzu
Bird, MEX, da40ebf7-651f-46d7-b32d-c9d64213c45b, 85, 11692, No update data, 9g3qrmb41r2m
Bird, MEX, b012a05c-a8bc-4350-9c06-9acf4384017f, 94, 13114, No update data, 9g3qrjzck44z
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 63, 8216, No update data, 9g3qrnjyhuxk
Bird, MEX, 1ffe977b-1b72-4785-a2f6-106be68cb5ca, 97, 13588, No update data, 9g3qrjwzyytx
Bird, MEX, 93c665e5-a515-4181-9897-1427628208cf, 100, 14062, No update data, 9g3qrjwzzsu5
Bird, MEX, c65db4cc-5502-4bde-a18e-dab1f384ba9e, 100, 14062, No update data, 9g3qrjwzz7r1
Bird, MEX, 93e1e11b-e96c-4f43-a411-a42b7a9b2f59, 98, 14529, No update data, 9g3qrjxpb0b6
Bird, MEX, 51701e63-6aaa-475b-9a18-1f3872d0b9ed, 97, 13588, No update data, 9g3qrjwzz2bf
Bird, MEX, 786652f0-a111-4e2b-a8fb-a6d46de346f5, 39, 4676, No update data, 9g3qrjxr250k
Bird, MEX, 5169d15d-aa04-4e5b-ba17-82fcaa05b522, 49, 6004, No update data, 9g3qrjxnv4ur
Bird, MEX, 38f778f1-6891-4e94-bd94-75b582ac5831, 53, 7014, No update data, 9g3qrjvf3q84
Bird, MEX, 0461ec4e-d87a-400b-8779-154a8d9d6391, 37, 4342, No update data, 9g3qrjxs3nd4
Bird, MEX, 78a53f41-98a8-4aa7-8a7d-061e6f324902, 94, 13861, No update data, 9g3qrnm2qpx0
Bird, MEX, ba7090d4-19bd-44a2-bd33-94b98e3270bb, 98, 13746, No update data, 9g3qrnm2mvsh
Bird, MEX, 3fbb3541-b760-4689-848f-0447d6dade52, 89, 12324, No update data, 9g3qrmcj178q
Bird, MEX, fd05bfb2-9132-4817-a24d-0f6f31661ac5, 49, 6346, No update data, 9g3qrq1jggsu
Bird, MEX, 73cd5bed-517c-4e2f-b6ab-e1c29de7f38e, 84, 11534, No update data, 9g3qrjxunms3
Bird, MEX, 1a39eb17-eb93-4766-b443-56a5fdaad5ce, 88, 12166, No update data, 9g3qrmchf1hu
Bird, MEX, b6ba05ee-94af-41ce-997e-6f5d98f0a425, 49, 6346, No update data, 9g3qrq2qswk7
Bird, MEX, 2914db63-dbe1-4143-928e-96730fdf5e61, 93, 13694, No update data, 9g3qrq2qsyp9
Bird, MEX, f52a5c20-9534-4b6b-9977-960565530724, 97, 13588, No update data, 9g3qrmch7tzy
Bird, MEX, 9e9b7885-7ffe-46dc-8570-7c8c1e53c27b, 97, 13588, No update data, 9g3qrmch7sru
Bird, MEX, d020a4d6-c23d-4e90-b496-bfbd6f807277, 97, 13588, No update data, 9g3qrmchs0ep
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 61, 8350, No update data, 9g3qrmbb6k1f
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 92, 13527, No update data, 9g3qrmchkg3q
