Bird, MEX, 0feea2ab-559e-4baf-acd1-07d7a343162f, 49, 6004, No update data, 9g3qx2kpvqzc
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 74, 10521, No update data, 9g3qx2kruucq
Bird, MEX, 7892ab95-fbf1-4e16-b4a8-613dffd817a2, 100, 14863, No update data, 9g3qx2eyp8sj
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 100, 14863, No update data, 9g3qx2evvcu7
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 100, 14863, No update data, 9g3qx2eyjfs3
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 100, 14863, No update data, 9g3qx2evuu36
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 100, 14863, No update data, 9g3qx2evehys
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 99, 14696, No update data, 9g3qx2eyhczt
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 81, 11060, No update data, 9g3qx2sgw5r6
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 79, 10744, No update data, 9g3qx2thffg2
Bird, MEX, 7c79ce4c-e6ae-4973-ba0e-be05a5a8a146, 100, 14062, No update data, 9g3qx2e368mn
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 100, 14863, No update data, 9g3qx2e34q3b
Bird, MEX, a887ba12-e8d1-4f6d-902e-23547d0a99b7, 99, 13904, No update data, 9g3qx2e3457x
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 100, 14062, No update data, 9g3qx2e33j6j
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 100, 14062, No update data, 9g3qx2e330f0
Bird, MEX, 676ea6db-4c6f-45ca-b25e-4bf867de4c67, 70, 9322, No update data, 9g3qx2kdxr11
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 63, 8216, No update data, 9g3qx27md90h
Bird, MEX, 58be8354-2838-4244-8727-1281fa5e56b3, 100, 14863, No update data, 9g3qx27kswkm
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 100, 14863, No update data, 9g3qx27ku285
Bird, MEX, 91437326-50a5-4ba8-a8ad-3140909f11bf, 99, 14696, No update data, 9g3qx27ksf16
Bird, MEX, cc13bcea-a99d-4e3a-ad0a-77d722f8b5b5, 100, 14863, No update data, 9g3qx27kg3ud
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 99, 14696, No update data, 9g3qx27kkknm
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 100, 14863, No update data, 9g3qx27khb13
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 100, 14863, No update data, 9g3qx277uucq
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 30, 3173, No update data, 9g3qx2t88wrj
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 43, 5056, No update data, 9g3qx2gefcg7
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 66, 8690, No update data, 9g3qx2hxxkc5
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 100, 14863, No update data, 9g3qx2tzgpy8
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 40, 4843, No update data, 9g3qx2gh4tvp
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 63, 8216, No update data, 9g3qx2gh0d0x
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 100, 14863, No update data, 9g3qx2tzzvfk
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 64, 8374, No update data, 9g3qx2f9hbzx
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 49, 6004, No update data, 9g3qx2jjdtb1
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 100, 14863, No update data, 9g3qx2wphfce
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 99, 13904, No update data, 9g3qx2wps3y2
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 99, 13904, No update data, 9g3qx2wpscps
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 54, 7181, No update data, 9g3qx25gxxh1
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 80, 11523, No update data, 9g3qx2h59kt3
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 80, 11523, No update data, 9g3qx2h59561
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 80, 11523, No update data, 9g3qx2h586gz
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 58, 7849, No update data, 9g3qx25jwtf9
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 75, 10688, No update data, 9g3qx25grmxn
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 69, 9164, No update data, 9g3qx25gpekn
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 75, 10688, No update data, 9g3qx25gjtwh
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 99, 13904, No update data, 9g3qx2y0wks6
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 52, 6847, No update data, 9g3qx257uypt
Bird, MEX, a6eb8114-a4d5-41be-94a7-a0867031bc0c, 78, 11189, No update data, 9g3qx263yrsr
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 98, 14529, No update data, 9g3qx26k8h0x
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 99, 14696, No update data, 9g3qx26jn491
Bird, MEX, 740964e8-cb25-4001-abeb-db32d1f1484a, 43, 5344, No update data, 9g3qx2dns47h
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 99, 13904, No update data, 9g3qx26hqg0z
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 45, 5678, No update data, 9g3qx3j4ptup
Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 54, 6794, No update data, 9g3qx2fktfkh
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 85, 11692, No update data, 9g3qx3hgp7pj
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 58, 7849, No update data, 9g3qx2y3njzw
Bird, MEX, 8d0b24af-ab94-4369-9390-7fa8d8dda44d, 100, 14062, No update data, 9g3qx2yk3dgw
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 60, 7742, No update data, 9g3qx2jvwfjf
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 100, 14863, No update data, 9g3qx2yk6h7z
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 100, 14062, No update data, 9g3qx2ykdst4
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 100, 14062, No update data, 9g3qx2yker59
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 100, 14863, No update data, 9g3qx2ykgukf
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 46, 5530, No update data, 9g3qx260ths9
Bird, MEX, ae82c1a3-0b5b-41b9-af9e-bb7748e00671, 16, 790, No update data, 9g3qx3jcs3qr
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 53, 7014, No update data, 9g3qx3je6j5g
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 93, 12956, No update data, 9g3qx2fr90f5
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 88, 12859, No update data, 9g3qx2fr946h
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 93, 12956, No update data, 9g3qx2fr2qgx
Bird, MEX, 5a415c43-ccf5-401f-8f80-dfb04f28a18c, 46, 5845, No update data, 9g3qx2q84w20
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 46, 5845, No update data, 9g3qx2q8775x
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 62, 8517, No update data, 9g3qx2ysj2ru
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 48, 5846, No update data, 9g3qx2yevuk6
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 94, 13114, No update data, 9g3qx2frbhj9
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 40, 4582, No update data, 9g3qx2fpz38c
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 78, 11189, No update data, 9g3qx2wywumb
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 72, 9638, No update data, 9g3qx2q8nvvy
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 92, 12798, No update data, 9g3qx23dd33y
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 90, 12482, No update data, 9g3qx2396t2j
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 43, 5056, No update data, 9g3qx2ctmk6z
Bird, MEX, e62c73b1-9092-42ab-b35f-9d09fcbe7333, 44, 5214, No update data, 9g3qx2ctkb3q
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 87, 12008, No update data, 9g3qx21wwnxr
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 84, 12191, No update data, 9g3qx233zk0b
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 92, 12798, No update data, 9g3qx233yfv8
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 89, 12324, No update data, 9g3qx233ye4d
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 92, 12798, No update data, 9g3qx2944uen
Bird, MEX, bb1c86a7-40b3-4697-bde7-a75ce481659e, 75, 10112, No update data, 9g3qx2ndmsnj
