Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 81, 11060, No update data, 9g3qx2gj5d1x
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 96, 13430, No update data, 9g3qx26f1zyd
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 70, 9322, No update data, 9g3qx269wt6x
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 78, 10586, No update data, 9g3qx269tdn4
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 96, 13430, No update data, 9g3qx2dq4ngs
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 94, 13114, No update data, 9g3qx269sjg1
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 97, 14362, No update data, 9g3qx2wpxdkk
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dq9ndp
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 96, 14195, No update data, 9g3qx2y21tes
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 58, 7849, No update data, 9g3qx2y241gv
Bird, MEX, a8a395e8-9aa5-4be6-860c-d71d9e52131f, 98, 13746, No update data, 9g3qx26hx9hh
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 85, 12358, No update data, 9g3qx2y2hf99
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 52, 6478, No update data, 9g3qx2668zgz
Bird, MEX, 6f15c284-1c18-446b-a5b8-8280bdc0c0a9, 99, 13904, No update data, 9g3qx26ht7fv
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 98, 14529, No update data, 9g3qx2wrykh2
Bird, MEX, dcf07f54-718b-43d2-ae66-88c28b7534e0, 100, 14062, No update data, 9g3qx26hu72h
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 98, 14529, No update data, 9g3qx2yhwhzs
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 97, 14362, No update data, 9g3qx2yhxdh6
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 99, 14696, No update data, 9g3qx2yk87eu
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 96, 13430, No update data, 9g3qx2622hjt
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx34c1w79
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx34c1wgt
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c1p4n
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c316h
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c3k0q
Bird, MEX, a98804d0-77a0-4733-87b8-0b1732e8af11, 100, 14863, No update data, 9g3qx34c2feu
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 45, 5678, No update data, 9g3qx3jdbnjw
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 44, 5214, No update data, 9g3qx35krjh5
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 90, 12482, No update data, 9g3qx34f53kd
Bird, MEX, 21d5fbec-0a8a-40f2-85ee-44608e7d6851, 97, 14362, No update data, 9g3qx2ymhrw2
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 91, 12640, No update data, 9g3qx2fr68mn
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 91, 12640, No update data, 9g3qx2fr36tk
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 92, 13527, No update data, 9g3qx2ymyjr8
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 83, 11376, No update data, 9g3qx340yhp3
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 62, 8517, No update data, 9g3qx341jqzv
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 98, 13746, No update data, 9g3qx239m24u
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 93, 13694, No update data, 9g3qx21y9q07
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 98, 14529, No update data, 9g3qx2yy51n8
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 98, 14529, No update data, 9g3qx2z4escu
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 45, 5372, No update data, 9g3qx21xkvxw
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 38, 4509, No update data, 9g3qx21xhgrw
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 66, 9185, No update data, 9g3qx2c6mqfz
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 97, 14362, No update data, 9g3qx2z5h2n6
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 69, 9164, No update data, 9g3qx34zhu9r
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 100, 14062, No update data, 9g3qx2yyndfe
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 99, 13904, No update data, 9g3qx2z4txq5
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 65, 8532, No update data, 9g3qx21wsdh6
