Bird, MEX, b5b4710e-4918-4c0a-8354-8eb34552f8f3, 67, 9352, No update data, 9g3qx2snjbsm
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 93, 13694, No update data, 9g3qx2ssq8ps
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 45, 5678, No update data, 9g3qx2sexv4m
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 75, 10688, No update data, 9g3qx2kp2ugc
Bird, MEX, ed7914f1-8973-4e35-a539-75f8cfff8f06, 100, 14863, No update data, 9g3qx2evnjcn
Bird, MEX, 400c371d-2099-4e37-a0f1-4d7e42ec8717, 96, 13430, No update data, 9g3qx2snqymg
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 64, 8851, No update data, 9g3qx2evm4k9
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 93, 13694, No update data, 9g3qx2snw96w
Bird, MEX, 513ed36c-6979-4d56-996d-2ff618a28cca, 40, 4843, No update data, 9g3qx2sns3y2
Bird, MEX, c3f58e29-a4d6-4d39-b36a-b62fdde7debd, 72, 10187, No update data, 9g3qx2snwtz9
Bird, MEX, 3acd2163-1b13-4242-9f63-91384927a57b, 66, 8690, No update data, 9g3qx2ev7xrc
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 100, 14863, No update data, 9g3qx2eyq6um
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 99, 14696, No update data, 9g3qx2eykb3q
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 65, 8532, No update data, 9g3qx2km97vm
Bird, MEX, 27438e92-fb96-4bb8-ad8c-4a785ea5880c, 73, 10354, No update data, 9g3qx2km3xgs
Bird, MEX, 10426429-69d2-4ea9-8172-09e286866754, 82, 11857, No update data, 9g3qx2edg9zg
Bird, MEX, 9a8ebb52-1426-4e00-b5f1-fcf638436054, 97, 14362, No update data, 9g3qx2ede93w
Bird, MEX, 7b5117f6-35b2-4704-9613-732b3089bdde, 98, 14529, No update data, 9g3qx2edgtcs
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 99, 13904, No update data, 9g3qx2eyf61v
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 98, 14529, No update data, 9g3qx2ez48m5
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 57, 7268, No update data, 9g3qx27x5t9s
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 96, 14195, No update data, 9g3qx2e3j5ht
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 97, 13588, No update data, 9g3qx2e2uypw
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 93, 13694, No update data, 9g3qx2e35vhb
Bird, MEX, 7c972032-d848-4b97-ab78-083d452d24e6, 87, 12692, No update data, 9g3qx27qxnkj
Bird, MEX, 6e231545-4e34-4a4f-acaa-03608f194847, 90, 13193, No update data, 9g3qx2szzq90
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 48, 5846, No update data, 9g3qx2ubq0c2
Bird, MEX, 6fcbc70c-ed01-48e7-a439-f8c4a3903bba, 96, 13430, No update data, 9g3qx2ubnxd8
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 97, 13588, No update data, 9g3qx2ubtzk7
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 73, 10354, No update data, 9g3qx2kg9cb8
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 89, 12324, No update data, 9g3qx27m56ue
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 84, 12191, No update data, 9g3qx27m55b2
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 98, 14529, No update data, 9g3qx27keexg
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 100, 14863, No update data, 9g3qx27kkq8h
Bird, MEX, 36b2e499-7803-4a66-8c47-84130a166c99, 91, 12640, No update data, 9g3qx27m0xwb
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 94, 13861, No update data, 9g3qx27k9zyx
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 98, 13746, No update data, 9g3qx27kh0gp
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 74, 10521, No update data, 9g3qx27k5jq6
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 96, 14195, No update data, 9g3qx27k68jh
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 67, 9352, No update data, 9g3qx2e09q2m
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 80, 10902, No update data, 9g3qx2te6ngz
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 88, 12859, No update data, 9g3qx2e0bk5b
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 96, 14195, No update data, 9g3qx2dcrqzn
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 76, 10855, No update data, 9g3qx2kctk4z
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 19, 1336, No update data, 9g3qx27hw3uw
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 87, 12008, No update data, 9g3qx27hnx4w
