Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 49, 6004, No update data, 9g3qx2b2u1pz
Bird, MEX, 42e21946-785d-4d5a-ab00-3714635ea3c6, 52, 6478, No update data, 9g3qx22pzekh
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 97, 13588, No update data, 9g3qx8bn5nys
Bird, MEX, 52055cd7-f608-4be5-88c4-316b90b2d0f5, 42, 4898, No update data, 9g3qx22pmxvu
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 99, 14696, No update data, 9g3qx8bjuuxu
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 98, 13746, No update data, 9g3qx8bjwgmf
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qx8bnqhc3
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 93, 13694, No update data, 9g3qx8bnq8z8
Bird, MEX, c9cbd949-ebed-4422-b069-6fd3b0b0e28b, 98, 14529, No update data, 9g3qx8bjz6z3
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 96, 14195, No update data, 9g3qx8bny0zt
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 99, 13904, No update data, 9g3qx8bptsq0
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 100, 14062, No update data, 9g3qx20mkxk2
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 71, 9480, No update data, 9g3qx82x97m6
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 44, 5511, No update data, 9g3qx2bq904p
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 96, 13430, No update data, 9g3qx20dbhj2
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 98, 14529, No update data, 9g3qx209hjdu
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 100, 14863, No update data, 9g3qx20kgp2j
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx20kdcg0
Bird, MEX, e5715162-b889-4ebe-81bf-9c6cc31732eb, 45, 5372, No update data, 9g3qrrdn1rb3
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 71, 9480, No update data, 9g3qx3r6bdz1
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 97, 14362, No update data, 9g3qx20m0dny
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 92, 13527, No update data, 9g3qx20m02et
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 100, 14863, No update data, 9g3qx2092p8d
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 100, 14863, No update data, 9g3qx2090g5u
Bird, MEX, f8a84e70-dcc5-4b6a-9233-f5966270e74a, 100, 14863, No update data, 9g3qx2092j2s
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 93, 13694, No update data, 9g3qx20m0003
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 100, 14062, No update data, 9g3qx20k8c5u
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 100, 14863, No update data, 9g3qx20jpfd2
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 99, 14696, No update data, 9g3qx208bz7v
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 100, 14062, No update data, 9g3qx208ch40
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 99, 14696, No update data, 9g3qx9025h8r
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 99, 14696, No update data, 9g3qx203qz28
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 69, 9164, No update data, 9g3qrr9y7sry
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 63, 8216, No update data, 9g3qx20hz4gb
Bird, MEX, 56f84237-e7a7-4512-a7b3-f88d58fb221c, 100, 14062, No update data, 9g3qx203p22g
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 98, 14529, No update data, 9g3qx202yvjx
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 100, 14062, No update data, 9g3qx8brvjuu
Bird, MEX, f391254d-cf93-4afd-bc89-62b88987a365, 93, 13694, No update data, 9g3qx20hqy2d
Bird, MEX, 2a745e37-3402-40b3-9e3c-e6341baa9751, 99, 14696, No update data, 9g3qx202yu29
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 99, 14696, No update data, 9g3qx202yw4t
Bird, MEX, 2c743466-1107-42c5-ba96-4748e6fa3269, 100, 14062, No update data, 9g3qx203m92g
Bird, MEX, d7cc1f30-d796-4b3b-b9d6-f74d31d7f1dd, 100, 14062, No update data, 9g3qx8brvmrb
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 99, 14696, No update data, 9g3qx20hw1z2
Bird, MEX, bc096ecd-5783-4ffe-b694-25020987449a, 100, 14062, No update data, 9g3qx202wymt
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 100, 14062, No update data, 9g3qx8brp1h0
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx32cjmzx
Bird, MEX, 4afaf2b3-ad2b-4a6f-8095-a8375c5664a1, 99, 13904, No update data, 9g3qx202wdfx
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 98, 14529, No update data, 9g3qx203f8m0
