Bird, MEX, 6b578da1-bcaf-45f7-ab5f-d88d6ac40a89, 100, 14863, No update data, 9g3qx2snu8k3
Bird, MEX, a75b5218-a500-4ea5-be40-1ad4a24e5359, 99, 13904, No update data, 9g3qx2sndpet
Bird, MEX, d5db08bb-7177-4685-afad-0bdd65d03af8, 100, 14863, No update data, 9g3qx2snfy5q
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 97, 13588, No update data, 9g3qx2eyhz92
Bird, MEX, 65832b8a-d336-4275-9019-d03ea93caf35, 99, 14696, No update data, 9g3qx2sphk2j
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 22, 1837, No update data, 9g3qx2ev8w0g
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 62, 8058, No update data, 9g3qx2km6925
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 26, 2505, No update data, 9g3qx2kjjyuk
Bird, MEX, 1500ca1e-de78-4a4b-a7ee-6f6c7a0a8106, 99, 13904, No update data, 9g3qx2szy5xq
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 98, 13746, No update data, 9g3qx2ubhrw2
Bird, MEX, 2f693e5e-f55f-4737-a0cc-21473e9600fc, 97, 13588, No update data, 9g3qx2szx7r4
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 96, 13430, No update data, 9g3qx2ubn5c3
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 99, 13904, No update data, 9g3qx2szzbfm
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 99, 13904, No update data, 9g3qx2ubmkpv
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 94, 13114, No update data, 9g3qx2ubqmh7
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 98, 13746, No update data, 9g3qx2ubpr90
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 96, 14195, No update data, 9g3qx2e22s2x
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 94, 13114, No update data, 9g3qx2t7kczx
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 96, 14195, No update data, 9g3qx27prvdr
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 80, 11523, No update data, 9g3qx2t7thk8
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 65, 8532, No update data, 9g3qx2t7v3zg
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 80, 10902, No update data, 9g3qx2gfu9u7
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 94, 13114, No update data, 9g3qx2e0hz1q
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 97, 14362, No update data, 9g3qx2tt5vhb
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 90, 12482, No update data, 9g3qx2tx4t24
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 98, 14529, No update data, 9g3qx27h1uqs
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 58, 7426, No update data, 9g3qx2twwn3m
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 88, 12859, No update data, 9g3qx2twvcu7
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 75, 10112, No update data, 9g3qx2gvucc7
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 69, 9164, No update data, 9g3qx26fycjy
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 76, 10270, No update data, 9g3qx26fv3zf
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 92, 13527, No update data, 9g3qx26ffz7m
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 81, 11060, No update data, 9g3qx2fupssp
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 92, 12798, No update data, 9g3qx26f9q8r
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 78, 11189, No update data, 9g3qx25uhth2
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dq316h
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 96, 13430, No update data, 9g3qx2dr10fp
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 96, 14195, No update data, 9g3qx2y233tq
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 56, 7515, No update data, 9g3qx2wqevhv
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 96, 14195, No update data, 9g3qx2y2d7dh
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 89, 13026, No update data, 9g3qx2y5q01k
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 94, 13114, No update data, 9g3qx263sxh3
Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 92, 13527, No update data, 9g3qx26hw5r6
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 94, 13861, No update data, 9g3qx2y2u221
Bird, MEX, 21d5fbec-0a8a-40f2-85ee-44608e7d6851, 96, 14195, No update data, 9g3qx2y5w94s
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 94, 13861, No update data, 9g3qx2yhnpc6
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 100, 14062, No update data, 9g3qx26hs2y4
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 97, 14362, No update data, 9g3qx2y787eu
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 33, 3674, No update data, 9g3qx26j6t8z
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 100, 14863, No update data, 9g3qx26hfzer
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 98, 14529, No update data, 9g3qx2yhwwxx
Bird, MEX, 47b35d14-9abb-48ec-8e6f-5fa456213b68, 34, 3841, No update data, 9g3qx26hdq3v
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26hdhe9
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26h9ywx
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 83, 12024, No update data, 9g3qx2y3pmp3
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26h9606
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26hbb7c
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 94, 13114, No update data, 9g3qx26h30dp
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 52, 6478, No update data, 9g3qx26h2tqv
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34b9p65
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx348x8u5
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 43, 5056, No update data, 9g3qx35kp4hp
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 89, 12324, No update data, 9g3qx34ce526
Bird, MEX, a98804d0-77a0-4733-87b8-0b1732e8af11, 100, 14863, No update data, 9g3qx34c0mgz
