Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 97, 14362, No update data, 9g3qx2tt7k5t
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 58, 7426, No update data, 9g3qx2tts17n
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 89, 13026, No update data, 9g3qx2twp7z3
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 98, 14529, No update data, 9g3qx2754zg6
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 92, 12798, No update data, 9g3qx26gk7b5
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 70, 9322, No update data, 9g3qx26fu554
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 92, 13527, No update data, 9g3qx26fe523
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 76, 10270, No update data, 9g3qx26f3327
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 81, 11060, No update data, 9g3qx2grv7dz
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 96, 13430, No update data, 9g3qx2dm3rt7
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dq1pf4
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 84, 12191, No update data, 9g3qx2y21ppn
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 57, 7682, No update data, 9g3qx2y27jwx
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 33, 3674, No update data, 9g3qx26jszzx
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 100, 14062, No update data, 9g3qx26jt4ks
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 94, 13114, No update data, 9g3qx26jmnkd
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 94, 13114, No update data, 9g3qx263k4e5
