Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 89, 13026, No update data, 9g3qx26mjmfy
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 66, 8690, No update data, 9g3qx2h5kdk3
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 72, 10187, No update data, 9g3qx2h5k175
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 56, 7515, No update data, 9g3qx25jmrfu
Bird, MEX, 9ce7caf6-a241-45b8-b499-100224261917, 69, 9686, No update data, 9g3qx26d892w
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 51, 6680, No update data, 9g3qx25k6v56
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 44, 5511, No update data, 9g3qx3j1grg8
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 94, 13861, No update data, 9g3qx2wrjqfu
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 84, 11534, No update data, 9g3qx3hfukn3
Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 53, 6636, No update data, 9g3qx2fkx3bb
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 98, 13746, No update data, 9g3qx26jkg1r
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 97, 14362, No update data, 9g3qx26jk325
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 96, 14195, No update data, 9g3qx26j7x38
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 100, 14863, No update data, 9g3qx26hsrbp
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 53, 7014, No update data, 9g3qx2wx0ck1
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 100, 14863, No update data, 9g3qx26h7gug
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 99, 14696, No update data, 9g3qx2yhy6u3
Bird, MEX, cdacbe64-aa1e-46c7-acf8-dcce41717f21, 99, 14696, No update data, 9g3qx26h6ug3
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 56, 7515, No update data, 9g3qx2y6kbry
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 100, 14062, No update data, 9g3qx26h6x84
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 96, 14195, No update data, 9g3qx2wxc3v7
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 58, 7426, No update data, 9g3qx2jvy1pw
