Bird, MEX, 6a34c69c-838f-4822-9415-33c89c733302, 73, 10354, No update data, 9g3qx27jt2py
Bird, MEX, 355cceba-b6e4-40bc-920b-b1958de1a93b, 63, 8684, No update data, 9g3qx2mx6qcy
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx27759rc
Bird, MEX, 71b9aa3a-b59d-45e7-add6-18639c63dcce, 65, 8532, No update data, 9g3qx2t8m74z
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 49, 6004, No update data, 9g3qx2gef9v5
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 73, 9796, No update data, 9g3qx2hw8t2z
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 91, 13360, No update data, 9g3qx2tydb5q
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 97, 13588, No update data, 9g3qx2tyk2qq
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 54, 7181, No update data, 9g3qx2ghjusp
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx2tyjjuw
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 94, 13861, No update data, 9g3qx2tymhht
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 27, 2672, No update data, 9g3qx26exss1
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 30, 3173, No update data, 9g3qx26ey7kk
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 70, 9322, No update data, 9g3qx2gh9h60
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 55, 6952, No update data, 9g3qx2jj8wp5
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 92, 13527, No update data, 9g3qx2hhrhu0
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 90, 13193, No update data, 9g3qx2hhhpg1
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 75, 10112, No update data, 9g3qx2hhp8up
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 94, 13861, No update data, 9g3qx25u5trf
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 73, 10354, No update data, 9g3qx25mbmgg
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 93, 13694, No update data, 9g3qx2h5ekg7
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 34, 3841, No update data, 9g3qx2jjj6xb
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 90, 13193, No update data, 9g3qx2h53vnd
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 66, 9185, No update data, 9g3qx2h50wbu
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx267g3s8
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx267fwv1
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx26hpvfq
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 96, 13430, No update data, 9g3qx2y62kgc
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 100, 14062, No update data, 9g3qx26hqqsk
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx26hmyun
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 16, 835, No update data, 9g3qx2y2mgu7
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 81, 11060, No update data, 9g3qx2y2mzum
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 88, 12859, No update data, 9g3qx26hkczx
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 93, 12956, No update data, 9g3qx3hgjmdv
Bird, MEX, 91d27b27-39c8-4300-ae4f-56102b634f9c, 66, 8690, No update data, 9g3qx2y2vdy1
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 93, 13694, No update data, 9g3qx2y81v2e
Bird, MEX, 82f371eb-9376-4e75-af16-c7c949307882, 45, 5678, No update data, 9g3qx24u2qgy
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 82, 11218, No update data, 9g3qx260zu66
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx2621xe8
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 85, 11692, No update data, 9g3qx26224m9
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 93, 12956, No update data, 9g3qx34c88be
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 94, 13114, No update data, 9g3qx34c89b8
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 94, 13114, No update data, 9g3qx34c84jd
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 93, 12956, No update data, 9g3qx349xdh4
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 99, 13904, No update data, 9g3qx23uegkf
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2fr6dm4
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fr3bqw
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2fr17b3
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 100, 14863, No update data, 9g3qx2fr6m1g
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 93, 13694, No update data, 9g3qx23bz47y
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 54, 6794, No update data, 9g3qx2yend4x
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 31, 3340, No update data, 9g3qx2yc727w
Bird, MEX, 58d33584-a58d-4cc4-ac23-1e5d515df7d6, 34, 3841, No update data, 9g3qx2ycey2j
Bird, MEX, a4e52bd5-f951-4d0d-8593-149ba6bd4d2c, 73, 10354, No update data, 9g3qx2yswx49
Bird, MEX, d8a14599-6bfe-4b25-b186-a541cf79debb, 74, 10521, No update data, 9g3qx2yfkdek
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2qb2dbv
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx21yhtuq
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 97, 13588, No update data, 9g3qx2396sjj
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 62, 8058, No update data, 9g3qx21y1w72
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qx21wzeh4
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 96, 13430, No update data, 9g3qx21y29yz
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 100, 14062, No update data, 9g3qx2398eqc
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 75, 10112, No update data, 9g3qx21vcjd1
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx236wmu3
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 84, 11534, No update data, 9g3qx3444j7e
Bird, MEX, d48617dd-3f87-422b-bf8f-d278a96888aa, 91, 12640, No update data, 9g3qx21xe93w
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 97, 13588, No update data, 9g3qx2z5h321
Bird, MEX, a69a3d39-066b-4e85-8628-48f619700562, 38, 4266, No update data, 9g3qx21wfmcg
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx233gxrv
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 67, 9352, No update data, 9g3qx2r39hpp
Bird, MEX, 9dbb8d37-8eec-41d8-8d42-da22c0d7a8a3, 96, 14195, No update data, 9g3qx232h57n
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 93, 13694, No update data, 9g3qx2zk0k7v
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 100, 14062, No update data, 9g3qx29117v3
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qx2zjvvgh
Bird, MEX, c0fe1b03-bcf5-436f-a8b3-0df4ebad4766, 97, 14362, No update data, 9g3qx2323zwd
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 100, 14062, No update data, 9g3qx2918vgc
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 87, 12008, No update data, 9g3qx21rendw
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx291b189
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx21mqyby
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 98, 13746, No update data, 9g3qx21mpds0
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 99, 14696, No update data, 9g3qx28fnb09
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21mnv0b
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx28fn7u3
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 97, 13588, No update data, 9g3qx2zm9znc
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 96, 13430, No update data, 9g3qx3kknsdx
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 96, 13430, No update data, 9g3qx2zkvfg1
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 87, 12008, No update data, 9g3qx2zky1x9
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 80, 10902, No update data, 9g3qx2zkxph1
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 96, 13430, No update data, 9g3qx2zkxwhk
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 100, 14062, No update data, 9g3qx28ccbbm
Bird, MEX, b64b1c4d-47ce-4942-812e-0f239e346cbe, 57, 7268, No update data, 9g3qrrgbm9yp
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 39, 4424, No update data, 9g3qx21p33vr
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 93, 13694, No update data, 9g3qx2zs7csy
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 93, 13694, No update data, 9g3qx2zskfcw
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 93, 13694, No update data, 9g3qx2zsmqzz
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 99, 13904, No update data, 9g3qx2zthv9t
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 93, 13694, No update data, 9g3qx2zsqdds
Bird, MEX, d758962f-e3fd-46f0-9300-f1dcbcb5fcbd, 81, 11060, No update data, 9g3qx2zw5pw8
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 93, 13694, No update data, 9g3qx2zsnymb
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 94, 13861, No update data, 9g3qx2zsqdzw
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 96, 14195, No update data, 9g3qx2zezesq
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 67, 9352, No update data, 9g3qx2zwe5qd
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 82, 11857, No update data, 9g3qx28e799w
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 44, 5511, No update data, 9g3qx2pt1ppn
Bird, MEX, a0e05e53-6cea-432c-904f-bbba3b8dd971, 48, 5846, No update data, 9g3qx2zx4xjn
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 54, 7181, No update data, 9g3qx2bdxtu4
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 96, 14195, No update data, 9g3qx215shxc
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 98, 14529, No update data, 9g3qx215kxuk
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 98, 13746, No update data, 9g3qx2zu30rq
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 92, 13527, No update data, 9g3qx215kngn
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 94, 13861, No update data, 9g3qx2157w9s
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx3p8k85k
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 48, 5846, No update data, 9g3qx2zy1gnv
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx2zy46d1
Bird, MEX, ee2d53b5-f1e6-4b04-b739-0bb8e1969b13, 45, 5372, No update data, 9g3qx2zvez01
Bird, MEX, d6bce810-1c38-4ac9-8186-d9bf55267da7, 74, 9954, No update data, 9g3qx2zydf56
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 84, 12191, No update data, 9g3qx3p8rgr2
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 75, 10112, No update data, 9g3qx3p8ytr8
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 69, 9164, No update data, 9g3qx2zysm0n
Bird, MEX, 90b74f5d-e040-4887-9f50-eb0af1987f82, 78, 11189, No update data, 9g3qx3p9vhhc
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 100, 14062, No update data, 9g3qx2b2t5ss
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 93, 9676, No update data, 9g3qx3pkrps5
Bird, MEX, 1b6a109a-089d-4174-a9de-54132e5d2728, 65, 8532, No update data, 9g3qx3pb9ynu
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 87, 12008, No update data, 9g3qx3pb5b2h
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx2b25t9s
Bird, MEX, 0af1b4dd-fba8-43d0-aff6-fec808d0972e, 80, 11523, No update data, 9g3qx3pdqdds
Bird, MEX, bd41d1ee-053e-48b2-9d7c-f0619f68b7d4, 70, 9322, No update data, 9g3qx2b2ex19
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 99, 13904, No update data, 9g3qx2zyxfxq
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bnd764
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 71, 9480, No update data, 9g3qx8bn5d9c
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 92, 13527, No update data, 9g3qx8bpcs59
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 99, 14696, No update data, 9g3qx20scb86
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 99, 13904, No update data, 9g3qx20mz8k0
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 98, 13746, No update data, 9g3qx20ekshm
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 93, 13694, No update data, 9g3qx8bpfngf
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 56, 7515, No update data, 9g3qx20sbt0x
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 97, 13588, No update data, 9g3qx8bpgjq8
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20mw5cj
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 83, 11376, No update data, 9g3qx20s2hb8
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 51, 6680, No update data, 9g3qx302qfmd
Bird, MEX, 813eee54-a6fe-4498-9ea5-c26820e6a2b6, 80, 10902, No update data, 9g3qx8bpmv7j
Bird, MEX, 75531145-f835-408e-aafe-68b298e7b1fd, 93, 13694, No update data, 9g3qx20kwu0x
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 98, 13746, No update data, 9g3qx20mu6y0
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 97, 13588, No update data, 9g3qx20kqnzq
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82x1s7s
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 93, 13694, No update data, 9g3qrrdnfd2n
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 94, 13114, No update data, 9g3qx20ku2w4
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 74, 9954, No update data, 9g3qx20m73st
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 97, 14362, No update data, 9g3qx20q3857
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx900trrg
Bird, MEX, a6cc2f27-cf05-4abf-b878-9b1fb6b1b336, 78, 11189, No update data, 9g3qx208gcsb
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 49, 6346, No update data, 9g3qx20k77ue
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 98, 13746, No update data, 9g3qx20kddbp
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 99, 13904, No update data, 9g3qx2094k3u
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20m0r5w
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 98, 13746, No update data, 9g3qx207g1b4
Bird, MEX, b645c68a-ed5f-489d-ab0a-5771c00aa894, 19, 1336, No update data, 9g3qx3r67u80
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 99, 13904, No update data, 9g3qrre98z7f
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 99, 13904, No update data, 9g3qrre99gwe
Bird, MEX, d1ec53df-5ece-4bdf-8e72-204214ce01b8, 48, 5846, No update data, 9g3qx3r6jq6c
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx20hzm0z
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 98, 14529, No update data, 9g3qx203r1gz
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 90, 13193, No update data, 9g3qx20845ub
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 99, 14696, No update data, 9g3qx203p60y
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 97, 14362, No update data, 9g3qx202zrrj
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 90, 13193, No update data, 9g3qx202z5ey
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 60, 7742, No update data, 9g3qx33kubrd
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 78, 10586, No update data, 9g3qrrc1eect
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zu5ec9
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 49, 6004, No update data, 9g3qrrc1c6b2
Bird, MEX, 32fa0b3e-426d-4830-885f-60f809705337, 48, 5846, No update data, 9g3qx205hp4y
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 72, 9638, No update data, 9g3qrr9tg5bp
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 30, 3173, No update data, 9g3qx3tsp3r6
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 85, 11692, No update data, 9g3qx90nkgrb
Bird, MEX, fadc597b-95a7-4041-bd95-e5256b81ec95, 92, 13527, No update data, 9g3qx8bxgbvj
Bird, MEX, be65d0c8-1f69-4b56-8773-9dea4108bb02, 66, 8690, No update data, 9g3qx909565x
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 85, 11692, No update data, 9g3qrrmrgbuu
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 80, 11523, No update data, 9g3qx0zdsg9k
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 79, 10744, No update data, 9g3qx32gggkv
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 94, 13861, No update data, 9g3qx90e8rev
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 92, 13527, No update data, 9g3qx90kwx4f
