Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 51, 6680, No update data, 9g3qx2zyp2xq
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 71, 9480, No update data, 9g3qx2p2n8re
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 49, 6004, No update data, 9g3qx2b31vws
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 83, 12024, No update data, 9g3qx280j249
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 74, 10521, No update data, 9g3qx8bhwfty
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 83, 11376, No update data, 9g3qx3e3qvmy
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 44, 5511, No update data, 9g3qx31pk4zy
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 69, 9686, No update data, 9g3qrrdtp72y
Bird, MEX, 5f2aa98d-4826-4592-8133-c851aae61e6b, 58, 7849, No update data, 9g3qx8bnvjuu
Bird, MEX, c57045fd-eea9-4e7b-a8c8-f672c0c7c9d9, 62, 8058, No update data, 9g3qx33uugpe
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 28, 2839, No update data, 9g3qrrbyswkm
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 47, 5688, No update data, 9g3qx3tbswg2
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 55, 7348, No update data, 9g3qrrz7u8gk
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 87, 12692, No update data, 9g3qx20mc2t4
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 71, 10020, No update data, 9g3qx20mbj83
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 84, 11534, No update data, 9g3qx3029se6
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 82, 11218, No update data, 9g3qx3029r27
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 48, 5846, No update data, 9g3qrrc4qv0f
Bird, MEX, fc23dcdf-8930-4379-9a34-edfc4d785eb3, 81, 11690, No update data, 9g3qx3d22e28
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 87, 12692, No update data, 9g3qx2088eyv
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre93s7w
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre92j2s
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 55, 7348, No update data, 9g3qrrzysupz
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 75, 10688, No update data, 9g3qrrzykz38
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 76, 10855, No update data, 9g3qrrwysy9w
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 92, 13527, No update data, 9g3qx3e5yvmc
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 91, 13360, No update data, 9g3qx3ehp9h0
Bird, MEX, 5b5e1827-50ba-4c7a-b925-00f5ec0d0744, 65, 9018, No update data, 9g3qrrzv5cvh
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 89, 13026, No update data, 9g3qrre83p4p
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 47, 6012, No update data, 9g3qx205jzu1
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 46, 5530, No update data, 9g3qrre0ygvz
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 81, 11690, No update data, 9g3qrr9v3141
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 47, 6012, No update data, 9g3qrr9twb2z
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 75, 10688, No update data, 9g3qx8bxgbbj
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 44, 5214, No update data, 9g3qx32gkzcm
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 85, 11692, No update data, 9g3qrrkmu9kx
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 69, 9164, No update data, 9g3qrr9en2uq
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 64, 8851, No update data, 9g3qx90be4ww
Bird, MEX, e8e476fe-49de-48ca-b318-602fdacb270e, 54, 6794, No update data, 9g3qx390r2pj
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 89, 12324, No update data, 9g3qx89m8mgc
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 79, 10744, No update data, 9g3qx3u24q9g
Bird, MEX, cf6f2302-70ca-448e-bb96-487c9de52865, 42, 5177, No update data, 9g3qx8c5m7g5
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 47, 6012, No update data, 9g3qrr97q9fw
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 18, 1169, No update data, 9g3qx0pev74d
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 80, 10902, No update data, 9g3qrr7u2p0x
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 53, 7014, No update data, 9g3qx90cwtff
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 60, 8183, No update data, 9g3qrr7sr6zh
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 76, 10270, No update data, 9g3qx90cygtz
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 38, 4509, No update data, 9g3qx8chwgtu
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 74, 10521, No update data, 9g3qx90cz2r3
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 67, 8848, No update data, 9g3qx8c70bh4
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 84, 12191, No update data, 9g3qx3g0498h
Bird, MEX, 3865d5cb-dc80-4857-9562-22cc2db05d30, 63, 8684, No update data, 9g3qx8c71h6m
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 87, 12008, No update data, 9g3qx92h7bb1
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 70, 9853, No update data, 9g3qx92h7bmp
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 75, 10688, No update data, 9g3qx92hkhg4
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 83, 12024, No update data, 9g3qx0pddg71
Bird, MEX, 87a3c59f-ad2b-437b-866b-02d34b28c68a, 61, 7900, No update data, 9g3qx89rt5uy
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 46, 5845, No update data, 9g3qx0pe2dwg
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 71, 9480, No update data, 9g3qx0rns14u
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr994sj4
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 72, 9638, No update data, 9g3qrrm58tz0
Bird, MEX, 23eab94a-aec0-422c-873d-6874163cf9b7, 46, 5845, No update data, 9g3qx0pdbsbt
Bird, MEX, 630b6532-d033-4351-8f31-489d98a096cd, 56, 7515, No update data, 9g3qx0pd1zb3
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 70, 9853, No update data, 9g3qx92jh70n
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 89, 13026, No update data, 9g3qx92jh7y3
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 51, 6680, No update data, 9g3qx0pdbh02
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 74, 10521, No update data, 9g3qx0pd1680
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr98cq2r
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr98bwyc
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 84, 12191, No update data, 9g3qx0p6xbf6
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 94, 13114, No update data, 9g3qrxb0r7z6
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 88, 12166, No update data, 9g3qrxb22wzn
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 51, 6320, No update data, 9g3qx92hztk3
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 90, 13193, No update data, 9g3qrx8py1pw
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 80, 11523, No update data, 9g3qx914hx5q
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 76, 10855, No update data, 9g3qrxb0p8sk
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 74, 10521, No update data, 9g3qx914kc9w
Bird, MEX, 3d34caa5-82dc-441b-bae7-6364bbeee990, 44, 5511, No update data, 9g3qx810fpez
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 28, 2839, No update data, 9g3qrx8rbm5z
Bird, MEX, 005c9142-b44c-4c54-acb3-0e8d9f1678c1, 79, 11356, No update data, 9g3qx0p6mtjf
Bird, MEX, cef73ebf-efda-489e-a618-c23e514f4111, 73, 10354, No update data, 9g3qrrm7p9s4
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 84, 12191, No update data, 9g3qx8388ykj
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 64, 8851, No update data, 9g3qrr3y0hme
Bird, MEX, 0f4f09c8-05c3-476d-92d2-7953abfe233e, 29, 3006, No update data, 9g3qx0r008bx
Bird, MEX, 74f538cc-176f-45bb-baf4-4562a9ee9a66, 92, 13527, No update data, 9g3qx3g4vdy4
Bird, MEX, ead8075d-4d61-4033-97fd-63f66016eea3, 78, 11189, No update data, 9g3qrrrphg1s
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 82, 11857, No update data, 9g3qx81x46x1
Bird, MEX, 8bfde806-8774-4437-ab68-0b24b1f5c11f, 54, 7181, No update data, 9g3qrrk2trfy
Bird, MEX, 7f87d781-94e9-434a-9d97-239975176780, 94, 13114, No update data, 9g3qrrkbtguk
Bird, MEX, 4c9448ed-5dc8-4a40-9f3f-86f0935c54e5, 54, 7181, No update data, 9g3qrrk269th
Bird, MEX, 8a353b43-cbc2-4ddc-b909-80443ed1bced, 74, 9954, No update data, 9g3qx92gh22h
Bird, MEX, e3373e0b-31f8-433f-b042-36365542557a, 46, 5530, No update data, 9g3qx0qtqsf3
Bird, MEX, d83c4abb-9b90-43eb-8564-fa6e7b1d7f39, 79, 10744, No update data, 9g3qrrk21cbs
Bird, MEX, 7802a6aa-4737-4323-b62a-a2dfceffc097, 36, 4175, No update data, 9g3qx3fe5e1w
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 93, 12956, No update data, 9g3qrrkbm9n0
Bird, MEX, 9ea8352a-9437-42df-a1bd-85883d2379e1, 72, 10187, No update data, 9g3qrrhpywps
Bird, MEX, c4d34326-f9c4-43b0-8a22-21c8b1e77520, 63, 8216, No update data, 9g3qrrkbnjzm
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 52, 6847, No update data, 9g3qx0qtmwmf
Bird, MEX, 2b547a31-5f30-4a2f-a1a9-d0af1b7f85be, 69, 9686, No update data, 9g3qrrhzvwqn
Bird, MEX, 8b60fa4a-6f3b-45ea-bbb6-52aee5a4d3d2, 75, 10112, No update data, 9g3qx89uzqpq
Bird, MEX, 0b4d2eaf-0de9-45b8-a36a-043a227d1c6b, 76, 10855, No update data, 9g3qrr8hpssj
Bird, MEX, 6488434d-7087-4a68-ab67-e44ab3507857, 75, 10688, No update data, 9g3qrrq6x7x6
Bird, MEX, 8f61a6b5-7d1b-4886-9373-fe2459fe4da4, 93, 12956, No update data, 9g3qrr5zrshh
Bird, MEX, 57d39e9e-283f-48a7-9203-8442d3b31d04, 60, 5782, No update data, 9g3qrr5zj6zc
Bird, MEX, 77291b5a-b673-48eb-b3d1-8d808c9f5f42, 54, 6794, No update data, 9g3qrrhyuzrs
Bird, MEX, 0215f64e-4681-436f-bccb-7350602c02b4, 82, 11857, No update data, 9g3qrrjphkyr
Bird, MEX, f78e5aca-c60d-4029-bce7-41e7d9a30eb9, 90, 12482, No update data, 9g3qx91skqbp
Bird, MEX, 057f8a73-26f8-48b1-a7d2-cc2876558777, 60, 7742, No update data, 9g3qrr5yq3uq
Bird, MEX, 7899d631-2406-4e8f-a750-1257ffd1ba80, 45, 5372, No update data, 9g3qrr618kgd
Bird, MEX, bfc8f5a2-3ddf-4f0e-8bbd-86b5b959ce49, 25, 2338, No update data, 9g3qx91swjc6
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 96, 13430, No update data, 9g3qrxc1jq5p
Bird, MEX, 0e1a4c5b-f39b-4be0-a51d-98f9dd914271, 64, 8374, No update data, 9g3qrrqfxkpq
Bird, MEX, a1f4a197-5998-4af9-a763-b027e42ad8af, 38, 4509, No update data, 9g3qrr5qnjr3
Bird, MEX, 0dd5f0ca-cd5b-4d6e-b414-bd898861243e, 60, 8183, No update data, 9g3qx860k2wr
Bird, MEX, 87a6dffc-da71-443b-ba76-8ed11469aac2, 85, 11692, No update data, 9g3qx0nsc3v4
Bird, MEX, e1f90789-00d2-4c3f-b25e-9559f33b7f32, 18, 1169, No update data, 9g3qrr2rsqqh
Bird, MEX, e6a03979-4e38-456b-94a6-81a52cf78b84, 91, 12640, No update data, 9g3qx0ns941f
Bird, MEX, 1162db80-7d70-4243-bcf3-936959a000e1, 84, 12191, No update data, 9g3qrr5mkkqq
Bird, MEX, 697b1faa-17c7-4da9-9222-feaa21fb4dcd, 67, 9352, No update data, 9g3qrr4vycmz
Bird, MEX, 683b932a-0d00-4706-a621-ea4bfa7b5a62, 67, 9352, No update data, 9g3qrpyxp6pn
Bird, MEX, 3f5980b9-d12d-41bd-a02b-eae9a98d8934, 49, 6004, No update data, 9g3qrr5urcfq
Bird, MEX, b55458eb-87bb-44bd-9d2b-2b7d14aa06ff, 81, 11690, No update data, 9g3qrpyxnv2d
Bird, MEX, 3e749de6-7df4-44e9-8864-bdcd03194715, 80, 11523, No update data, 9g3qrrjkb2ec
Bird, MEX, d9cea50f-4912-47c9-89f0-48718c7de449, 90, 12482, No update data, 9g3qrpywzn7z
Bird, MEX, 98fdef63-c833-4ef7-b872-5cff4be4f34b, 94, 13114, No update data, 9g3qrr4v3s7w
