Bird, MEX, 71663b97-5627-4f12-8e5f-a3e649148426, 90, 13193, No update data, 9g3qx2tp8g7f
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 98, 13746, No update data, 9g3qx2ubmkrz
Bird, MEX, 6fcbc70c-ed01-48e7-a439-f8c4a3903bba, 96, 13430, No update data, 9g3qx2ubsk84
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 80, 10902, No update data, 9g3qx2t7nvtu
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 94, 13861, No update data, 9g3qx27m5p82
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 96, 14195, No update data, 9g3qx27kgp8r
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 100, 14863, No update data, 9g3qx27knj9h
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 85, 12358, No update data, 9g3qx27kgd3w
Bird, MEX, 36b2e499-7803-4a66-8c47-84130a166c99, 91, 12640, No update data, 9g3qx27m8y7v
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 99, 14696, No update data, 9g3qx277vwy1
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 89, 12324, No update data, 9g3qx27m2429
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 98, 13746, No update data, 9g3qx27k5jwk
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 74, 10521, No update data, 9g3qx27k4cgm
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 96, 14195, No update data, 9g3qx2e037b7
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 88, 12859, No update data, 9g3qx2e0298t
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 76, 10855, No update data, 9g3qx2kce779
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 19, 1336, No update data, 9g3qx27hw3uw
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 67, 9352, No update data, 9g3qx2dbwspx
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 87, 12008, No update data, 9g3qx273rduj
Bird, MEX, c7965c14-a249-4569-be43-de4a0e85d469, 48, 5846, No update data, 9g3qx2hrq8rt
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 67, 8848, No update data, 9g3qx2tub90z
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 54, 7181, No update data, 9g3qx2tu2vkj
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 100, 14062, No update data, 9g3qx2ttztk0
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 31, 3340, No update data, 9g3qx2tu9n6j
Bird, MEX, b1dfe0ac-27ca-427d-8787-04c8eda82d16, 93, 13694, No update data, 9g3qx2ttzz6q
Bird, MEX, dcd6b607-5629-4f0a-a90f-dde50b6d0ba2, 45, 5372, No update data, 9g3qx2gkhcr9
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 96, 14195, No update data, 9g3qx2ty0ez1
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 97, 13588, No update data, 9g3qx26z3h4j
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 42, 5177, No update data, 9g3qx2tudevn
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 92, 13527, No update data, 9g3qx2tv9uyu
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 31, 3340, No update data, 9g3qx2tudzem
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 79, 11356, No update data, 9g3qx2un2f7f
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 72, 7198, No update data, 9g3qx2tug0yt
