Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 54, 6794, No update data, 9g3qx2fkqqur
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 46, 5845, No update data, 9g3qx3j4r2c0
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 87, 12008, No update data, 9g3qx3hgpjk5
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 46, 5530, No update data, 9g3qx26268tp
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 100, 14863, No update data, 9g3qx2ykfce3
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 100, 14863, No update data, 9g3qx2ykfz5k
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 60, 7742, No update data, 9g3qx2nhbptx
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 100, 14062, No update data, 9g3qx2ykv3zg
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 53, 7014, No update data, 9g3qx3je1rjr
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 48, 5846, No update data, 9g3qx2yeh7y3
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 93, 12956, No update data, 9g3qx2fr3t7t
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 46, 5845, No update data, 9g3qx2q86wbn
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 40, 4582, No update data, 9g3qx2fr9k22
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 88, 12859, No update data, 9g3qx2fr8f5f
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 93, 12956, No update data, 9g3qx2fr2mex
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 94, 13114, No update data, 9g3qx2fr2j2t
Bird, MEX, 5a415c43-ccf5-401f-8f80-dfb04f28a18c, 46, 5845, No update data, 9g3qx2q84d0p
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 78, 11189, No update data, 9g3qx2wytugh
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 72, 9638, No update data, 9g3qx2q8kzcs
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 62, 8517, No update data, 9g3qx2yv00tw
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 87, 12008, No update data, 9g3qx21y9h4p
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 89, 12324, No update data, 9g3qx23d0p0w
Bird, MEX, e62c73b1-9092-42ab-b35f-9d09fcbe7333, 44, 5214, No update data, 9g3qx2ctkc3k
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 43, 5056, No update data, 9g3qx2ctsbze
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 92, 12798, No update data, 9g3qx236phey
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 91, 12640, No update data, 9g3qx233zeh4
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 92, 12798, No update data, 9g3qx23920js
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 84, 12191, No update data, 9g3qx233ymk2
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 100, 14863, No update data, 9g3qx232fm9c
Bird, MEX, bb1c86a7-40b3-4697-bde7-a75ce481659e, 75, 10112, No update data, 9g3qx2n9vsn0
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 91, 12640, No update data, 9g3qx291b35x
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 92, 12798, No update data, 9g3qx28cxud3
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 100, 14863, No update data, 9g3qx231w7k3
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 91, 12640, No update data, 9g3qx28crqby
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 91, 12640, No update data, 9g3qx28fqw6e
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 93, 12956, No update data, 9g3qx28byjr2
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 88, 12166, No update data, 9g3qx21mmkzc
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 100, 14863, No update data, 9g3qx23478rv
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 89, 12324, No update data, 9g3qx21mm3rg
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 100, 14863, No update data, 9g3qx230v8mb
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 87, 12008, No update data, 9g3qx28ctk6b
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 90, 12482, No update data, 9g3qx21mk4zv
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 88, 12166, No update data, 9g3qx3kkjkdz
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 90, 13193, No update data, 9g3qx28ch5fc
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 87, 12008, No update data, 9g3qx2ze8hvs
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 84, 12191, No update data, 9g3qx28cfpsz
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 87, 12008, No update data, 9g3qx2zmrqzr
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 100, 14062, No update data, 9g3qx3m7gjq9
Bird, MEX, daac3331-788c-444e-ac19-9fecabfcefac, 100, 14863, No update data, 9g3qx3m7gvsg
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 100, 14863, No update data, 9g3qx289p2zp
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 100, 14863, No update data, 9g3qx289ne6x
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 88, 12166, No update data, 9g3qx2zshgrz
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 71, 9480, No update data, 9g3qx2zssp75
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 100, 14062, No update data, 9g3qx289t90u
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 100, 14863, No update data, 9g3qx21hjvk4
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 100, 14863, No update data, 9g3qx215yj1p
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 100, 14863, No update data, 9g3qx21hkbrt
Bird, MEX, 6448304e-c68b-4c4d-8df0-17395425b938, 100, 14863, No update data, 9g3qx215vttc
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 100, 14863, No update data, 9g3qx21hhv12
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 42, 5177, No update data, 9g3qx2bf89qy
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx215qc8v
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx215j0ke
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 58, 7426, No update data, 9g3qrrf5kk2n
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 69, 9686, No update data, 9g3qx31t8y7y
Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 54, 6794, No update data, 9g3qrrf5hmbj
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 88, 12859, No update data, 9g3qx2b2kf9k
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 100, 14863, No update data, 9g3qx8bn3y2e
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 70, 9322, No update data, 9g3qx2b31rb6
Bird, MEX, b951f39e-9ab6-4d6f-ade7-51065c4246c1, 90, 12482, No update data, 9g3qx3pbw8px
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 100, 14863, No update data, 9g3qx8bn718q
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 89, 12324, No update data, 9g3qx9001wgs
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 99, 14696, No update data, 9g3qx8bnm5ug
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 100, 14863, No update data, 9g3qx8bnu8e7
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 90, 12482, No update data, 9g3qx20ef5sy
Bird, MEX, baf7e912-841b-40cd-a505-13a330771c51, 100, 14863, No update data, 9g3qx8bnq8fb
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 35, 4008, No update data, 9g3qx20ecbbk
Bird, MEX, dcfdfce1-933b-420a-9a24-1dd30f58bda8, 98, 14529, No update data, 9g3qx8bnqdrd
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 89, 12324, No update data, 9g3qx20e9n6j
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 71, 9480, No update data, 9g3qx28p3sg3
Bird, MEX, 794dfea6-0dc7-4694-b9c0-0a12b57f24c2, 100, 14062, No update data, 9g3qx20m7nbn
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 82, 11857, No update data, 9g3qrrdn9uw9
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 66, 8690, No update data, 9g3qx20m9cy8
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 75, 10112, No update data, 9g3qx20m9wer
Bird, MEX, 97714eec-6fbe-44fb-af67-920191416158, 79, 10744, No update data, 9g3qx2bq84j6
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 100, 14863, No update data, 9g3qx20q2nvq
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 100, 14863, No update data, 9g3qx20m4dt0
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 87, 12008, No update data, 9g3qx20m3cqe
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 100, 14863, No update data, 9g3qx20kcynt
Bird, MEX, aed77777-7add-4d3a-b07e-469bdab321af, 100, 14863, No update data, 9g3qx20nr05g
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 100, 14863, No update data, 9g3qx20m85vm
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx20m1161
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 99, 14696, No update data, 9g3qx20m0g7y
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 81, 11060, No update data, 9g3qx20m2p22
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 100, 14863, No update data, 9g3qx20nnv8s
Bird, MEX, 270ff6ba-d5ac-4624-9567-540c62a4f9f9, 47, 5688, No update data, 9g3qrrztwgvv
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 92, 12798, No update data, 9g3qrre9enqs
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 91, 12640, No update data, 9g3qrre9dw04
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 100, 14863, No update data, 9g3qx20jr9jj
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx203x6bz
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20jy43n
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 100, 14062, No update data, 9g3qx203wfme
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 99, 13904, No update data, 9g3qx203wctx
Bird, MEX, 64c1bade-6259-42fe-9d3c-a626a8ba54a6, 100, 14062, No update data, 9g3qx203qyvw
Bird, MEX, 2bb785a3-8166-4618-85a0-7ac09c46588d, 76, 10270, No update data, 9g3qrrdk75w2
Bird, MEX, 521db62b-54ac-478a-884b-d6c2cc758bd0, 67, 9352, No update data, 9g3qrrbumyun
