Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 94, 13114, No update data, 9g3qx3h98d8y
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 48, 6179, No update data, 9g3qx25jvchn
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 71, 9480, No update data, 9g3qx2q5tmzc
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 54, 6794, No update data, 9g3qx2j7yyjv
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 46, 5845, No update data, 9g3qx2h9wrk6
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 64, 8374, No update data, 9g3qx2j7h7y2
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 92, 13527, No update data, 9g3qx265kdk3
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 69, 9164, No update data, 9g3qx29ypdhp
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 91, 13360, No update data, 9g3qx26hcf2q
Bird, MEX, 67654ec5-0fbc-493d-a9b5-a8a7e116eaa6, 49, 6346, No update data, 9g3qx29gsqn5
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 87, 12692, No update data, 9g3qx2659kjr
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 81, 11690, No update data, 9g3qx26h06e9
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 55, 6952, No update data, 9g3qx2nj8dp4
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 88, 12859, No update data, 9g3qx23unfvg
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 89, 12324, No update data, 9g3qx2fr09wg
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 66, 9185, No update data, 9g3qx2wyefku
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 88, 12166, No update data, 9g3qx2fr2ggu
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 89, 12324, No update data, 9g3qrruns7ym
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 44, 5511, No update data, 9g3qx2fngjyk
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx23dxshp
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 57, 7268, No update data, 9g3qx21zqdft
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 57, 7268, No update data, 9g3qx23etevv
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 70, 9322, No update data, 9g3qx23en2k7
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 46, 5530, No update data, 9g3qx2xhe5bq
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 67, 8848, No update data, 9g3qx2nxz0s4
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 88, 12859, No update data, 9g3qx2ytxju4
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 64, 8851, No update data, 9g3qx23dkvpe
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 49, 6346, No update data, 9g3qx2qc5s3u
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 82, 11857, No update data, 9g3qx2yv2mez
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 90, 13193, No update data, 9g3qx2yuf07c
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 92, 13527, No update data, 9g3qx2yuk0g0
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 84, 12191, No update data, 9g3qx2ygv34z
Bird, MEX, e547ccbd-d9f9-4636-8a55-30cd782d7b71, 73, 10354, No update data, 9g3qx2yugghg
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 78, 10586, No update data, 9g3qrrvmf820
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 93, 12956, No update data, 9g3qx21ybu7f
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 49, 6346, No update data, 9g3qx2yv7xcv
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 93, 12956, No update data, 9g3qx21ybpmt
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 66, 8690, No update data, 9g3qx2z5455v
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 87, 12008, No update data, 9g3qx238f980
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 80, 10902, No update data, 9g3qx2z5488j
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 91, 12640, No update data, 9g3qx21xmdtg
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 80, 10902, No update data, 9g3qx2z56h7z
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 82, 11218, No update data, 9g3qx2z56dbn
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 94, 13114, No update data, 9g3qx21wpxhn
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 83, 11376, No update data, 9g3qx2390g5u
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 79, 10744, No update data, 9g3qx2z570ns
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 89, 13026, No update data, 9g3qx2yvwsfs
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct4uer
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 87, 12008, No update data, 9g3qx233t3zb
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 74, 10521, No update data, 9g3qx233mnss
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 73, 10354, No update data, 9g3qx23nmuu1
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 90, 13193, No update data, 9g3qx23ntemf
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx23psfpd
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 90, 13193, No update data, 9g3qx232utu7
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 92, 12798, No update data, 9g3qx23nucc6
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 98, 13746, No update data, 9g3qx232u57h
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 84, 11534, No update data, 9g3qx232k8km
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 92, 12798, No update data, 9g3qx291473z
Bird, MEX, 343b86cf-a61f-47db-b949-f5b789405418, 84, 12191, No update data, 9g3qx23nfcg4
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 79, 11356, No update data, 9g3qx2z6e7es
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nq0wx5
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 69, 9686, No update data, 9g3qx2z6t3pu
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 87, 12008, No update data, 9g3qx2znrb4s
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 84, 11534, No update data, 9g3qx21mmvsn
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 89, 13026, No update data, 9g3qx230vwjv
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 85, 11692, No update data, 9g3qx28gm8ju
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 84, 11534, No update data, 9g3qx28bjfhp
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 91, 13360, No update data, 9g3qx21mkcre
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 89, 12324, No update data, 9g3qrryjx7cj
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 89, 13026, No update data, 9g3qx230q0rm
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 56, 7515, No update data, 9g3qx2358z7g
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 93, 13694, No update data, 9g3qx230muhj
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 91, 13360, No update data, 9g3qx21mk9k7
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 85, 11692, No update data, 9g3qx28fhg1m
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 60, 7742, No update data, 9g3qx230ujzg
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 84, 11534, No update data, 9g3qx21m5yuu
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 71, 10020, No update data, 9g3qx230jmdu
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 80, 10902, No update data, 9g3qx230jjuw
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 70, 9322, No update data, 9g3qx23158cx
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 91, 13360, No update data, 9g3qx231718j
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 60, 7742, No update data, 9g3qx2zq6ver
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 92, 13527, No update data, 9g3qx230eexg
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 93, 13694, No update data, 9g3qx21puvze
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 91, 13360, No update data, 9g3qx2ze2wr5
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 89, 13026, No update data, 9g3qx2zkwx6e
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 73, 9796, No update data, 9g3qx230h5zb
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 66, 8690, No update data, 9g3qx2zr1vqg
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 90, 13193, No update data, 9g3qx230fsj0
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 80, 10902, No update data, 9g3qx28gffg0
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx230crmm
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 91, 13360, No update data, 9g3qx2zkzcz7
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 84, 11534, No update data, 9g3qx3ntwmhw
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 61, 8350, No update data, 9g3qx2308d0d
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 80, 11523, No update data, 9g3qrryxn3k8
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 76, 10855, No update data, 9g3qx2z9r4k4
