Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 71, 10020, No update data, 9g3qx2kqu7n6
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 92, 13527, No update data, 9g3qx2evj6xc
Bird, MEX, ac99795c-4079-4fef-a2a4-fe841484a1d9, 99, 14696, No update data, 9g3qx2euukn2
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 99, 13904, No update data, 9g3qx2snhxhq
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 99, 14696, No update data, 9g3qx2snq495
Bird, MEX, 5a415c43-ccf5-401f-8f80-dfb04f28a18c, 100, 14863, No update data, 9g3qx2snhpg4
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 100, 14863, No update data, 9g3qx2snkky3
Bird, MEX, 173f991f-09a7-417d-ab92-9582f3b246e1, 44, 5214, No update data, 9g3qx2sqqj9p
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 93, 13694, No update data, 9g3qx2eugnb6
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 91, 13360, No update data, 9g3qx2ev0xwb
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 100, 14062, No update data, 9g3qx2ev99g8
Bird, MEX, dfdf996f-afff-4aae-bd79-277a0a748069, 44, 5214, No update data, 9g3qx2kmzdkn
Bird, MEX, 4c8ae2ba-bdc0-4df8-92ff-6b470bb71237, 72, 9638, No update data, 9g3qx27ye8py
Bird, MEX, e4c4eab0-8b33-45fb-93a8-ee7f65202e79, 20, 1503, No update data, 9g3qx2km5t18
Bird, MEX, f074dee5-8696-4b71-b1cf-7f358aa7648f, 52, 6478, No update data, 9g3qx27y3gye
Bird, MEX, 044897e6-36d8-4a19-a984-c16d8c5e18a2, 38, 4266, No update data, 9g3qx2kkwfjf
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 39, 4424, No update data, 9g3qx2k7yhp2
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 97, 14362, No update data, 9g3qx2szqj3m
Bird, MEX, 14b43c27-3703-477b-ba1e-4793108c54f4, 78, 11189, No update data, 9g3qx2e3h70j
Bird, MEX, a887ba12-e8d1-4f6d-902e-23547d0a99b7, 94, 13114, No update data, 9g3qx2e3hjeh
Bird, MEX, 933ab2a1-650f-487f-84d9-16ef9179f273, 69, 9686, No update data, 9g3qx2e35vsu
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 96, 14195, No update data, 9g3qx2szy9x9
Bird, MEX, 70d77426-eef1-4118-a109-8a534550fc3a, 82, 11857, No update data, 9g3qx2e34ueq
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 88, 12859, No update data, 9g3qx2szzq90
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 35, 4008, No update data, 9g3qx2kenp92
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 67, 8848, No update data, 9g3qx2t77qgx
Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 71, 10020, No update data, 9g3qx2t7qztf
Bird, MEX, 536ba51c-6392-4b93-a7cf-cb7b242f713f, 81, 11060, No update data, 9g3qx2t7yzmv
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 92, 13527, No update data, 9g3qx27khgc2
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 26, 2505, No update data, 9g3qx2t8cjfh
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 73, 10354, No update data, 9g3qx2te4e0j
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 92, 13527, No update data, 9g3qx277cdg8
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 93, 12956, No update data, 9g3qx2ttjvuq
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 97, 13588, No update data, 9g3qx278teq1
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 92, 13527, No update data, 9g3qx2tv0zhn
Bird, MEX, 681b8c5c-1b48-43f3-ac0f-1256ed76fa30, 67, 9352, No update data, 9g3qx2g4kk0j
