Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 73, 10354, No update data, 9g3qx2t77txz
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 94, 13861, No update data, 9g3qx27qf079
Bird, MEX, 5a06f171-00ed-44e6-8b0a-3d8d034e4339, 28, 2686, No update data, 9g3qx27q6ev5
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 87, 12692, No update data, 9g3qx27mgj22
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 69, 9164, No update data, 9g3qx2tkjqrb
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 75, 10688, No update data, 9g3qx2t6y5p6
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 93, 13694, No update data, 9g3qx27m5gub
Bird, MEX, 91437326-50a5-4ba8-a8ad-3140909f11bf, 92, 13527, No update data, 9g3qx27q0009
Bird, MEX, 98ecc112-8d06-436d-9e58-4191c74ba25e, 63, 8216, No update data, 9g3qx2tsew9x
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 54, 7181, No update data, 9g3qx2tsykuq
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 93, 13694, No update data, 9g3qx2ttnbjc
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 83, 12024, No update data, 9g3qx2tszm30
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 27, 2672, No update data, 9g3qx2mxybtg
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 62, 8517, No update data, 9g3qx2ttrdh0
Bird, MEX, 9c551c74-de69-4c69-a32e-6120ef5cc6c5, 74, 10521, No update data, 9g3qx2tu877f
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 94, 13114, No update data, 9g3qx2tubx8z
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 94, 13114, No update data, 9g3qx2tu920q
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 94, 13114, No update data, 9g3qx2tueukb
Bird, MEX, 304e201b-701b-4ec8-ab37-10ea1381fc63, 81, 11060, No update data, 9g3qx2tvwwxx
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 49, 6004, No update data, 9g3qx26sp8k5
Bird, MEX, 1d851a7d-a4c5-44ab-a21d-59434d2e025d, 56, 7110, No update data, 9g3qx2hj445w
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 84, 12191, No update data, 9g3qx26dmyk4
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 64, 8851, No update data, 9g3qx26dsmy1
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 73, 9796, No update data, 9g3qx2qh7qes
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 65, 8532, No update data, 9g3qx2h5s6yr
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 73, 10354, No update data, 9g3qx2h5mysk
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 53, 7014, No update data, 9g3qx25jxjkp
Bird, MEX, be3ae615-0613-4ad5-bd99-35075ee24d61, 66, 8690, No update data, 9g3qx2h51ybs
Bird, MEX, 9ce7caf6-a241-45b8-b499-100224261917, 64, 8851, No update data, 9g3qx26db6g8
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 49, 6346, No update data, 9g3qx2wpxur2
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 69, 9686, No update data, 9g3qx2h4vewn
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 88, 12859, No update data, 9g3qx2wr2zuj
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 87, 12692, No update data, 9g3qx2wqcuqf
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 69, 9686, No update data, 9g3qx2h4sxh3
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 74, 10521, No update data, 9g3qx2wr4ev1
Bird, MEX, 34d858a3-f657-404b-957d-c735a4576e20, 93, 12956, No update data, 9g3qx2wru4g0
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 51, 6680, No update data, 9g3qx2hd58rg
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 52, 6847, No update data, 9g3qx2y2jfu7
Bird, MEX, 71954f6c-e22e-4552-84f2-ac68f52581b2, 39, 4424, No update data, 9g3qx2d031dj
Bird, MEX, a6c28ce5-8818-44ef-bf64-c489bbe91365, 73, 9796, No update data, 9g3qx2634tth
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 90, 13193, No update data, 9g3qx265gpqm
Bird, MEX, 3478d059-d5a4-4437-8377-cf793ff1cf5d, 72, 10187, No update data, 9g3qx29un09j
Bird, MEX, e004eb82-a525-42cf-989b-e87a26a1c53a, 93, 13694, No update data, 9g3qx2629mmr
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 96, 14195, No update data, 9g3qx26h18gx
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 96, 14195, No update data, 9g3qx2656x84
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 92, 13527, No update data, 9g3qx265cg8q
Bird, MEX, 64dc3079-c01e-4fb4-a783-6025fc5c2a5d, 84, 11534, No update data, 9g3qx29uhssr
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 91, 13360, No update data, 9g3qx2659uw9
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 97, 14362, No update data, 9g3qx26h0fec
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 3dc9aeff-cceb-4edb-b39e-02ce14fe7095, 34, 3841, No update data, 9g3qx3j6y869
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 57, 7268, No update data, 9g3qx2nj2k5v
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 47, 6012, No update data, 9g3qx3jdck27
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 90, 12482, No update data, 9g3qx2fr4r9b
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 60, 7742, No update data, 9g3qx24pkb3m
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 90, 12482, No update data, 9g3qx2frd9b0
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 47, 6012, No update data, 9g3qx2fnj76z
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 91, 12640, No update data, 9g3qx2fr29qu
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 71, 10020, No update data, 9g3qx2wyvewn
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 70, 9322, No update data, 9g3qx2nx60ez
Bird, MEX, 553e9a71-ac3f-46e1-953d-0ead154e0cf6, 75, 10688, No update data, 9g3qx2rn10zp
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 60, 7742, No update data, 9g3qx21zfx8p
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 90, 12482, No update data, 9g3qx23bb4v8
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 89, 12324, No update data, 9g3qx239wd6s
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx239ubck
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 54, 7181, No update data, 9g3qx2yv7h2r
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 97, 13588, No update data, 9g3qx21y8swc
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 87, 12692, No update data, 9g3qx2yuy41m
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 87, 12008, No update data, 9g3qx2396hhv
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 97, 13588, No update data, 9g3qx21y3165
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 94, 13861, No update data, 9g3qx2yurnup
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 94, 13861, No update data, 9g3qx2387fuv
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 93, 13694, No update data, 9g3qx2zh05v9
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 80, 10902, No update data, 9g3qrrvmkrw6
