Bird, MEX, a887ba12-e8d1-4f6d-902e-23547d0a99b7, 97, 13588, No update data, 9g3qx2e33ybw
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 100, 14863, No update data, 9g3qx2tp4tj1
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 98, 13746, No update data, 9g3qx2e389yb
Bird, MEX, 676ea6db-4c6f-45ca-b25e-4bf867de4c67, 69, 9164, No update data, 9g3qx2kejm4b
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 39, 4676, No update data, 9g3qx2mh718m
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 91, 13360, No update data, 9g3qx27kg1w2
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 97, 14362, No update data, 9g3qx27m1rt2
Bird, MEX, 91437326-50a5-4ba8-a8ad-3140909f11bf, 96, 14195, No update data, 9g3qx27kct78
Bird, MEX, a6eb8114-a4d5-41be-94a7-a0867031bc0c, 73, 10354, No update data, 9g3qx27kc7j6
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 97, 14362, No update data, 9g3qx27k5t18
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 28, 2839, No update data, 9g3qx2tdmvh7
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 70, 9322, No update data, 9g3qx2tenvvy
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 97, 13588, No update data, 9g3qx2tsye6s
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 64, 8851, No update data, 9g3qx2tsydpt
Bird, MEX, 536ba51c-6392-4b93-a7cf-cb7b242f713f, 84, 11534, No update data, 9g3qx2tsrurr
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 96, 13430, No update data, 9g3qx2ttp8h1
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 85, 12358, No update data, 9g3qx2tv0meu
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 96, 13430, No update data, 9g3qx2tv2hjt
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 78, 11189, No update data, 9g3qx2tv2bkn
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 56, 7515, No update data, 9g3qx2tv306n
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 48, 5846, No update data, 9g3qx2hzs9hs
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 97, 14362, No update data, 9g3qx2tvjtq4
Bird, MEX, 1754852a-6bc5-41f6-9e61-6b78699471e0, 33, 3674, No update data, 9g3qx2hj469b
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 48, 5846, No update data, 9g3qx26fdq3v
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 71, 10020, No update data, 9g3qx2hh7m7k
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 66, 8690, No update data, 9g3qx2hh1vqd
