Bird, MEX, 59e9da0f-8f97-4ada-b77f-bb1a39cf637c, 82, 11218, No update data, 9g3qrm1f21m8
Bird, MEX, a55068d0-98e4-43c2-8020-d3f8b8f927a4, 100, 14062, No update data, 9g3qrm7r4dv0
Bird, MEX, f7074314-5738-4b9e-9368-45727b976b00, 75, 10112, No update data, 9g3qrkc5vkff
Bird, MEX, 814623c5-b50e-4c00-aa3b-d840f0f40eb4, 100, 14062, No update data, 9g3qrm7rgks9
Bird, MEX, c34f5592-d798-4216-84f9-b9866e47858b, 100, 14062, No update data, 9g3qrm7rgjy3
Bird, MEX, b40b5a15-d4b2-47ae-8c4b-dc2c8ed7f206, 100, 14062, No update data, 9g3qrm7rfsjp
Bird, MEX, 32316f40-29db-4e91-9819-2be3f0b34e04, 100, 14062, No update data, 9g3qrm7rf6cz
Bird, MEX, 843087ca-7338-4d85-be2b-1e0a3091cda2, 100, 14062, No update data, 9g3qrm7rfsv5
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 91, 13360, No update data, 9g3qrkc1c06p
Bird, MEX, 0ede44d8-7fd9-46da-a096-1056e804e641, 100, 14062, No update data, 9g3qrme1yctz
Bird, MEX, 8b7c8360-f943-4552-8f31-30b962b72d0b, 98, 13746, No update data, 9g3qrme1ysx9
Bird, MEX, 0da654ce-3512-4c14-95e0-aee9f42a40b4, 99, 13904, No update data, 9g3qrme1zr8u
Bird, MEX, 1a6f3f3b-d6dc-4299-ac97-9dba4b65aac9, 100, 14062, No update data, 9g3qrme1zpun
Bird, MEX, aab2556f-5bf1-4b2e-b174-99a25a5b3a24, 100, 14062, No update data, 9g3qrme60njt
Bird, MEX, 0988bdd2-26e0-4808-8c79-0688c8e7d946, 98, 13746, No update data, 9g3qrkbg0s8e
Bird, MEX, e9bc84ce-d822-429b-a4e2-06a23fb32af0, 98, 13746, No update data, 9g3qrkbg0sbt
Bird, MEX, 69184104-55ef-46da-8c36-2b09bb749843, 96, 13430, No update data, 9g3qrkbg2s8t
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 97, 13588, No update data, 9g3qrkbg058t
Bird, MEX, 23bb7a15-86d6-4759-9220-dc67f7ac97b9, 98, 13746, No update data, 9g3qrkbg8dqb
Bird, MEX, b38ed400-4e0d-4991-9d2c-9e584f0aa64b, 100, 14062, No update data, 9g3qrkbg25mm
Bird, MEX, 4deed44e-b831-47d5-b4c8-3e2dc8e7ec76, 97, 13588, No update data, 9g3qrkbepwu0
Bird, MEX, d785deba-e56d-44fb-a0cc-1d5ba1dce66b, 100, 14062, No update data, 9g3qrme47khd
Bird, MEX, 5dffad8d-30f0-43d1-b539-68afd98e8993, 100, 14062, No update data, 9g3qrme4s28p
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 100, 14062, No update data, 9g3qrme4tnss
Bird, MEX, 13e1cd99-20ef-40ef-9ea9-093aa5d5f0d6, 100, 14062, No update data, 9g3qrme4s5g5
Bird, MEX, 4521d046-9833-459e-8b52-5f7c13afcc7d, 100, 14062, No update data, 9g3qrme4ee1x
Bird, MEX, e84d8647-ee98-482a-9cc3-3cd31db9fe58, 100, 14062, No update data, 9g3qrkbdutu2
Bird, MEX, b038e73c-f286-4bc4-b24e-cf55aaeb6662, 97, 13588, No update data, 9g3qrkbdu44c
Bird, MEX, 50ad6d5b-e418-49e1-bda1-5c26e567985c, 96, 13430, No update data, 9g3qrkbdgxpb
Bird, MEX, 758c39bf-85ab-4e24-b14a-61370287e047, 97, 13588, No update data, 9g3qrkbdg6st
Bird, MEX, 1bfb160c-6cfb-4999-8873-6f18611f822c, 99, 13904, No update data, 9g3qrm0fqfjw
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 100, 14062, No update data, 9g3qrm3dbtqz
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qrm3db02x
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qrm3dbhbe
Bird, MEX, c13c1639-b829-4204-9339-064748d54588, 100, 14062, No update data, 9g3qrm3e0759
Bird, MEX, d8baed10-c794-4ad8-810d-0f52e237c43a, 100, 14062, No update data, 9g3qrm36z4ev
Bird, MEX, 7b68ff00-f64a-46ea-9d30-596f3ed3770a, 100, 14062, No update data, 9g3qrm37p2r0
Bird, MEX, 92eb06b0-8ba5-4984-98a1-23c7fd55fac0, 100, 14863, No update data, 9g3qrmd6nyjv
